article_idx,pmid,title,bertopic_topic,display_label
0,24224525,Cross-talk Between Nitrate-Nitrite-NO and NO Synthase Pathways in Control of Vascular NO Homeostasis.,1,1_abstract_title_cells_cell
1,25918840,Development of an Efficient Virus Induced Gene Silencing Strategy in the Non-Model Wild Ginger-Zingiber zerumbet and Investigation of Associated Proteome Changes.,4,4_abstract_title_cells_cell
2,25763025,Antibacterial properties of silver nanoparticles synthesized by marine Ochrobactrum sp.,1,1_abstract_title_cells_cell
3,24433517,"Bone-muscle unit activity, salivary steroid hormones profile, and physical effort over a 3-week stage race.",11,11_patients_study_95_risk
4,25653656,The significance of cysteine synthesis for acclimation to high light conditions.,8,8_abstract_title_biology_molecular
5,23786857,Prostaglandin F2α formation is associated with mortality in a Swedish community-based cohort of older males.,11,11_patients_study_95_risk
6,25551456,Subfamily-specific adaptations in the structures of two penicillin-binding proteins from Mycobacterium tuberculosis.,0,0_cells_cell_abstract_title
7,25545504,A mathematical model of bimodal epigenetic control of miR-193a in ovarian cancer stem cells.,7,7_title_abstract_cell_cells
8,25606575,Emerging players in prostate cancer: long non-coding RNAs.,3,3_abstract_title_cells_cell
9,25621019,BACE1 inhibitor drugs in clinical trials for Alzheimer's disease.,0,0_cells_cell_abstract_title
10,25565973,"Rapid development of Purkinje cell excitability, functional cerebellar circuit, and afferent sensory input to cerebellum in zebrafish.",6,6_proteins_cell_protein_abstract
11,25566292,Light as stress factor to plant roots - case of root halotropism.,4,4_abstract_title_cells_cell
12,25566314,Imputation and quality control steps for combining multiple genome-wide datasets.,11,11_patients_study_95_risk
13,25540650,Noncoding RNAs regulate NF-κB signaling to modulate blood vessel inflammation.,5,5_abstract_title_cells_cancer
14,25538734,MBD2 and MBD3: elusive functions and mechanisms.,7,7_title_abstract_cell_cells
15,24469031,Mitochondrial ion channels as oncological targets.,7,7_title_abstract_cell_cells
16,25464511,Mental stress in atopic dermatitis--neuronal plasticity and the cholinergic system are affected in atopic dermatitis and in response to acute experimental mental stress in a randomized controlled pilot study.,2,2_cells_cancer_cell_expression
17,25525459,The case for decoupling assembly and submission standards to maintain a more flexible registry of biological parts.,8,8_abstract_title_biology_molecular
18,25593595,Virus-host interactomics: new insights and opportunities for antiviral drug discovery.,1,1_abstract_title_cells_cell
19,25505902,From early lessons to new frontiers: the worm as a treasure trove of small RNA biology.,1,1_abstract_title_cells_cell
20,25422674,SRST2: Rapid genomic surveillance for public health and hospital microbiology labs.,7,7_title_abstract_cell_cells
21,25411789,"The odorant receptor co-receptor from the bed bug, Cimex lectularius L.",10,10_resistance_isolates_strains_study
22,25405476,Intraosseous vascular access through the anterior mandible--a cadaver model pilot study.,11,11_patients_study_95_risk
23,25426118,Contribution of Defective PS Recognition and Efferocytosis to Chronic Inflammation and Autoimmunity.,1,1_abstract_title_cells_cell
24,25452693,Withaferin A Inhibits STAT3 and Induces Tumor Cell Death in Neuroblastoma and Multiple Myeloma.,0,0_cells_cell_abstract_title
25,25372666,Life without oxygen: gene regulatory responses of the crucian carp (Carassius carassius) heart subjected to chronic anoxia.,1,1_abstract_title_cells_cell
26,25414722,Controlling for population structure and genotyping platform bias in the eMERGE multi-institutional biobank linked to electronic health records.,0,0_cells_cell_abstract_title
27,25408693,Rethinking regenerative medicine: a macrophage-centered approach.,1,1_abstract_title_cells_cell
28,24460594,Infectious endophthalmitis in Boston keratoprosthesis: incidence and prevention.,11,11_patients_study_95_risk
