review_uid,review_type,review_source,source_file,proposal_id,title,title_norm,author,evaluator,overall_score,review_text,new_question_topic_or_framing,new_theory_concept_method_dataset_or_design,unusual_combination_of_existing_ideas,beyond_state_of_the_art,credible_high_risk_high_gain,unique_knowledge_generation,proposal_uid
novelty-ai-0000,novelty,ai,novelty_reviews_20260416_122206.json,a crossmodal synthesis of biomolecular condensate material properties and cellular function across species and perturbations,A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,a crossmodal synthesis of biomolecular condensate material properties and cellular function across species and perturbations,gpt-5.2,gpt-5.2,4.0,"The proposal makes a strong case for novelty primarily through an unusually broad and explicit recombination: building a cross-species, cross-modal synthesis that connects literature-derived condensate material measurements to image-derived morphology, sequence/structure features, interaction networks, and perturbation-response phenotypes. It is ambitious and plausibly beyond incremental work in scope and community deliverables (knowledge graph + benchmarks + interpretable multimodal models). The case for novelty is weaker on wholly new methods: most computational components are established, and the key ‘latent material state’ harmonization concept is promising but underspecified. Overall, the novelty argument is convincing as a synthesis-and-integration advance with potentially high payoff, contingent on data overlap and successful metric harmonization.",4.0,3.0,5.0,4.0,4.0,4.0,gpt-5.2::a crossmodal synthesis of biomolecular condensate material properties and cellular function across species and perturbations
novelty-ai-0001,novelty,ai,novelty_reviews_20260416_122206.json,a crossmodal synthesis of biomolecular condensate material properties and cellular function across species and perturbations,A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,a crossmodal synthesis of biomolecular condensate material properties and cellular function across species and perturbations,gpt-5.2,gemini-3-pro-preview,4.5,"The proposal presents a highly ambitious, cross-disciplinary effort to synthesize fragmented public data on biomolecular condensates into a unified, multimodal knowledge graph. While the core biological questions regarding sequence-to-property relationships are established, the framing of 'material state' as a latent variable inferred from diverse modalities (images, literature, genomics) is novel. The project's combination of NLP, computer vision, polymer physics, and functional genomics is highly unusual and pushes well beyond the state of the art, which currently relies on isolated biophysical assays or single-modality machine learning. If successful, it will generate unique, cross-species insights into mesoscale emergence, though it carries significant risks related to data harmonization.",4.0,4.0,5.0,5.0,4.0,5.0,gpt-5.2::a crossmodal synthesis of biomolecular condensate material properties and cellular function across species and perturbations
novelty-ai-0002,novelty,ai,novelty_reviews_20260416_122206.json,a crossmodal synthesis of biomolecular condensate material properties and cellular function across species and perturbations,A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,a crossmodal synthesis of biomolecular condensate material properties and cellular function across species and perturbations,gpt-5.2,claude-opus-4-5,4.0,"This proposal presents a highly novel synthesis effort that addresses a genuine gap in the biomolecular condensate field: the fragmentation between biophysical measurements of material properties and large-scale imaging/genomics datasets. The proposal's strongest novelty lies in its unusual combination of disparate expertise (polymer physics, computer vision, NLP, network science) and data modalities (sequence, structure, images, perturbations, literature-mined rheology) to create an integrated knowledge graph. While individual components (ML for phase separation prediction, condensate databases, image analysis) exist, no current effort systematically connects material properties to functional outcomes across species and perturbations. The proposal goes beyond state of the art by targeting material state prediction rather than binary phase separation classification, and by aiming to identify conserved design principles. The main limitations are reliance on public data quality and the technical challenge of harmonizing heterogeneous material measurements into a coherent latent representation.",4.0,4.0,5.0,4.0,4.0,4.0,gpt-5.2::a crossmodal synthesis of biomolecular condensate material properties and cellular function across species and perturbations
novelty-ai-0003,novelty,ai,novelty_reviews_20260416_122206.json,emergent principles of organelle contact sites a synthesis of proteomics imaging and genetic interaction data,"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data",emergent principles of organelle contact sites a synthesis of proteomics imaging and genetic interaction data,gpt-5.2,gpt-5.2,4.0,"The proposal makes a strong case for novelty primarily through an unusual, ambitious recombination: assembling a multimodal, cross-species, condition-aware “contactome” by integrating proximity proteomics, imaging, genetic interactions/coessentiality, morphology screens, and metabolomics/lipidomics into probabilistic multilayer networks and a standardized knowledge graph/ontology. Its problem framing emphasizes emergent principles (robustness, specificity, rewiring) at the mesoscale, which is distinctive and ambitious. Novelty is weaker on fundamentally new methods/theory because most analytical components are established and described as adapted; the new contributions are mainly the integrated resource, ontology/standards, and the specific multilayer/dynamic synthesis targeted to MCS.",4.0,3.0,5.0,4.0,4.0,4.0,gpt-5.2::emergent principles of organelle contact sites a synthesis of proteomics imaging and genetic interaction data
novelty-ai-0004,novelty,ai,novelty_reviews_20260416_122206.json,emergent principles of organelle contact sites a synthesis of proteomics imaging and genetic interaction data,"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data",emergent principles of organelle contact sites a synthesis of proteomics imaging and genetic interaction data,gpt-5.2,gemini-3-pro-preview,4.3,"The proposal outlines a highly novel and ambitious synthesis project to define the organelle 'contactome' by integrating disparate public datasets across proteomics, imaging, functional genomics, and metabolomics. While the biological concept of membrane contact sites is established, framing them as a probabilistic, multi-layer network to uncover emergent properties like robustness and stress-induced rewiring is a fresh and sophisticated approach. The most striking aspect of the proposal's novelty is its unusual combination of diverse data modalities to generate unique, system-level knowledge that cannot be gleaned from individual studies. The project carries inherent risks related to data harmonization and batch effects, but it proposes credible, advanced statistical methods to manage these challenges.",4.0,4.0,5.0,4.0,4.0,5.0,gpt-5.2::emergent principles of organelle contact sites a synthesis of proteomics imaging and genetic interaction data
novelty-ai-0005,novelty,ai,novelty_reviews_20260416_122206.json,emergent principles of organelle contact sites a synthesis of proteomics imaging and genetic interaction data,"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data",emergent principles of organelle contact sites a synthesis of proteomics imaging and genetic interaction data,gpt-5.2,claude-opus-4-5,4.0,"This proposal presents a well-articulated case for novelty in the MCS field, primarily through its ambitious multi-modal data integration approach and network-theoretic framing of organelle contact sites as emergent mesoscale systems. The strongest novelty claims lie in the unusual combination of five distinct data types (proteomics, imaging, genetics, morphology, metabolomics) and the development of a standardized ontology and knowledge graph infrastructure. The proposal is timely, as recent literature confirms that systematic integration and network-level understanding of MCS remain significant gaps. However, the proposal is synthesis-focused without new experimental data, which moderates its potential to generate truly transformative insights. The methodological approaches (multilayer networks, Bayesian models, domain adaptation) are established but their specific application to MCS appears novel. Overall, the proposal makes a strong case for novelty through integration and framing rather than through fundamentally new concepts or methods.",4.0,4.0,5.0,4.0,3.0,4.0,gpt-5.2::emergent principles of organelle contact sites a synthesis of proteomics imaging and genetic interaction data
novelty-ai-0006,novelty,ai,novelty_reviews_20260416_122206.json,a pancell atlas of cytoskeletal selforganization integrating livecell imaging proteomics and biophysical models,"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models",a pancell atlas of cytoskeletal selforganization integrating livecell imaging proteomics and biophysical models,gpt-5.2,gpt-5.2,4.0,"The proposal makes a strong case for novelty primarily through an unusually broad multimodal synthesis and an ambitious methodological bridge between learned embeddings and fitted biophysical models (a ""mechanistic latent space"") to compare cytoskeletal self-organization across cell types, perturbations, and imaging modalities. Its novelty claims are somewhat weakened by limited explicit differentiation from existing state-of-the-art efforts (the gap is asserted more than demonstrated), but within the proposal text the agenda is clearly more than incremental and has credible high-risk/high-gain characteristics.",4.0,4.0,5.0,4.0,4.0,4.0,gpt-5.2::a pancell atlas of cytoskeletal selforganization integrating livecell imaging proteomics and biophysical models
novelty-ai-0007,novelty,ai,novelty_reviews_20260416_122206.json,a pancell atlas of cytoskeletal selforganization integrating livecell imaging proteomics and biophysical models,"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models",a pancell atlas of cytoskeletal selforganization integrating livecell imaging proteomics and biophysical models,gpt-5.2,gemini-3-pro-preview,4.6,"This proposal is highly novel, particularly in its methodological innovation and unusual combination of disciplines. By proposing a 'mechanistic latent space' that bridges deep representation learning of multi-omics/imaging data with biophysical active gel theory, it offers a creative solution to a massive data-integration challenge. The framing of cytoskeletal emergence as a pan-cell, low-dimensional manifold problem is ambitious and pushes the field far beyond the current state of the art of bespoke, single-context studies. The primary risk lies in the extreme heterogeneity of the public data, but the potential to uncover universal principles of cytoskeletal organization makes it a compelling high-gain endeavor.",4.0,5.0,5.0,5.0,4.0,5.0,gpt-5.2::a pancell atlas of cytoskeletal selforganization integrating livecell imaging proteomics and biophysical models
novelty-ai-0008,novelty,ai,novelty_reviews_20260416_122206.json,a pancell atlas of cytoskeletal selforganization integrating livecell imaging proteomics and biophysical models,"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models",a pancell atlas of cytoskeletal selforganization integrating livecell imaging proteomics and biophysical models,gpt-5.2,claude-opus-4-5,4.0,"This proposal presents a well-articulated case for novelty, particularly in its unusual combination of existing ideas and its methodological contribution of a 'mechanistic latent space' bridging data-driven ML with biophysical models. The framing around identifying universal principles of cytoskeletal emergence across cell types is distinctive, though the underlying questions are not entirely new. The proposal's strongest novelty lies in its ambitious synthesis approach—integrating five distinct data modalities (imaging, Cell Painting, proteomics, phosphoproteomics, functional genomics) with mechanistic biophysical models at community scale. The concept of fitting active gel theory parameters to image-derived statistics using simulation-based inference for cross-dataset comparison is a creative methodological contribution. However, the proposal builds heavily on established methods and public resources, and the high-risk elements are not fully developed. The potential for unique knowledge generation is strong if the technical challenges of data harmonization and mechanistic model fitting can be overcome.",4.0,4.0,5.0,4.0,3.0,4.0,gpt-5.2::a pancell atlas of cytoskeletal selforganization integrating livecell imaging proteomics and biophysical models
novelty-ai-0009,novelty,ai,novelty_reviews_20260416_122206.json,emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function,"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function,gpt-5.2,gpt-5.2,3.5,"The proposal makes a moderately strong case for novelty primarily through an unusual and well-specified synthesis/integration agenda: harmonizing large public 3D genome, imaging, epigenomic, single-cell, and perturbation datasets; then using both mechanistic polymer-model calibration and interpretable ML, explicitly adding imaging constraints to address identifiability in Hi-C-only inference. Its novelty is less about introducing new biological questions or brand-new methods, and more about scale, cross-modal benchmarking, and rigorous model comparison designed to yield generalizable, cross-context mechanistic conclusions.",3.0,3.0,4.0,3.0,4.0,4.0,gpt-5.2::emergent chromatin domains at the mesoscale synthesizing hic imaging and epigenomic data to explain 3d genome function
