failed_at,scope,artifact_family,row_id,error
2026-07-10T00:08:06.598705,persona,ai_reviews,persona::y1::1::claude-sonnet-5::002,unclosed JSON object
2026-07-10T00:11:15.844218,persona,ai_reviews,persona::y1::10::claude-sonnet-5::004,unclosed JSON object
2026-07-10T00:15:11.207600,persona,ai_reviews,persona::y1::11::gpt-5.5::002,unclosed JSON object
2026-07-10T00:15:22.963325,persona,ai_reviews,persona::y1::11::gpt-5.5::003,unclosed JSON object
2026-07-10T00:16:00.486957,persona,ai_reviews,persona::y1::12::claude-sonnet-5::001,unclosed JSON object
2026-07-10T00:17:06.654370,persona,ai_reviews,persona::y1::12::gemini-3.1-pro-preview::005,unclosed JSON object
2026-07-10T00:17:42.122276,persona,ai_reviews,persona::y1::12::gpt-5.5::003,unclosed JSON object
2026-07-10T00:19:52.281164,persona,ai_reviews,persona::y1::2::gpt-5.5::001,unclosed JSON object
2026-07-10T00:20:39.970469,persona,ai_reviews,persona::y1::2::gpt-5.5::005,unclosed JSON object
2026-07-10T00:22:53.979207,persona,ai_reviews,persona::y1::3::gpt-5.5::002,unclosed JSON object
2026-07-10T00:30:12.030635,persona,ai_reviews,persona::y1::6::gemini-3.1-pro-preview::004,unclosed JSON object
2026-07-10T00:30:20.683131,persona,ai_reviews,persona::y1::6::gemini-3.1-pro-preview::005,unclosed JSON object
2026-07-10T00:33:50.610410,persona,ai_reviews,persona::y1::8::claude-sonnet-5::001,unclosed JSON object
2026-07-10T00:34:15.524894,persona,ai_reviews,persona::y1::8::claude-sonnet-5::003,unclosed JSON object
2026-07-10T00:34:52.584656,persona,ai_reviews,persona::y1::8::gemini-3.1-pro-preview::001,unclosed JSON object
2026-07-10T00:35:45.467722,persona,ai_reviews,persona::y1::8::gpt-5.5::002,unclosed JSON object
2026-07-10T00:36:41.114704,persona,ai_reviews,persona::y1::9::claude-sonnet-5::002,unclosed JSON object
2026-07-10T00:38:25.261026,persona,ai_reviews,persona::y1::9::gpt-5.5::002,unclosed JSON object
2026-07-10T00:40:48.759182,persona,ai_reviews,persona::y2::1::gpt-5.5::001,unclosed JSON object
2026-07-10T00:41:01.556634,persona,ai_reviews,persona::y2::1::gpt-5.5::002,unclosed JSON object
2026-07-10T00:41:11.705831,persona,ai_reviews,persona::y2::1::gpt-5.5::003,unclosed JSON object
2026-07-10T00:43:20.596439,persona,ai_reviews,persona::y2::10::gpt-5.5::001,unclosed JSON object
2026-07-10T00:44:18.792107,persona,ai_reviews,persona::y2::11::claude-sonnet-5::001,unclosed JSON object
2026-07-10T00:46:10.042286,persona,ai_reviews,persona::y2::11::gpt-5.5::003,unclosed JSON object
2026-07-10T00:48:43.241577,persona,ai_reviews,persona::y2::2::gpt-5.5::002,unclosed JSON object
2026-07-10T00:49:59.317785,persona,ai_reviews,persona::y2::3::claude-sonnet-5::004,unclosed JSON object
2026-07-10T00:50:36.682106,persona,ai_reviews,persona::y2::3::gemini-3.1-pro-preview::002,unclosed JSON object
2026-07-10T00:51:29.443101,persona,ai_reviews,persona::y2::3::gpt-5.5::002,unclosed JSON object
2026-07-10T00:55:42.557960,persona,ai_reviews,persona::y2::5::claude-sonnet-5::003,unclosed JSON object
2026-07-10T00:56:15.291206,persona,ai_reviews,persona::y2::5::gemini-3.1-pro-preview::001,unclosed JSON object
2026-07-10T00:56:48.210080,persona,ai_reviews,persona::y2::5::gemini-3.1-pro-preview::004,unclosed JSON object
2026-07-10T00:57:25.508670,persona,ai_reviews,persona::y2::5::gpt-5.5::002,unclosed JSON object
2026-07-10T00:58:23.863564,persona,ai_reviews,persona::y2::6::claude-sonnet-5::002,unclosed JSON object
2026-07-10T01:03:59.208706,persona,ai_reviews,persona::y2::8::claude-sonnet-5::002,unclosed JSON object
2026-07-10T01:05:21.862298,persona,ai_reviews,persona::y2::8::gemini-3.1-pro-preview::005,unclosed JSON object
2026-07-10T01:06:59.546482,persona,ai_reviews,persona::y2::9::claude-sonnet-5::003,unclosed JSON object
2026-07-10T01:09:04.048929,persona,ai_reviews,persona::y2::9::gpt-5.5::004,unclosed JSON object
