metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,mean_group1,mean_group2,q_value
overall_score,12,11,55.5,0.5377499467535464,-0.1590909090909091,small,human-y1,human-y2,3.2805555555555563,3.4424242424242424,0.5377499467535464
overall_score,12,23,23.0,6.550999180785676e-05,-0.8333333333333334,large,human-y1,claude-opus-4-5,3.2805555555555563,3.9333333333333336,0.0003275499590392838
overall_score,12,23,29.5,0.00015093642853634192,-0.7862318840579711,large,human-y1,gemini-3-pro-preview,3.2805555555555563,3.8942028985507244,0.000503121428454473
overall_score,12,23,15.0,1.793772780348764e-05,-0.8913043478260869,large,human-y1,gpt-5.2,3.2805555555555563,3.976811594202897,0.0001793772780348764
overall_score,11,23,48.0,0.003982651492087928,-0.6205533596837944,large,human-y2,claude-opus-4-5,3.4424242424242424,3.9333333333333336,0.007965302984175856
overall_score,11,23,52.0,0.005880208837753507,-0.5889328063241107,large,human-y2,gemini-3-pro-preview,3.4424242424242424,3.8942028985507244,0.009800348062922511
overall_score,11,23,43.0,0.002041785055375626,-0.6600790513833992,large,human-y2,gpt-5.2,3.4424242424242424,3.976811594202897,0.005104462638439064
overall_score,23,23,230.0,0.44732688642898066,-0.13043478260869565,negligible,claude-opus-4-5,gemini-3-pro-preview,3.9333333333333336,3.8942028985507244,0.49702987380997854
overall_score,23,23,186.0,0.08251355514540108,-0.29678638941398866,small,claude-opus-4-5,gpt-5.2,3.9333333333333336,3.976811594202897,0.11787650735057298
overall_score,23,23,226.5,0.3973559418157081,-0.14366729678638943,negligible,gemini-3-pro-preview,gpt-5.2,3.8942028985507244,3.976811594202897,0.49669492726963516
Relevance_to_Emergent_Phenomena,12,11,55.0,0.5096433122363316,-0.16666666666666666,small,human-y1,human-y2,3.361111111111112,3.8787878787878793,0.5662703469292574
Relevance_to_Emergent_Phenomena,12,23,14.5,4.287516506406656e-07,-0.894927536231884,large,human-y1,claude-opus-4-5,3.361111111111112,4.971014492753623,7.145860844011094e-07
Relevance_to_Emergent_Phenomena,12,23,11.5,1.0279666452109336e-07,-0.9166666666666666,large,human-y1,gemini-3-pro-preview,3.361111111111112,5.0,2.125714561127556e-07
Relevance_to_Emergent_Phenomena,12,23,11.5,1.0279666452109336e-07,-0.9166666666666666,large,human-y1,gpt-5.2,3.361111111111112,5.0,2.125714561127556e-07
Relevance_to_Emergent_Phenomena,11,23,3.0,1.0628572805637781e-07,-0.9762845849802372,large,human-y2,claude-opus-4-5,3.8787878787878793,4.971014492753623,2.125714561127556e-07
Relevance_to_Emergent_Phenomena,11,23,0.0,2.2682888301719508e-08,-1.0,large,human-y2,gemini-3-pro-preview,3.8787878787878793,5.0,1.1341444150859754e-07
Relevance_to_Emergent_Phenomena,11,23,0.0,2.2682888301719508e-08,-1.0,large,human-y2,gpt-5.2,3.8787878787878793,5.0,1.1341444150859754e-07
Relevance_to_Emergent_Phenomena,23,23,253.0,0.3388087066698511,-0.043478260869565216,negligible,claude-opus-4-5,gemini-3-pro-preview,4.971014492753623,5.0,0.42351088333731385
Relevance_to_Emergent_Phenomena,23,23,253.0,0.3388087066698511,-0.043478260869565216,negligible,claude-opus-4-5,gpt-5.2,4.971014492753623,5.0,0.42351088333731385
Relevance_to_Emergent_Phenomena,23,23,264.5,1.0,0.0,negligible,gemini-3-pro-preview,gpt-5.2,5.0,5.0,1.0
Novelty_and_Significance,12,11,52.5,0.36025791431722265,-0.20454545454545456,small,human-y1,human-y2,3.861111111111111,4.060606060606061,0.36025791431722265
Novelty_and_Significance,12,23,54.5,0.0009451124074915038,-0.605072463768116,large,human-y1,claude-opus-4-5,3.861111111111111,4.26086956521739,0.0018629211394910437
Novelty_and_Significance,12,23,38.5,1.4788490878722434e-05,-0.7210144927536232,large,human-y1,gemini-3-pro-preview,3.861111111111111,4.318840579710144,3.697122719680608e-05
Novelty_and_Significance,12,23,34.5,3.0056860793831688e-06,-0.75,large,human-y1,gpt-5.2,3.861111111111111,4.333333333333331,1.5028430396915843e-05
Novelty_and_Significance,11,23,50.5,0.0011177526836946262,-0.6007905138339921,large,human-y2,claude-opus-4-5,4.060606060606061,4.26086956521739,0.0018629211394910437
Novelty_and_Significance,11,23,28.5,5.468517793025125e-06,-0.7747035573122529,large,human-y2,gemini-3-pro-preview,4.060606060606061,4.318840579710144,1.8228392643417087e-05
Novelty_and_Significance,11,23,23.0,7.053051304695921e-07,-0.8181818181818182,large,human-y2,gpt-5.2,4.060606060606061,4.333333333333331,7.053051304695921e-06
Novelty_and_Significance,23,23,218.5,0.08667130698023746,-0.17391304347826086,small,claude-opus-4-5,gemini-3-pro-preview,4.26086956521739,4.318840579710144,0.10833913372529683
Novelty_and_Significance,23,23,207.0,0.02022023488928711,-0.21739130434782608,small,claude-opus-4-5,gpt-5.2,4.26086956521739,4.333333333333331,0.028886049841838728
Novelty_and_Significance,23,23,253.0,0.3388087066698511,-0.043478260869565216,negligible,gemini-3-pro-preview,gpt-5.2,4.318840579710144,4.333333333333331,0.36025791431722265
Rigor_of_Approach,12,11,49.5,0.29665735799443904,-0.25,small,human-y1,human-y2,3.3333333333333335,3.545454545454545,0.7058175565249589
Rigor_of_Approach,12,23,112.0,0.33736344203962176,-0.18840579710144928,small,human-y1,claude-opus-4-5,3.3333333333333335,3.5217391304347827,0.7058175565249589
