title,cohort,metric,human_n3,ai_n3
a unified framework for analyses of proteome turnover dynamics,Y2,mean_pairwise,0.05642699390697312,0.02405057312671366
a unified framework for analyses of proteome turnover dynamics,Y2,nn,0.04708235440568794,0.022581532434939766
a unified framework for analyses of proteome turnover dynamics,Y2,sparseness,0.03386205160738199,0.015504415241071675
a unified framework for analyses of proteome turnover dynamics,Y2,span90,0.023173149038126672,0.00872439165332175
cytokinetic bottlenecks of heat waves,Y1,mean_pairwise,0.06305875512599118,0.03156614437986993
cytokinetic bottlenecks of heat waves,Y1,nn,0.049774125800479276,0.02840711412782415
cytokinetic bottlenecks of heat waves,Y1,sparseness,0.03440220977580117,0.019619638505594044
cytokinetic bottlenecks of heat waves,Y1,span90,0.02628044639114299,0.011917802647979725
deciphering systemic biological networks through aidriven multiomic integration,Y2,mean_pairwise,0.0403348661262962,0.02677442855034562
deciphering systemic biological networks through aidriven multiomic integration,Y2,nn,0.036826668329169865,0.024509578803930048
deciphering systemic biological networks through aidriven multiomic integration,Y2,sparseness,0.02485450454419138,0.017059697598473256
deciphering systemic biological networks through aidriven multiomic integration,Y2,span90,0.014845376856136001,0.010017370904404355
discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Y2,mean_pairwise,0.03750657050599304,0.028061816571197995
discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Y2,nn,0.03469995314418268,0.026757292595531206
discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Y2,sparseness,0.023473626842210386,0.017846517868974583
discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Y2,span90,0.013667085048319772,0.009840428495410603
elucidating emergent structures in cellular rnaprotein interaction networks,Y1,mean_pairwise,0.037984498444959984,0.0355667126388051
elucidating emergent structures in cellular rnaprotein interaction networks,Y1,nn,0.03462498762977304,0.02926359454499509
elucidating emergent structures in cellular rnaprotein interaction networks,Y1,sparseness,0.0235716879582818,0.021240106548647348
elucidating emergent structures in cellular rnaprotein interaction networks,Y1,span90,0.0140755068319145,0.014753869524937624
elucidating genome structurefunction relationships in human brain cells,Y1,mean_pairwise,0.036109882227895795,0.0290781138294454
elucidating genome structurefunction relationships in human brain cells,Y1,nn,0.03400818212427663,0.02607939163024305
elucidating genome structurefunction relationships in human brain cells,Y1,sparseness,0.022954070199069736,0.01810327941938376
elucidating genome structurefunction relationships in human brain cells,Y1,span90,0.012933269428978274,0.011039173946376213
emergent order parameters of allostery an ai framework for predicting and engineering protein regulation,Y2,mean_pairwise,0.047091042499477966,0.035634338014581414
emergent order parameters of allostery an ai framework for predicting and engineering protein regulation,Y2,nn,0.04209548957602134,0.03461053324651131
emergent order parameters of allostery an ai framework for predicting and engineering protein regulation,Y2,sparseness,0.029358794253664427,0.02312089669625587
emergent order parameters of allostery an ai framework for predicting and engineering protein regulation,Y2,span90,0.018040521997462915,0.012314015126532251
energetic origins of connectivity within protein interaction networks,Y1,mean_pairwise,0.05049456841445968,0.03061295094482434
energetic origins of connectivity within protein interaction networks,Y1,nn,0.04380184153598056,0.02771890386726202
energetic origins of connectivity within protein interaction networks,Y1,sparseness,0.030728108776643875,0.018958018619394574
energetic origins of connectivity within protein interaction networks,Y1,span90,0.019865684772734704,0.0114250830498706
from image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Y1,mean_pairwise,0.035526814265657625,0.029659765297265068
from image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Y1,nn,0.03238366681637195,0.026756466825752168
