sample_index,human_value,ai_value,metric,condition
0,0.09208057920923346,0.13681048790927933,mean_pairwise_distance,baseline
1,0.09208057920923346,0.07440679723566229,mean_pairwise_distance,baseline
2,0.09208057920923346,0.1342245896343186,mean_pairwise_distance,baseline
3,0.09208057920923346,0.13510488309407895,mean_pairwise_distance,baseline
4,0.09208057920923346,0.07351761938554967,mean_pairwise_distance,baseline
5,0.09208057920923346,0.06808291122376212,mean_pairwise_distance,baseline
6,0.09208057920923346,0.06731284253682072,mean_pairwise_distance,baseline
7,0.09208057920923346,0.13502824589197815,mean_pairwise_distance,baseline
8,0.09208057920923346,0.07144147086991623,mean_pairwise_distance,baseline
9,0.09208057920923346,0.07121015184010442,mean_pairwise_distance,baseline
10,0.09208057920923346,0.06992141036648053,mean_pairwise_distance,baseline
11,0.09208057920923346,0.07505753930849521,mean_pairwise_distance,baseline
12,0.09208057920923346,0.13349396131726593,mean_pairwise_distance,baseline
13,0.09208057920923346,0.07780970862731632,mean_pairwise_distance,baseline
14,0.09208057920923346,0.07428071762733308,mean_pairwise_distance,baseline
15,0.09208057920923346,0.07644824548201128,mean_pairwise_distance,baseline
16,0.09208057920923346,0.07417322123945937,mean_pairwise_distance,baseline
17,0.09208057920923346,0.07398646881457845,mean_pairwise_distance,baseline
18,0.09208057920923346,0.07107290825824963,mean_pairwise_distance,baseline
19,0.09208057920923346,0.07196407308691576,mean_pairwise_distance,baseline
20,0.09208057920923346,0.07040208012690186,mean_pairwise_distance,baseline
21,0.09208057920923346,0.0735301919605421,mean_pairwise_distance,baseline
22,0.09208057920923346,0.0757184864975247,mean_pairwise_distance,baseline
23,0.09208057920923346,0.07009384990209647,mean_pairwise_distance,baseline
24,0.09208057920923346,0.13207342667070773,mean_pairwise_distance,baseline
25,0.09208057920923346,0.07597711152238808,mean_pairwise_distance,baseline
26,0.09208057920923346,0.06782997290607498,mean_pairwise_distance,baseline
27,0.09208057920923346,0.1317202811655791,mean_pairwise_distance,baseline
28,0.09208057920923346,0.07396052972130153,mean_pairwise_distance,baseline
29,0.09208057920923346,0.07089072536574051,mean_pairwise_distance,baseline
30,0.09208057920923346,0.07184888864223193,mean_pairwise_distance,baseline
31,0.09208057920923346,0.07056198171947313,mean_pairwise_distance,baseline
32,0.09208057920923346,0.06884011802937202,mean_pairwise_distance,baseline
33,0.09208057920923346,0.06956248957177867,mean_pairwise_distance,baseline
34,0.09208057920923346,0.07212511494225664,mean_pairwise_distance,baseline
35,0.09208057920923346,0.07293431796575252,mean_pairwise_distance,baseline
36,0.09208057920923346,0.13576752347908472,mean_pairwise_distance,baseline
37,0.09208057920923346,0.06727502020922574,mean_pairwise_distance,baseline
38,0.09208057920923346,0.13967806147963632,mean_pairwise_distance,baseline
39,0.09208057920923346,0.07316263980073891,mean_pairwise_distance,baseline
40,0.09208057920923346,0.1328936096707823,mean_pairwise_distance,baseline
41,0.09208057920923346,0.13666451825454773,mean_pairwise_distance,baseline
42,0.09208057920923346,0.07071860411421584,mean_pairwise_distance,baseline
43,0.09208057920923346,0.06871910128197652,mean_pairwise_distance,baseline
44,0.09208057920923346,0.07409920122312463,mean_pairwise_distance,baseline
45,0.09208057920923346,0.13649395261357425,mean_pairwise_distance,baseline
46,0.09208057920923346,0.07142184280124106,mean_pairwise_distance,baseline
47,0.09208057920923346,0.067837655544281,mean_pairwise_distance,baseline
48,0.09208057920923346,0.1376367663677502,mean_pairwise_distance,baseline
49,0.09208057920923346,0.07861326711451112,mean_pairwise_distance,baseline
50,0.09208057920923346,0.0703018119212667,mean_pairwise_distance,baseline
51,0.09208057920923346,0.13415914373435522,mean_pairwise_distance,baseline
52,0.09208057920923346,0.07013177306284546,mean_pairwise_distance,baseline
