condition,task,text_version,field,facet,metric,param,order,JT,p_raw,p_fdr,direction_ok,notes
baseline,proposals,original,whole,spread,mean_pairwise,,claude<gemini<gpt<human,1610.0,0.43625487120506834,0.523505845446082,False,JT over leave-one-out jackknife replicates
baseline,proposals,original,whole,richness,vendi,q=1,claude<gemini<gpt<human,1610.0,0.43625487120506834,0.523505845446082,False,JT over leave-one-out jackknife replicates
baseline,proposals,original,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human,1098.0,0.9996772774244873,1.0,False,JT over leave-one-out jackknife replicates
baseline,proposals,original,whole,coverage,coverage_geometric,k=3,claude<gemini<gpt<human,4.0,0.24845292378238398,0.3194394734344937,False,single coverage values per group; human = split-half median
baseline,proposals,original,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human,2116.0,0.00011175629979978511,0.00018287394512692107,False,JT over leave-one-out jackknife replicates
baseline,proposals,original,whole,displacement,mmd2,,claude>gemini>gpt (M5 flip: larger = more displaced),1587.0,1.0,1.0,False,JT over LOO replicates of Human<->model MMD2; predicted DECREASING (spec 8.2 direction flip)
baseline,proposals,original,whole,coverage,coverage_bertopic_region,k_lit=5,claude<gemini<gpt<human,805.0,0.9999999756548258,1.0,False,JT over LOO jackknife replicates of the union count at matched n
baseline,proposals,original,whole,coverage,coverage_mesh_terms,k_lit=5,claude<gemini<gpt<human,2112.0,0.00012467124144244077,0.00019513759530121166,False,JT over LOO jackknife replicates of the union count at matched n
baseline,proposals,original,whole,coverage,coverage_bertopic_region,k_lit=10,claude<gemini<gpt<human,882.5,0.9999995567873569,1.0,False,JT over LOO jackknife replicates of the union count at matched n
baseline,proposals,original,whole,coverage,coverage_mesh_terms,k_lit=10,claude<gemini<gpt<human,2116.0,0.00011175629979978511,0.00018287394512692107,False,JT over LOO jackknife replicates of the union count at matched n
baseline,proposals,original,whole,coverage,coverage_bertopic_region,k_lit=20,claude<gemini<gpt<human,2063.5,0.0004428084038692618,0.0006642126058038928,False,JT over LOO jackknife replicates of the union count at matched n
baseline,proposals,original,whole,coverage,coverage_mesh_terms,k_lit=20,claude<gemini<gpt<human,2116.0,0.00011175629979978511,0.00018287394512692107,False,JT over LOO jackknife replicates of the union count at matched n
