condition,task,text_version,field,comparison,stat,value
baseline,proposals,original,whole,human_vs_claude,ai_to_nearest_human_median,0.05538810366616931
baseline,proposals,original,whole,human_vs_claude,ai_to_nearest_human_q90,0.07051264530906791
baseline,proposals,original,whole,human_vs_claude,human_to_nearest_human_median,0.05466312296405029
baseline,proposals,original,whole,human_vs_claude,human_to_nearest_human_q90,0.07369568163574391
baseline,proposals,original,whole,human_vs_claude,human_to_nearest_ai_median,0.05613721368253999
baseline,proposals,original,whole,human_vs_claude,human_to_nearest_ai_q90,0.09527491391215241
baseline,proposals,original,whole,human_vs_claude,share_human_fringe,0.21739130434782608
baseline,proposals,original,whole,human_vs_claude,share_ai_pocket,0.043478260869565216
baseline,proposals,original,whole,human_vs_claude,n_ai,23.0
baseline,proposals,original,whole,human_vs_claude,n_human,23.0
baseline,proposals,original,whole,human_vs_gemini,ai_to_nearest_human_median,0.06605572863992681
baseline,proposals,original,whole,human_vs_gemini,ai_to_nearest_human_q90,0.08288753928044887
baseline,proposals,original,whole,human_vs_gemini,human_to_nearest_human_median,0.05466312296405029
baseline,proposals,original,whole,human_vs_gemini,human_to_nearest_human_q90,0.07369568163574391
baseline,proposals,original,whole,human_vs_gemini,human_to_nearest_ai_median,0.07074816374533655
baseline,proposals,original,whole,human_vs_gemini,human_to_nearest_ai_q90,0.09975113358407939
baseline,proposals,original,whole,human_vs_gemini,share_human_fringe,0.43478260869565216
baseline,proposals,original,whole,human_vs_gemini,share_ai_pocket,0.34782608695652173
baseline,proposals,original,whole,human_vs_gemini,n_ai,23.0
baseline,proposals,original,whole,human_vs_gemini,n_human,23.0
baseline,proposals,original,whole,human_vs_gpt,ai_to_nearest_human_median,0.058047778275736595
baseline,proposals,original,whole,human_vs_gpt,ai_to_nearest_human_q90,0.0716481840927401
baseline,proposals,original,whole,human_vs_gpt,human_to_nearest_human_median,0.05466312296405029
baseline,proposals,original,whole,human_vs_gpt,human_to_nearest_human_q90,0.07369568163574391
baseline,proposals,original,whole,human_vs_gpt,human_to_nearest_ai_median,0.06799445357723144
baseline,proposals,original,whole,human_vs_gpt,human_to_nearest_ai_q90,0.09519399346493773
baseline,proposals,original,whole,human_vs_gpt,share_human_fringe,0.2608695652173913
baseline,proposals,original,whole,human_vs_gpt,share_ai_pocket,0.043478260869565216
baseline,proposals,original,whole,human_vs_gpt,n_ai,23.0
baseline,proposals,original,whole,human_vs_gpt,n_human,23.0
baseline,proposals,original,whole,human_vs_pooled_ai,ai_to_nearest_human_median,0.06115582364895189
baseline,proposals,original,whole,human_vs_pooled_ai,ai_to_nearest_human_q90,0.07920322881076625
baseline,proposals,original,whole,human_vs_pooled_ai,human_to_nearest_human_median,0.05466312296405029
baseline,proposals,original,whole,human_vs_pooled_ai,human_to_nearest_human_q90,0.07369568163574391
baseline,proposals,original,whole,human_vs_pooled_ai,human_to_nearest_ai_median,0.0653333026622287
baseline,proposals,original,whole,human_vs_pooled_ai,human_to_nearest_ai_q90,0.0990752708503988
baseline,proposals,original,whole,human_vs_pooled_ai,share_human_fringe,0.24391304347826087
baseline,proposals,original,whole,human_vs_pooled_ai,share_ai_pocket,0.14565217391304347
baseline,proposals,original,whole,human_vs_pooled_ai,n_ai,4600.0
baseline,proposals,original,whole,human_vs_pooled_ai,n_human,23.0
