condition,metric,sample_index,ai_boot_value,human_value,effect_human_minus_ai
baseline,mesh_group_union_terms,0,885.0,871.0,-14.0
baseline,mesh_group_union_terms,1,897.0,871.0,-26.0
baseline,mesh_group_union_terms,2,910.0,871.0,-39.0
baseline,mesh_group_union_terms,3,803.0,871.0,68.0
baseline,mesh_group_union_terms,4,868.0,871.0,3.0
baseline,mesh_group_union_terms,5,871.0,871.0,0.0
baseline,mesh_group_union_terms,6,873.0,871.0,-2.0
baseline,mesh_group_union_terms,7,835.0,871.0,36.0
baseline,mesh_group_union_terms,8,906.0,871.0,-35.0
baseline,mesh_group_union_terms,9,861.0,871.0,10.0
baseline,mesh_group_union_terms,10,820.0,871.0,51.0
baseline,mesh_group_union_terms,11,902.0,871.0,-31.0
baseline,mesh_group_union_terms,12,864.0,871.0,7.0
baseline,mesh_group_union_terms,13,993.0,871.0,-122.0
baseline,mesh_group_union_terms,14,923.0,871.0,-52.0
baseline,mesh_group_union_terms,15,935.0,871.0,-64.0
baseline,mesh_group_union_terms,16,938.0,871.0,-67.0
baseline,mesh_group_union_terms,17,932.0,871.0,-61.0
baseline,mesh_group_union_terms,18,778.0,871.0,93.0
baseline,mesh_group_union_terms,19,861.0,871.0,10.0
baseline,mesh_group_union_terms,20,888.0,871.0,-17.0
baseline,mesh_group_union_terms,21,896.0,871.0,-25.0
baseline,mesh_group_union_terms,22,951.0,871.0,-80.0
baseline,mesh_group_union_terms,23,878.0,871.0,-7.0
baseline,mesh_group_union_terms,24,906.0,871.0,-35.0
baseline,mesh_group_union_terms,25,844.0,871.0,27.0
baseline,mesh_group_union_terms,26,820.0,871.0,51.0
baseline,mesh_group_union_terms,27,858.0,871.0,13.0
baseline,mesh_group_union_terms,28,849.0,871.0,22.0
baseline,mesh_group_union_terms,29,862.0,871.0,9.0
baseline,mesh_group_union_terms,30,897.0,871.0,-26.0
baseline,mesh_group_union_terms,31,869.0,871.0,2.0
baseline,mesh_group_union_terms,32,887.0,871.0,-16.0
baseline,mesh_group_union_terms,33,897.0,871.0,-26.0
baseline,mesh_group_union_terms,34,903.0,871.0,-32.0
baseline,mesh_group_union_terms,35,891.0,871.0,-20.0
baseline,mesh_group_union_terms,36,861.0,871.0,10.0
baseline,mesh_group_union_terms,37,835.0,871.0,36.0
baseline,mesh_group_union_terms,38,962.0,871.0,-91.0
baseline,mesh_group_union_terms,39,897.0,871.0,-26.0
baseline,mesh_group_union_terms,40,949.0,871.0,-78.0
baseline,mesh_group_union_terms,41,918.0,871.0,-47.0
baseline,mesh_group_union_terms,42,858.0,871.0,13.0
baseline,mesh_group_union_terms,43,923.0,871.0,-52.0
baseline,mesh_group_union_terms,44,924.0,871.0,-53.0
baseline,mesh_group_union_terms,45,850.0,871.0,21.0
baseline,mesh_group_union_terms,46,822.0,871.0,49.0
baseline,mesh_group_union_terms,47,853.0,871.0,18.0
baseline,mesh_group_union_terms,48,883.0,871.0,-12.0
baseline,mesh_group_union_terms,49,949.0,871.0,-78.0
baseline,mesh_group_union_terms,50,854.0,871.0,17.0
baseline,mesh_group_union_terms,51,904.0,871.0,-33.0
