condition,analysis_family,metric,test,human_n,ai_subsample_n,ai_pool_n,n_boot,human_value,ai_boot_mean,ai_boot_ci_low,ai_boot_ci_high,effect_human_minus_ai_boot_mean,effect_ci_low,effect_ci_high,bootstrap_p_value_directional
baseline,pooled_human_vs_allai_matrix_same_n_bootstrap,mean_pairwise_distance,same-size AI bootstrap,23,23,69,1000,0.41556957364082336,0.29256603913754226,0.15982796102762223,0.39530072882771494,0.12300353450328112,0.020268844813108443,0.25574161261320116,0.018
baseline,pooled_human_vs_allai_matrix_same_n_bootstrap,nearest_neighbor_distance,same-size AI bootstrap,23,23,69,1000,0.08198250376659891,0.055681539214175686,0.041811686235925426,0.07201923883479575,0.02630096455242323,0.00996326493180316,0.04017081753067348,0.0
baseline,pooled_human_vs_allai_matrix_same_n_bootstrap,grid_entropy,same-size AI bootstrap,23,23,69,1000,1.5379841082136025,1.7715557769131214,1.4777468341000444,1.9531525874151108,-0.23357166869951868,-0.41516847920150823,0.06023727411355817,0.128
baseline,pooled_human_vs_allai_matrix_same_n_bootstrap,mst_dispersion,same-size AI bootstrap,23,23,69,1000,0.11007438735528426,0.08407613006776028,0.0677137511020357,0.10075454325838522,0.025998257287523963,0.009319844096899026,0.042360636253248554,0.0
baseline,pooled_human_vs_allai_matrix_same_n_bootstrap,global_nn_distance,same-size AI bootstrap,23,23,69,1000,0.07470325024231621,0.04663221637580706,0.034812333272851034,0.060299674907456274,0.028071033866509155,0.014403575334859932,0.03989091696946517,0.0
baseline,pooled_human_vs_allai_matrix_same_n_bootstrap,global_mean_5nn_distance,same-size AI bootstrap,23,23,69,1000,0.08331730469413426,0.05401180563750475,0.039949652034303416,0.06999689804471057,0.029305499056629516,0.01332040664942368,0.04336765265983084,0.0
baseline,pooled_human_vs_allai_external_reference_same_n_bootstrap,literature_element_novelty_k1,same-size AI bootstrap,23,23,69,1000,0.09889993201131406,0.1022507282236348,0.09297504450963892,0.11152645828931228,-0.0033507962123207457,-0.01262652627799822,0.005924887501675143,0.474
baseline,pooled_human_vs_allai_external_reference_same_n_bootstrap,literature_mean_knn_novelty_k10,same-size AI bootstrap,23,23,69,1000,0.11557918009550673,0.11459542976229088,0.10522181166254957,0.12361134811587957,0.0009837503332158605,-0.00803216802037283,0.01035736843295716,0.85
baseline,pooled_human_vs_allai_external_reference_same_n_bootstrap,literature_local_density_normalized_novelty,same-size AI bootstrap,23,23,69,1000,0.3090983121090865,0.2894172834348777,0.10188754100620845,0.46979084128796095,0.019681028674208807,-0.16069252917887447,0.20721077110287803,0.85
baseline,pooled_human_vs_allai_external_reference_same_n_bootstrap,bertopic_region_entropy,same-size AI bootstrap,23,23,69,1000,0.5811551782805128,0.5894586871510349,0.4044555159228678,0.7795676536384437,-0.008303508870522065,-0.19841247535793097,0.17669966235764495,0.922
baseline,pooled_human_vs_allai_external_reference_same_n_bootstrap,bertopic_max_region_weight,same-size AI bootstrap,23,23,69,1000,0.8282608695652173,0.8120826086956521,0.7434782608695653,0.8804347826086955,0.016178260869565107,-0.05217391304347819,0.08478260869565202,0.652
baseline,pooled_human_vs_allai_external_reference_same_n_bootstrap,bertopic_unique_regions,same-size AI bootstrap,23,23,69,1000,2.0869565217391304,1.9863478260869565,1.6956521739130435,2.3043478260869565,0.10060869565217383,-0.21739130434782616,0.3913043478260869,0.588
baseline,pooled_human_vs_allai_external_reference_same_n_bootstrap,mesh_unique_terms_k20,same-size AI bootstrap,23,23,69,1000,86.47826086956522,94.45204347826086,85.77934782608696,103.04347826086956,-7.97378260869565,-16.565217391304344,0.6989130434782608,0.072
baseline,pooled_human_vs_allai_mesh_union,mesh_group_union_terms,same-size AI bootstrap,23,23,69,1000,871.0,871.799,774.0,963.025,-0.799,-92.025,97.0,0.982
