condition,task,text_branch,field,group,metric,x,y,y_lo,y_hi
baseline,proposals,rephrased,whole,Human,vendi_profile,0,23.0,,
baseline,proposals,rephrased,whole,Human,vendi_profile,0.5,7.004484795907787,,
baseline,proposals,rephrased,whole,Human,vendi_profile,1,3.148932867702903,,
baseline,proposals,rephrased,whole,Human,vendi_profile,2,2.12235638095679,,
baseline,proposals,rephrased,whole,Human,vendi_profile,4,1.8289827373339962,,
baseline,proposals,rephrased,whole,Human,vendi_profile,inf,1.5857115961395665,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,1,0.6306317002628423,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,2,0.26959184247408946,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,3,0.015122915363012964,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,4,0.011998977440877476,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,5,0.01069932419082428,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,6,0.00884661314051779,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,7,0.00705214487188402,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,8,0.006838110443055989,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,9,0.006032818346924329,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,10,0.004973867695394168,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,11,0.00411703206280929,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,12,0.0036107061892058537,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,13,0.0035103314078327604,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,14,0.0030897152549674996,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,15,0.0023903347145576427,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,16,0.002003391531429109,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,17,0.0017881743206130567,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,18,0.0017763431015602278,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,19,0.0015522207491946206,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,20,0.0013446449125620289,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,21,0.0011352758491371153,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,22,0.0010508765313287749,,
baseline,proposals,rephrased,whole,Human,kernel_eigen_scree,23,0.0008426391453792578,,
baseline,proposals,rephrased,whole,Human,ripley_K,0.027431038851441093,0.08695652173913043,0.0,0.6086956521739131
baseline,proposals,rephrased,whole,Human,ripley_K,0.031190325394019943,0.08695652173913043,0.08695652173913043,1.9130434782608696
baseline,proposals,rephrased,whole,Human,ripley_K,0.03345500285506447,0.2608695652173913,0.34782608695652173,2.9565217391304346
baseline,proposals,rephrased,whole,Human,ripley_K,0.03535892941137008,0.34782608695652173,0.6043478260869568,3.9130434782608696
baseline,proposals,rephrased,whole,Human,ripley_K,0.036928265147636904,0.5217391304347826,0.782608695652174,4.956521739130435
baseline,proposals,rephrased,whole,Human,ripley_K,0.038550190251741195,0.6956521739130435,1.1260869565217393,5.826086956521739
baseline,proposals,rephrased,whole,Human,ripley_K,0.039719673371846,1.0434782608695652,1.473913043478261,6.873913043478257
baseline,proposals,rephrased,whole,Human,ripley_K,0.04100263240407077,1.1304347826086956,1.7391304347826086,7.656521739130431
baseline,proposals,rephrased,whole,Human,ripley_K,0.04237277089881585,1.2173913043478262,2.0869565217391304,8.608695652173912
baseline,proposals,rephrased,whole,Human,ripley_K,0.04362106762779814,1.391304347826087,2.5173913043478264,9.304347826086957
baseline,proposals,rephrased,whole,Human,ripley_K,0.04506982665703059,1.7391304347826086,2.782608695652174,10.004347826086953
baseline,proposals,rephrased,whole,Human,ripley_K,0.04637485253252747,2.0,3.1260869565217395,10.869565217391305
baseline,proposals,rephrased,whole,Human,ripley_K,0.048162025342595845,2.4347826086956523,3.391304347826087,11.565217391304348
baseline,proposals,rephrased,whole,Human,ripley_K,0.04991604374173491,2.6956521739130435,3.8260869565217392,12.173913043478262
baseline,proposals,rephrased,whole,Human,ripley_K,0.05164751112751788,3.217391304347826,4.3478260869565215,12.782608695652174
baseline,proposals,rephrased,whole,Human,ripley_K,0.053566372518173526,3.652173913043478,4.691304347826088,13.478260869565217
baseline,proposals,rephrased,whole,Human,ripley_K,0.055952179299227724,4.086956521739131,5.121739130434783,14.091304347826084
baseline,proposals,rephrased,whole,Human,ripley_K,0.05851511783328887,4.434782608695652,5.647826086956522,15.130434782608695
baseline,proposals,rephrased,whole,Human,ripley_K,0.061514524758028204,5.130434782608695,6.0,15.652173913043478
baseline,proposals,rephrased,whole,Human,ripley_K,0.06642660819961294,6.086956521739131,6.3478260869565215,16.26086956521739
baseline,proposals,rephrased,whole,Human,g_function,0.027431038851441093,0.08695652173913043,,
baseline,proposals,rephrased,whole,Human,g_function,0.031190325394019943,0.08695652173913043,,
baseline,proposals,rephrased,whole,Human,g_function,0.03345500285506447,0.17391304347826086,,
baseline,proposals,rephrased,whole,Human,g_function,0.03535892941137008,0.21739130434782608,,
baseline,proposals,rephrased,whole,Human,g_function,0.036928265147636904,0.34782608695652173,,
baseline,proposals,rephrased,whole,Human,g_function,0.038550190251741195,0.34782608695652173,,
baseline,proposals,rephrased,whole,Human,g_function,0.039719673371846,0.391304347826087,,
baseline,proposals,rephrased,whole,Human,g_function,0.04100263240407077,0.391304347826087,,
baseline,proposals,rephrased,whole,Human,g_function,0.04237277089881585,0.391304347826087,,
baseline,proposals,rephrased,whole,Human,g_function,0.04362106762779814,0.43478260869565216,,
baseline,proposals,rephrased,whole,Human,g_function,0.04506982665703059,0.4782608695652174,,
baseline,proposals,rephrased,whole,Human,g_function,0.04637485253252747,0.4782608695652174,,
baseline,proposals,rephrased,whole,Human,g_function,0.048162025342595845,0.5217391304347826,,
baseline,proposals,rephrased,whole,Human,g_function,0.04991604374173491,0.5217391304347826,,
baseline,proposals,rephrased,whole,Human,g_function,0.05164751112751788,0.5652173913043478,,
baseline,proposals,rephrased,whole,Human,g_function,0.053566372518173526,0.5652173913043478,,
baseline,proposals,rephrased,whole,Human,g_function,0.055952179299227724,0.5652173913043478,,
baseline,proposals,rephrased,whole,Human,g_function,0.05851511783328887,0.5652173913043478,,
baseline,proposals,rephrased,whole,Human,g_function,0.061514524758028204,0.5652173913043478,,
baseline,proposals,rephrased,whole,Human,g_function,0.06642660819961294,0.6086956521739131,,
baseline,proposals,rephrased,whole,Claude,vendi_profile,0,23.0,,
baseline,proposals,rephrased,whole,Claude,vendi_profile,0.5,5.094449564420312,,
baseline,proposals,rephrased,whole,Claude,vendi_profile,1,2.1316668953254454,,
baseline,proposals,rephrased,whole,Claude,vendi_profile,2,1.4844979066361927,,
baseline,proposals,rephrased,whole,Claude,vendi_profile,4,1.3238901746877554,,
baseline,proposals,rephrased,whole,Claude,vendi_profile,inf,1.2344150180477074,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,1,0.8101003190819509,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,2,0.13010283594603084,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,3,0.01690695501259392,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,4,0.007238414219450624,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,5,0.006019940378949876,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,6,0.004003040959776189,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,7,0.0031885904628451253,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,8,0.0031135631156711838,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,9,0.002327130249283951,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,10,0.0021649991120538162,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,11,0.0017737404823208688,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,12,0.0016939634076627835,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,13,0.0016055028788369446,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,14,0.001349405362154639,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,15,0.001267957323948842,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,16,0.0011445144769359058,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,17,0.0010914004849011403,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,18,0.0010413082600130672,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,19,0.0010026543443283369,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,20,0.0008454002631426212,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,21,0.0007325831267997746,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,22,0.0006582238927323684,,
baseline,proposals,rephrased,whole,Claude,kernel_eigen_scree,23,0.0006275571576161672,,
baseline,proposals,rephrased,whole,Claude,ripley_K,0.027431038851441093,0.6086956521739131,0.0,0.6086956521739131
baseline,proposals,rephrased,whole,Claude,ripley_K,0.031190325394019943,2.1739130434782608,0.08695652173913043,1.9130434782608696
baseline,proposals,rephrased,whole,Claude,ripley_K,0.03345500285506447,4.173913043478261,0.34782608695652173,2.9565217391304346
baseline,proposals,rephrased,whole,Claude,ripley_K,0.03535892941137008,5.304347826086956,0.6043478260869568,3.9130434782608696
baseline,proposals,rephrased,whole,Claude,ripley_K,0.036928265147636904,6.521739130434782,0.782608695652174,4.956521739130435
baseline,proposals,rephrased,whole,Claude,ripley_K,0.038550190251741195,7.304347826086956,1.1260869565217393,5.826086956521739
baseline,proposals,rephrased,whole,Claude,ripley_K,0.039719673371846,8.347826086956522,1.473913043478261,6.873913043478257
baseline,proposals,rephrased,whole,Claude,ripley_K,0.04100263240407077,9.217391304347826,1.7391304347826086,7.656521739130431
