condition,task,text_version,field,comparison,stat,value
baseline,proposals,rephrased,whole,human_vs_claude,ai_to_nearest_human_median,0.03367754568348291
baseline,proposals,rephrased,whole,human_vs_claude,ai_to_nearest_human_q90,0.10660389389663766
baseline,proposals,rephrased,whole,human_vs_claude,human_to_nearest_human_median,0.04762805069413978
baseline,proposals,rephrased,whole,human_vs_claude,human_to_nearest_human_q90,0.1470781232876702
baseline,proposals,rephrased,whole,human_vs_claude,human_to_nearest_ai_median,0.04617406324056628
baseline,proposals,rephrased,whole,human_vs_claude,human_to_nearest_ai_q90,0.1707961624524792
baseline,proposals,rephrased,whole,human_vs_claude,share_human_fringe,0.17391304347826086
baseline,proposals,rephrased,whole,human_vs_claude,share_ai_pocket,0.08695652173913043
baseline,proposals,rephrased,whole,human_vs_claude,n_ai,23.0
baseline,proposals,rephrased,whole,human_vs_claude,n_human,23.0
baseline,proposals,rephrased,whole,human_vs_gemini,ai_to_nearest_human_median,0.043295689485867705
baseline,proposals,rephrased,whole,human_vs_gemini,ai_to_nearest_human_q90,0.1581635273881642
baseline,proposals,rephrased,whole,human_vs_gemini,human_to_nearest_human_median,0.04762805069413978
baseline,proposals,rephrased,whole,human_vs_gemini,human_to_nearest_human_q90,0.1470781232876702
baseline,proposals,rephrased,whole,human_vs_gemini,human_to_nearest_ai_median,0.043733271426138254
baseline,proposals,rephrased,whole,human_vs_gemini,human_to_nearest_ai_q90,0.20302390393374448
baseline,proposals,rephrased,whole,human_vs_gemini,share_human_fringe,0.34782608695652173
baseline,proposals,rephrased,whole,human_vs_gemini,share_ai_pocket,0.17391304347826086
baseline,proposals,rephrased,whole,human_vs_gemini,n_ai,23.0
baseline,proposals,rephrased,whole,human_vs_gemini,n_human,23.0
baseline,proposals,rephrased,whole,human_vs_gpt,ai_to_nearest_human_median,0.03904293173283202
baseline,proposals,rephrased,whole,human_vs_gpt,ai_to_nearest_human_q90,0.13259039989888818
baseline,proposals,rephrased,whole,human_vs_gpt,human_to_nearest_human_median,0.04762805069413978
baseline,proposals,rephrased,whole,human_vs_gpt,human_to_nearest_human_q90,0.1470781232876702
baseline,proposals,rephrased,whole,human_vs_gpt,human_to_nearest_ai_median,0.0462700636647535
baseline,proposals,rephrased,whole,human_vs_gpt,human_to_nearest_ai_q90,0.1809793554118687
baseline,proposals,rephrased,whole,human_vs_gpt,share_human_fringe,0.21739130434782608
baseline,proposals,rephrased,whole,human_vs_gpt,share_ai_pocket,0.0
baseline,proposals,rephrased,whole,human_vs_gpt,n_ai,23.0
baseline,proposals,rephrased,whole,human_vs_gpt,n_human,23.0
baseline,proposals,rephrased,whole,human_vs_pooled_ai,ai_to_nearest_human_median,0.040570862893936965
baseline,proposals,rephrased,whole,human_vs_pooled_ai,ai_to_nearest_human_q90,0.1441367248945522
baseline,proposals,rephrased,whole,human_vs_pooled_ai,human_to_nearest_human_median,0.04762805069413978
baseline,proposals,rephrased,whole,human_vs_pooled_ai,human_to_nearest_human_q90,0.1470781232876702
baseline,proposals,rephrased,whole,human_vs_pooled_ai,human_to_nearest_ai_median,0.0462700636647535
baseline,proposals,rephrased,whole,human_vs_pooled_ai,human_to_nearest_ai_q90,0.1851314454637692
baseline,proposals,rephrased,whole,human_vs_pooled_ai,share_human_fringe,0.22282608695652173
baseline,proposals,rephrased,whole,human_vs_pooled_ai,share_ai_pocket,0.08934782608695652
baseline,proposals,rephrased,whole,human_vs_pooled_ai,n_ai,4600.0
baseline,proposals,rephrased,whole,human_vs_pooled_ai,n_human,23.0
