proposal_uid,source_group,char_len,word_count,sentence_count,avg_sentence_len,type_token_ratio,comma_rate,digit_rate,uppercase_rate
y1::1,Human,1853,247,13,19.0,0.6720647773279352,0.0,0.0,0.007555315704263357
y1::10,Human,1885,243,13,18.692307692307693,0.6090534979423868,0.0,0.0,0.01909814323607427
y1::11,Human,1811,240,14,17.142857142857142,0.5958333333333333,0.0,0.0011043622308117063,0.024295969077857537
y1::12,Human,1805,249,13,19.153846153846153,0.6144578313253012,0.0,0.0,0.023822714681440444
y1::2,Human,1689,234,12,19.5,0.6282051282051282,0.0,0.0,0.017169923031379514
y1::3,Human,1887,256,13,19.692307692307693,0.61328125,0.0,0.0,0.03073661897191309
y1::4,Human,1910,251,13,19.307692307692307,0.6414342629482072,0.0,0.0,0.02198952879581152
y1::5,Human,1999,251,13,19.307692307692307,0.6175298804780877,0.0,0.0,0.01150575287643822
y1::6,Human,1832,257,13,19.76923076923077,0.6186770428015564,0.0,0.0032751091703056767,0.025109170305676855
y1::7,Human,1841,240,13,18.46153846153846,0.6125,0.0,0.0005431830526887561,0.017925040738728953
y1::8,Human,1798,235,13,18.076923076923077,0.5617021276595745,0.0,0.0,0.021690767519466074
y1::9,Human,1948,250,13,19.23076923076923,0.7,0.0,0.0,0.02053388090349076
y2::1,Human,1837,238,13,18.307692307692307,0.6596638655462185,0.0,0.0,0.0130647795318454
y2::10,Human,2076,259,13,19.923076923076923,0.6061776061776062,0.0,0.0009633911368015414,0.01348747591522158
y2::11,Human,1648,218,12,18.166666666666668,0.6192660550458715,0.0,0.0048543689320388345,0.01516990291262136
y2::2,Human,1822,236,14,16.857142857142858,0.6313559322033898,0.0,0.0021953896816684962,0.013721185510428101
y2::3,Human,1844,235,13,18.076923076923077,0.6851063829787234,0.0,0.0,0.010845986984815618
y2::4,Human,1977,244,13,18.76923076923077,0.6721311475409836,0.0,0.0,0.01618614061709661
y2::5,Human,1772,234,13,18.0,0.6153846153846154,0.0,0.0,0.012979683972911963
