condition,task,text_version,field,comparison,stat,value
baseline,reviews,original,whole,human_vs_claude,ai_to_nearest_human_median,0.04738112853217902
baseline,reviews,original,whole,human_vs_claude,ai_to_nearest_human_q90,0.06109666939413761
baseline,reviews,original,whole,human_vs_claude,human_to_nearest_human_median,0.024796121217195766
baseline,reviews,original,whole,human_vs_claude,human_to_nearest_human_q90,0.0379966551167068
baseline,reviews,original,whole,human_vs_claude,human_to_nearest_ai_median,0.05220915015610028
baseline,reviews,original,whole,human_vs_claude,human_to_nearest_ai_q90,0.06734036450361564
baseline,reviews,original,whole,human_vs_claude,share_human_fringe,0.8588235294117647
baseline,reviews,original,whole,human_vs_claude,share_ai_pocket,0.782608695652174
baseline,reviews,original,whole,human_vs_claude,n_ai,115.0
baseline,reviews,original,whole,human_vs_claude,n_human,85.0
baseline,reviews,original,whole,human_vs_gemini,ai_to_nearest_human_median,0.0469202962078864
baseline,reviews,original,whole,human_vs_gemini,ai_to_nearest_human_q90,0.06292188978869316
baseline,reviews,original,whole,human_vs_gemini,human_to_nearest_human_median,0.024796121217195766
baseline,reviews,original,whole,human_vs_gemini,human_to_nearest_human_q90,0.0379966551167068
baseline,reviews,original,whole,human_vs_gemini,human_to_nearest_ai_median,0.05060367728922821
baseline,reviews,original,whole,human_vs_gemini,human_to_nearest_ai_q90,0.06701204755718933
baseline,reviews,original,whole,human_vs_gemini,share_human_fringe,0.8588235294117647
baseline,reviews,original,whole,human_vs_gemini,share_ai_pocket,0.8956521739130435
baseline,reviews,original,whole,human_vs_gemini,n_ai,115.0
baseline,reviews,original,whole,human_vs_gemini,n_human,85.0
baseline,reviews,original,whole,human_vs_gpt,ai_to_nearest_human_median,0.044259362785056044
baseline,reviews,original,whole,human_vs_gpt,ai_to_nearest_human_q90,0.05344628005455503
baseline,reviews,original,whole,human_vs_gpt,human_to_nearest_human_median,0.024796121217195766
baseline,reviews,original,whole,human_vs_gpt,human_to_nearest_human_q90,0.0379966551167068
baseline,reviews,original,whole,human_vs_gpt,human_to_nearest_ai_median,0.04667096384886693
baseline,reviews,original,whole,human_vs_gpt,human_to_nearest_ai_q90,0.058898262857972686
baseline,reviews,original,whole,human_vs_gpt,share_human_fringe,0.788235294117647
baseline,reviews,original,whole,human_vs_gpt,share_ai_pocket,0.7304347826086957
baseline,reviews,original,whole,human_vs_gpt,n_ai,115.0
baseline,reviews,original,whole,human_vs_gpt,n_human,85.0
baseline,reviews,original,whole,human_vs_pooled_ai,ai_to_nearest_human_median,0.045825484415101814
baseline,reviews,original,whole,human_vs_pooled_ai,ai_to_nearest_human_q90,0.05978913645424584
baseline,reviews,original,whole,human_vs_pooled_ai,human_to_nearest_human_median,0.024796121217195766
baseline,reviews,original,whole,human_vs_pooled_ai,human_to_nearest_human_q90,0.0379966551167068
baseline,reviews,original,whole,human_vs_pooled_ai,human_to_nearest_ai_median,0.04392005593803394
baseline,reviews,original,whole,human_vs_pooled_ai,human_to_nearest_ai_q90,0.05591178254353888
baseline,reviews,original,whole,human_vs_pooled_ai,share_human_fringe,0.6941176470588235
baseline,reviews,original,whole,human_vs_pooled_ai,share_ai_pocket,0.8028985507246377
baseline,reviews,original,whole,human_vs_pooled_ai,n_ai,345.0
baseline,reviews,original,whole,human_vs_pooled_ai,n_human,85.0
