condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals
baseline,all_ai,All AI,centroid_loo,global_centroid_dist,0.9377470355731227,4.133520162074528e-11,23
baseline,all_ai,All AI,centroid_loo,medoid_dist,0.9308300395256918,1.2116318314691535e-10,23
baseline,all_ai,All AI,centroid_loo,mst_dispersion,0.9762845849802372,1.947170275798853e-15,23
baseline,all_ai,All AI,centroid_loo,remote_clique,0.983201581027668,5.3708298825907296e-17,23
baseline,all_ai,All AI,centroid_loo,span90,0.9011857707509882,4.48681122881196e-09,23
baseline,all_ai,All AI,centroid_loo,sparseness,0.9377470355731227,4.133520162074528e-11,23
baseline,all_ai,All AI,global_centroid_dist,medoid_dist,0.9515810276679842,3.140424967104547e-12,23
baseline,all_ai,All AI,global_centroid_dist,mst_dispersion,0.9071146245059288,2.4066965518574098e-09,23
baseline,all_ai,All AI,global_centroid_dist,remote_clique,0.9713438735177865,1.3898050327857093e-14,23
baseline,all_ai,All AI,global_centroid_dist,span90,0.9752964426877472,2.9762909743739418e-15,23
baseline,all_ai,All AI,global_centroid_dist,sparseness,1.0,0.0,23
baseline,all_ai,All AI,mean_pairwise,centroid_loo,0.983201581027668,5.3708298825907296e-17,23
baseline,all_ai,All AI,mean_pairwise,global_centroid_dist,0.9713438735177865,1.3898050327857093e-14,23
baseline,all_ai,All AI,mean_pairwise,medoid_dist,0.950592885375494,3.865572728527236e-12,23
baseline,all_ai,All AI,mean_pairwise,mst_dispersion,0.9565217391304348,1.0367507751993613e-12,23
baseline,all_ai,All AI,mean_pairwise,nn,0.9120553359683794,1.3862822602287868e-09,23
baseline,all_ai,All AI,mean_pairwise,remote_clique,1.0,0.0,23
baseline,all_ai,All AI,mean_pairwise,span90,0.9387351778656127,3.5096875332960365e-11,23
baseline,all_ai,All AI,mean_pairwise,sparseness,0.9713438735177865,1.3898050327857093e-14,23
baseline,all_ai,All AI,medoid_dist,mst_dispersion,0.9486166007905139,5.7844212032404675e-12,23
baseline,all_ai,All AI,medoid_dist,remote_clique,0.950592885375494,3.865572728527236e-12,23
baseline,all_ai,All AI,medoid_dist,span90,0.9021739130434783,4.055548807322043e-09,23
baseline,all_ai,All AI,medoid_dist,sparseness,0.9515810276679842,3.140424967104547e-12,23
baseline,all_ai,All AI,mst_dispersion,remote_clique,0.9565217391304348,1.0367507751993613e-12,23
baseline,all_ai,All AI,mst_dispersion,sparseness,0.9071146245059288,2.4066965518574098e-09,23
baseline,all_ai,All AI,nn,centroid_loo,0.9446640316205533,1.2376027906403914e-11,23
baseline,all_ai,All AI,nn,global_centroid_dist,0.8596837944664032,1.4744062348221698e-07,23
baseline,all_ai,All AI,nn,medoid_dist,0.9140316205533597,1.101726912534852e-09,23
baseline,all_ai,All AI,nn,mst_dispersion,0.9792490118577075,4.854287395760623e-16,23
baseline,all_ai,All AI,nn,remote_clique,0.9120553359683794,1.3862822602287868e-09,23
baseline,all_ai,All AI,nn,span90,0.8043478260869565,3.735695278060342e-06,23
baseline,all_ai,All AI,nn,sparseness,0.8596837944664032,1.4744062348221698e-07,23
baseline,all_ai,All AI,span90,mst_dispersion,0.8567193675889329,1.811395026205741e-07,23
baseline,all_ai,All AI,span90,remote_clique,0.9387351778656127,3.5096875332960365e-11,23
baseline,all_ai,All AI,span90,sparseness,0.9752964426877472,2.9762909743739418e-15,23
baseline,all_ai,All AI,sparseness,remote_clique,0.9713438735177865,1.3898050327857093e-14,23
baseline,claude,Claude,centroid_loo,global_centroid_dist,0.9426877470355731,1.7733200161440015e-11,23
baseline,claude,Claude,centroid_loo,medoid_dist,0.9347826086956521,6.648388758678471e-11,23
baseline,claude,Claude,centroid_loo,mst_dispersion,0.9703557312252965,1.9754383177126073e-14,23
baseline,claude,Claude,centroid_loo,remote_clique,0.9930830039525691,5.041544879133055e-21,23
baseline,claude,Claude,centroid_loo,span90,0.884387351778656,2.1614261774823373e-08,23
baseline,claude,Claude,centroid_loo,sparseness,0.9426877470355731,1.7733200161440015e-11,23
baseline,claude,Claude,global_centroid_dist,medoid_dist,0.9683794466403162,3.8565010642989665e-14,23
baseline,claude,Claude,global_centroid_dist,mst_dispersion,0.9268774703557312,2.133522580785247e-10,23
baseline,claude,Claude,global_centroid_dist,remote_clique,0.9673913043478262,5.304299500721495e-14,23
baseline,claude,Claude,global_centroid_dist,span90,0.9634387351778656,1.7329804448776302e-13,23
baseline,claude,Claude,global_centroid_dist,sparseness,1.0,0.0,23
baseline,claude,Claude,mean_pairwise,centroid_loo,0.9930830039525691,5.041544879133055e-21,23
baseline,claude,Claude,mean_pairwise,global_centroid_dist,0.9673913043478262,5.304299500721495e-14,23
baseline,claude,Claude,mean_pairwise,medoid_dist,0.9565217391304348,1.0367507751993613e-12,23
baseline,claude,Claude,mean_pairwise,mst_dispersion,0.974308300395257,4.473465094212444e-15,23
baseline,claude,Claude,mean_pairwise,nn,0.9496047430830039,4.738207317241129e-12,23
baseline,claude,Claude,mean_pairwise,remote_clique,1.0,0.0,23
baseline,claude,Claude,mean_pairwise,span90,0.9130434782608695,1.2366809696599139e-09,23
baseline,claude,Claude,mean_pairwise,sparseness,0.9673913043478262,5.304299500721495e-14,23
baseline,claude,Claude,medoid_dist,mst_dispersion,0.9565217391304348,1.0367507751993613e-12,23
baseline,claude,Claude,medoid_dist,remote_clique,0.9565217391304348,1.0367507751993613e-12,23
baseline,claude,Claude,medoid_dist,span90,0.8942687747035574,8.84805261881931e-09,23
baseline,claude,Claude,medoid_dist,sparseness,0.9683794466403162,3.8565010642989665e-14,23
