condition,task,text_version,field,facet,metric,param,group,value,z,z_ci_lo,z_ci_hi,sign_aligned,stars,mode
baseline,reviews,rephrased,whole,spread,mean_pairwise,,Claude,1.0,1.0,1.0,1.0,1,***,delta
baseline,reviews,rephrased,whole,spread,mean_pairwise,,Gemini,0.9130434782608695,0.9130434782608695,0.7391304347826086,1.0,1,***,delta
baseline,reviews,rephrased,whole,spread,mean_pairwise,,GPT,0.5652173913043478,0.5652173913043478,0.21739130434782608,0.9130434782608695,1,***,delta
baseline,reviews,rephrased,whole,spread,mean_pairwise,,All AI,0.7391304347826086,0.7391304347826086,0.4782608695652174,1.0,1,***,delta
baseline,reviews,rephrased,whole,richness,vendi,q=1,Claude,1.0,1.0,1.0,1.0,1,***,delta
baseline,reviews,rephrased,whole,richness,vendi,q=1,Gemini,0.9130434782608695,0.9130434782608695,0.7391304347826086,1.0,1,***,delta
baseline,reviews,rephrased,whole,richness,vendi,q=1,GPT,0.5652173913043478,0.5652173913043478,0.21739130434782608,0.9130434782608695,1,***,delta
baseline,reviews,rephrased,whole,richness,vendi,q=1,All AI,0.7391304347826086,0.7391304347826086,0.4782608695652174,1.0,1,***,delta
baseline,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,Claude,-1.0,1.0,1.0,1.0,-1,***,delta
baseline,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,Gemini,-0.8260869565217391,0.8260869565217391,0.5652173913043478,1.0,-1,***,delta
baseline,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,GPT,-0.5652173913043478,0.5652173913043478,0.21739130434782608,0.9130434782608695,-1,***,delta
baseline,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,All AI,-0.8260869565217391,0.8260869565217391,0.5652173913043478,1.0,-1,***,delta
baseline,reviews,rephrased,whole,dimensionality,participation_ratio,,Claude,-0.2727272727272727,-0.2727272727272727,-0.6521739130434783,0.13043478260869565,1,*,delta
baseline,reviews,rephrased,whole,dimensionality,participation_ratio,,Gemini,-0.18181818181818182,-0.18181818181818182,-0.5652173913043478,0.23809523809523808,1,,delta
baseline,reviews,rephrased,whole,dimensionality,participation_ratio,,GPT,-0.5454545454545454,-0.5454545454545454,-0.9,-0.18181818181818182,1,**,delta
baseline,reviews,rephrased,whole,dimensionality,participation_ratio,,All AI,-0.8181818181818182,-0.8181818181818182,-1.0,-0.5454545454545454,1,***,delta
baseline,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,Claude,-0.0,-0.0,-0.47368421052631576,0.5,1,,delta
baseline,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,Gemini,-0.4,-0.4,-0.8,0.047619047619047616,1,,delta
baseline,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,GPT,0.17647058823529413,0.17647058823529413,-0.29411764705882354,0.6470588235294118,1,,delta
baseline,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,All AI,-0.2727272727272727,-0.2727272727272727,-0.6363636363636364,0.18181818181818182,1,,delta
