condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals,field_branch
baseline,all_ai,All AI,centroid_loo,global_centroid_dist,0.9693675889328063,2.7752536222287567e-14,23,strengths
baseline,all_ai,All AI,centroid_loo,medoid_dist,0.9328063241106721,9.016093452521021e-11,23,strengths
baseline,all_ai,All AI,centroid_loo,mst_dispersion,0.9387351778656127,3.5096875332960365e-11,23,strengths
baseline,all_ai,All AI,centroid_loo,remote_clique,0.9960474308300397,1.433047731869931e-23,23,strengths
baseline,all_ai,All AI,centroid_loo,span90,0.8814229249011858,2.7817398148580042e-08,23,strengths
baseline,all_ai,All AI,centroid_loo,sparseness,0.9693675889328063,2.7752536222287567e-14,23,strengths
baseline,all_ai,All AI,global_centroid_dist,medoid_dist,0.9298418972332017,1.4000253245746014e-10,23,strengths
baseline,all_ai,All AI,global_centroid_dist,mst_dispersion,0.9041501976284586,3.302671241557327e-09,23,strengths
baseline,all_ai,All AI,global_centroid_dist,remote_clique,0.9812252964426879,1.7119446104319924e-16,23,strengths
baseline,all_ai,All AI,global_centroid_dist,span90,0.9268774703557312,2.133522580785247e-10,23,strengths
baseline,all_ai,All AI,global_centroid_dist,sparseness,1.0,0.0,23,strengths
baseline,all_ai,All AI,mean_pairwise,centroid_loo,0.9960474308300397,1.433047731869931e-23,23,strengths
baseline,all_ai,All AI,mean_pairwise,global_centroid_dist,0.9812252964426879,1.7119446104319924e-16,23,strengths
baseline,all_ai,All AI,mean_pairwise,medoid_dist,0.9367588932806324,4.855363761083324e-11,23,strengths
baseline,all_ai,All AI,mean_pairwise,mst_dispersion,0.933794466403162,7.751322266758986e-11,23,strengths
baseline,all_ai,All AI,mean_pairwise,nn,0.8853754940711462,1.984058663849598e-08,23,strengths
baseline,all_ai,All AI,mean_pairwise,remote_clique,1.0,0.0,23,strengths
baseline,all_ai,All AI,mean_pairwise,span90,0.8942687747035574,8.84805261881931e-09,23,strengths
baseline,all_ai,All AI,mean_pairwise,sparseness,0.9812252964426879,1.7119446104319924e-16,23,strengths
baseline,all_ai,All AI,medoid_dist,mst_dispersion,0.9841897233201581,2.854051190493887e-17,23,strengths
baseline,all_ai,All AI,medoid_dist,remote_clique,0.9367588932806324,4.855363761083324e-11,23,strengths
baseline,all_ai,All AI,medoid_dist,span90,0.8122529644268776,2.5147845233153664e-06,23,strengths
baseline,all_ai,All AI,medoid_dist,sparseness,0.9298418972332017,1.4000253245746014e-10,23,strengths
baseline,all_ai,All AI,mst_dispersion,remote_clique,0.933794466403162,7.751322266758986e-11,23,strengths
baseline,all_ai,All AI,mst_dispersion,sparseness,0.9041501976284586,3.302671241557327e-09,23,strengths
baseline,all_ai,All AI,nn,centroid_loo,0.8932806324110673,9.712217172071093e-09,23,strengths
baseline,all_ai,All AI,nn,global_centroid_dist,0.8438735177865613,4.204511981809148e-07,23,strengths
baseline,all_ai,All AI,nn,medoid_dist,0.941699604743083,2.1126675899306958e-11,23,strengths
baseline,all_ai,All AI,nn,mst_dispersion,0.9594861660079053,5.004227319259316e-13,23,strengths
baseline,all_ai,All AI,nn,remote_clique,0.8853754940711462,1.984058663849598e-08,23,strengths
baseline,all_ai,All AI,nn,span90,0.6758893280632412,0.000400290736137923,23,strengths
baseline,all_ai,All AI,nn,sparseness,0.8438735177865613,4.204511981809148e-07,23,strengths
baseline,all_ai,All AI,span90,mst_dispersion,0.7885375494071146,7.837081009945215e-06,23,strengths
baseline,all_ai,All AI,span90,remote_clique,0.8942687747035574,8.84805261881931e-09,23,strengths
baseline,all_ai,All AI,span90,sparseness,0.9268774703557312,2.133522580785247e-10,23,strengths
baseline,all_ai,All AI,sparseness,remote_clique,0.9812252964426879,1.7119446104319924e-16,23,strengths
baseline,claude,Claude,centroid_loo,global_centroid_dist,0.9664031620553359,7.225576101378271e-14,23,strengths
baseline,claude,Claude,centroid_loo,medoid_dist,0.9436758893280633,1.4838379845626962e-11,23,strengths
baseline,claude,Claude,centroid_loo,mst_dispersion,0.9407114624505929,2.5093672174275708e-11,23,strengths
baseline,claude,Claude,centroid_loo,remote_clique,0.9940711462450593,1.0034336129623743e-21,23,strengths
baseline,claude,Claude,centroid_loo,span90,0.9110671936758895,1.551919112141883e-09,23,strengths
baseline,claude,Claude,centroid_loo,sparseness,0.9664031620553359,7.225576101378271e-14,23,strengths
baseline,claude,Claude,global_centroid_dist,medoid_dist,0.9446640316205533,1.2376027906403914e-11,23,strengths
baseline,claude,Claude,global_centroid_dist,mst_dispersion,0.9021739130434783,4.055548807322043e-09,23,strengths
baseline,claude,Claude,global_centroid_dist,remote_clique,0.9762845849802372,1.947170275798853e-15,23,strengths
baseline,claude,Claude,global_centroid_dist,span90,0.9624505928853755,2.2830334775646334e-13,23,strengths
baseline,claude,Claude,global_centroid_dist,sparseness,1.0,0.0,23,strengths
baseline,claude,Claude,mean_pairwise,centroid_loo,0.9940711462450593,1.0034336129623743e-21,23,strengths
baseline,claude,Claude,mean_pairwise,global_centroid_dist,0.9762845849802372,1.947170275798853e-15,23,strengths
baseline,claude,Claude,mean_pairwise,medoid_dist,0.9446640316205533,1.2376027906403914e-11,23,strengths
baseline,claude,Claude,mean_pairwise,mst_dispersion,0.9357707509881423,5.688650095028583e-11,23,strengths
baseline,claude,Claude,mean_pairwise,nn,0.8784584980237155,3.5565910113438074e-08,23,strengths
baseline,claude,Claude,mean_pairwise,remote_clique,1.0,0.0,23,strengths
baseline,claude,Claude,mean_pairwise,span90,0.9219367588932808,4.146041386732718e-10,23,strengths
baseline,claude,Claude,mean_pairwise,sparseness,0.9762845849802372,1.947170275798853e-15,23,strengths
baseline,claude,Claude,medoid_dist,mst_dispersion,0.9604743083003953,3.8781974119233065e-13,23,strengths
baseline,claude,Claude,medoid_dist,remote_clique,0.9446640316205533,1.2376027906403914e-11,23,strengths
baseline,claude,Claude,medoid_dist,span90,0.8507905138339922,2.6977559195331056e-07,23,strengths
baseline,claude,Claude,medoid_dist,sparseness,0.9446640316205533,1.2376027906403914e-11,23,strengths
baseline,claude,Claude,mst_dispersion,remote_clique,0.9357707509881423,5.688650095028583e-11,23,strengths
