condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals,field_branch
baseline,all_ai,All AI,centroid_loo,global_centroid_dist,0.9683794466403162,3.8565010642989665e-14,23,weakness
baseline,all_ai,All AI,centroid_loo,medoid_dist,0.9426877470355731,1.7733200161440015e-11,23,weakness
baseline,all_ai,All AI,centroid_loo,mst_dispersion,0.9377470355731227,4.133520162074528e-11,23,weakness
baseline,all_ai,All AI,centroid_loo,remote_clique,0.9930830039525691,5.041544879133055e-21,23,weakness
baseline,all_ai,All AI,centroid_loo,span90,0.9041501976284586,3.302671241557327e-09,23,weakness
baseline,all_ai,All AI,centroid_loo,sparseness,0.9683794466403162,3.8565010642989665e-14,23,weakness
baseline,all_ai,All AI,global_centroid_dist,medoid_dist,0.9387351778656127,3.5096875332960365e-11,23,weakness
baseline,all_ai,All AI,global_centroid_dist,mst_dispersion,0.8952569169960475,8.053373554312945e-09,23,weakness
baseline,all_ai,All AI,global_centroid_dist,remote_clique,0.9851778656126482,1.4555716366082698e-17,23,weakness
baseline,all_ai,All AI,global_centroid_dist,span90,0.9535573122529646,2.045296157918174e-12,23,weakness
baseline,all_ai,All AI,global_centroid_dist,sparseness,1.0,0.0,23,weakness
baseline,all_ai,All AI,mean_pairwise,centroid_loo,0.9930830039525691,5.041544879133055e-21,23,weakness
baseline,all_ai,All AI,mean_pairwise,global_centroid_dist,0.9851778656126482,1.4555716366082698e-17,23,weakness
baseline,all_ai,All AI,mean_pairwise,medoid_dist,0.9347826086956521,6.648388758678471e-11,23,weakness
baseline,all_ai,All AI,mean_pairwise,mst_dispersion,0.9199604743083004,5.343059876817408e-10,23,weakness
baseline,all_ai,All AI,mean_pairwise,nn,0.882411067193676,2.559268518021324e-08,23,weakness
baseline,all_ai,All AI,mean_pairwise,remote_clique,1.0,0.0,23,weakness
baseline,all_ai,All AI,mean_pairwise,span90,0.9298418972332017,1.4000253245746014e-10,23,weakness
baseline,all_ai,All AI,mean_pairwise,sparseness,0.9851778656126482,1.4555716366082698e-17,23,weakness
baseline,all_ai,All AI,medoid_dist,mst_dispersion,0.9644268774703558,1.3053953287267002e-13,23,weakness
baseline,all_ai,All AI,medoid_dist,remote_clique,0.9347826086956521,6.648388758678471e-11,23,weakness
baseline,all_ai,All AI,medoid_dist,span90,0.8310276679841897,9.084332274615608e-07,23,weakness
baseline,all_ai,All AI,medoid_dist,sparseness,0.9387351778656127,3.5096875332960365e-11,23,weakness
baseline,all_ai,All AI,mst_dispersion,remote_clique,0.9199604743083004,5.343059876817408e-10,23,weakness
baseline,all_ai,All AI,mst_dispersion,sparseness,0.8952569169960475,8.053373554312945e-09,23,weakness
baseline,all_ai,All AI,nn,centroid_loo,0.9041501976284586,3.302671241557327e-09,23,weakness
baseline,all_ai,All AI,nn,global_centroid_dist,0.8517786561264822,2.5274885399479827e-07,23,weakness
baseline,all_ai,All AI,nn,medoid_dist,0.9347826086956521,6.648388758678471e-11,23,weakness
baseline,all_ai,All AI,nn,mst_dispersion,0.9871541501976285,3.2675709718963424e-18,23,weakness
baseline,all_ai,All AI,nn,remote_clique,0.882411067193676,2.559268518021324e-08,23,weakness
baseline,all_ai,All AI,nn,span90,0.7015810276679841,0.00019116785493432451,23,weakness
baseline,all_ai,All AI,nn,sparseness,0.8517786561264822,2.5274885399479827e-07,23,weakness
baseline,all_ai,All AI,span90,mst_dispersion,0.7648221343873517,2.135790809866552e-05,23,weakness
baseline,all_ai,All AI,span90,remote_clique,0.9298418972332017,1.4000253245746014e-10,23,weakness
baseline,all_ai,All AI,span90,sparseness,0.9535573122529646,2.045296157918174e-12,23,weakness
baseline,all_ai,All AI,sparseness,remote_clique,0.9851778656126482,1.4555716366082698e-17,23,weakness
baseline,claude,Claude,centroid_loo,global_centroid_dist,0.950592885375494,3.865572728527236e-12,23,weakness
baseline,claude,Claude,centroid_loo,medoid_dist,0.9021739130434783,4.055548807322043e-09,23,weakness
baseline,claude,Claude,centroid_loo,mst_dispersion,0.9239130434782609,3.195584369798008e-10,23,weakness
baseline,claude,Claude,centroid_loo,remote_clique,0.9950592885375494,1.48576824188594e-22,23,weakness
baseline,claude,Claude,centroid_loo,span90,0.8221343873517787,1.4932039330823453e-06,23,weakness
baseline,claude,Claude,centroid_loo,sparseness,0.950592885375494,3.865572728527236e-12,23,weakness
baseline,claude,Claude,global_centroid_dist,medoid_dist,0.8903162055335968,1.277638185271966e-08,23,weakness
baseline,claude,Claude,global_centroid_dist,mst_dispersion,0.8586956521739131,1.57993302983442e-07,23,weakness
