title,n_words,n_chars,n_sents,avg_word_len,avg_sent_len_words,type_token_ratio,stopword_rate,hedge_rate,flesch_reading_ease,fk_grade_level,comma_per_1k_chars,semicolon_per_1k_chars,colon_per_1k_chars,dash_per_1k_chars,paren_per_1k_chars,quote_per_1k_chars,newline_per_1k_chars,bullet_per_1k_chars,group,is_ai
CYTOKINETIC BOTTLENECKS OF HEAT WAVES,2350,16773,146,5.967659574468085,16.095890410958905,0.3280851063829787,0.37361702127659574,0.00978723404255319,18.885671232876746,14.623822792188864,5.425386037083407,0.17885888034340905,0.29809813390568174,2.563643951588863,0.0,0.0,0.0,0.0,Human,0
Elucidating genome structure-function relationships in human brain cells,2155,15879,96,6.267285382830626,22.447916666666668,0.3252900232018561,0.32807424593967516,0.013921113689095127,2.0524063466744167,18.549745504640374,6.738459600730525,0.12595251590150514,0.3778575477045154,4.219409282700422,0.25190503180301027,0.12595251590150514,0.0,0.0,Human,0
MaiTool - LLM-powered bioinformatics tools for microbiome analysis,1886,13707,88,6.06203605514316,21.431818181818183,0.30858960763520676,0.3504772004241782,0.015906680805938492,9.422319603779073,17.26936349175745,9.265338877945576,0.0,1.4591084847158386,3.137083242139053,2.188662727073758,0.0,0.0,0.0,Human,0
Synthesizing gene expression data to create an atlas of bacterial cell states,1652,11805,66,6.042978208232445,25.03030303030303,0.37167070217917675,0.35472154963680386,0.019975786924939468,7.517862278964003,18.428961038961038,7.878017789072427,0.0,0.4235493434985176,3.0495552731893265,0.33883947479881404,0.0,0.0,0.0,Human,0
Energetic Origins of Connectivity within Protein Interaction Networks,1815,13638,86,6.404958677685951,21.1046511627907,0.3608815426997245,0.3581267217630854,0.01928374655647383,3.1625394003459917,18.061199628419505,6.892506232585423,0.14664906877841324,0.2199736031676199,2.419709634843819,0.14664906877841324,0.0,0.0,0.0,Human,0
Elucidating emergent structures in cellular RNA-protein interaction networks,2314,15506,87,5.58686257562662,26.597701149425287,0.29775280898876405,0.3889369057908384,0.01901469317199654,22.41067559781044,16.741098262450453,6.707081129885206,0.7094028118147814,0.3224558235521734,5.675222494518251,0.12898232942086935,0.0,0.0,0.0,Human,0
Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,2302,17582,99,6.469157254561251,23.252525252525253,0.31624674196351,0.32884448305821024,0.015204170286707211,-5.076651967108063,19.74399310217729,8.474576271186441,0.45501080650665454,0.5687635081333182,2.275054032533273,0.3412581048799909,0.17062905243999546,0.0,0.0,Human,0
Multimodel single-cell frameworks for cell lines with extensive multi-omics data,277,2013,11,6.075812274368231,25.181818181818183,0.592057761732852,0.2815884476534296,0.007220216606498195,5.661736133902195,18.725493928454224,15.399900645802285,0.0,0.9935419771485345,6.954793840039741,0.9935419771485345,0.0,0.0,0.0,Human,0
From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,1759,13234,81,6.395679363274588,21.71604938271605,0.3598635588402501,0.33541785105173394,0.013075611142694713,-0.9035496459127046,18.780225717474156,8.463049720417109,0.2266888317968868,0.6800664953906604,3.475895420885598,0.755629439322956,0.0,0.0,0.0,Human,0
Transposable elements and the emergence of genomic innovation,1248,9240,53,6.271634615384615,23.547169811320753,0.3942307692307692,0.30849358974358976,0.008814102564102564,-1.2466273584905707,19.28297955974843,8.44155844155844,0.0,0.8658008658008658,7.142857142857142,0.6493506493506493,0.0,0.0,0.0,Human,0
