group,condition,k,rho,se,n_props
Human,all,1,0.6256392104018903,0.008254209451631174,14
Human,all,2,0.8106649014017523,0.003593796276021446,13
Human,all,3,0.9307035919829716,0.0025453393822320626,11
Human,all,4,0.9856107606091625,1.1102230246251566e-17,6
AI,baseline,1,0.21319559290219103,0.00902761922379178,23
AI,baseline,2,0.30270397970677776,0.007616744471465114,23
AI,baseline,3,0.33883636286774127,0.006789025438459578,23
AI,baseline,4,0.34828401320727775,0.005905074768791511,23
AI,baseline,5,0.38434804473657835,0.005126050631776635,23
AI,baseline,6,0.38653209150648676,0.004758591215103564,23
AI,baseline,7,0.4006957017478102,0.00446080842815168,23
AI,baseline,8,0.41364859276737787,0.004040010605879172,23
AI,baseline,9,0.4240714449495453,0.0034860624385411204,23
AI,baseline,10,0.4296348285578655,0.0031435634961857876,23
AI,baseline,11,0.4407586924908146,0.0027230985204621254,23
AI,baseline,12,0.44467161522342835,0.002277783949959331,23
AI,one_at_a_time,1,0.28267500085324415,0.006122909401077879,23
AI,one_at_a_time,2,0.3360579330282782,0.004833972678755063,23
AI,one_at_a_time,3,0.3674674007405004,0.003932029374243579,23
AI,one_at_a_time,4,0.37329311142897564,0.003714007120583361,23
AI,one_at_a_time,5,0.3913625166890494,0.003099687729764911,23
AI,one_at_a_time,6,0.40485135410323453,0.0028359344924486422,23
AI,one_at_a_time,7,0.4172204450247993,0.002446913756511013,23
AI,one_at_a_time,8,0.42273228862234696,0.002257679069323909,23
AI,one_at_a_time,9,0.4285689009088047,0.002030322830425434,23
AI,one_at_a_time,10,0.43539044046221276,0.001795447853769515,23
AI,one_at_a_time,11,0.4375805383460252,0.0015670744480105723,23
AI,one_at_a_time,12,0.44522029827874166,0.001289683180719684,23
AI,persona,1,0.3155512516925495,0.005962261618746991,23
AI,persona,2,0.3726616454154771,0.00481949965133819,23
AI,persona,3,0.3967473232499225,0.0041446144402218586,23
AI,persona,4,0.4065443469219555,0.0036746787802234234,23
AI,persona,5,0.4183651030526002,0.003118817167963012,23
AI,persona,6,0.4283128482519708,0.0027881870708642274,23
AI,persona,7,0.4316093453883319,0.002429079140867268,23
AI,persona,8,0.43350257240379064,0.0022106832475055887,23
AI,persona,9,0.4299534799069235,0.0020064262819791913,23
AI,persona,10,0.42839597283091185,0.001861756558632703,23
AI,persona,11,0.4293041413993187,0.001519492783255348,23
AI,persona,12,0.4243029746002754,0.0013529844882341588,23
