group,condition,uid,panel_mean,funded,rank
Human,all,y1::1,4.333333333333333,True,1
Human,all,y1::10,,True,1
Human,all,y1::11,4.0,True,4
Human,all,y1::12,,True,4
Human,all,y1::2,,True,7
Human,all,y1::3,,False,10
Human,all,y1::4,,True,1
Human,all,y1::5,,True,10
Human,all,y1::6,,False,4
Human,all,y1::7,2.5,True,8
Human,all,y1::8,,True,9
Human,all,y1::9,,False,12
Human,all,y2::1,3.6666666666666665,True,7
Human,all,y2::10,3.0,False,10
Human,all,y2::11,3.25,False,8
Human,all,y2::2,3.6666666666666665,True,6
Human,all,y2::3,3.0,False,11
Human,all,y2::4,4.0,True,4
Human,all,y2::5,3.25,False,9
Human,all,y2::6,4.0,False,3
Human,all,y2::7,3.75,False,5
Human,all,y2::8,4.333333333333333,True,2
Human,all,y2::9,4.75,True,1
AI,baseline,y1::1,3.3333333333333335,True,1
AI,baseline,y1::10,3.8666666666666667,True,1
AI,baseline,y1::11,3.6666666666666665,True,4
AI,baseline,y1::12,3.0,True,4
AI,baseline,y1::2,3.0,True,7
AI,baseline,y1::3,2.6666666666666665,False,10
AI,baseline,y1::4,3.8666666666666667,True,1
AI,baseline,y1::5,3.533333333333333,True,10
AI,baseline,y1::6,3.7333333333333334,False,4
AI,baseline,y1::7,3.466666666666667,True,8
AI,baseline,y1::8,3.4,True,9
AI,baseline,y1::9,3.6666666666666665,False,12
AI,baseline,y2::1,3.066666666666667,True,7
AI,baseline,y2::10,3.3333333333333335,False,10
AI,baseline,y2::11,3.8666666666666667,False,8
AI,baseline,y2::2,3.466666666666667,True,6
AI,baseline,y2::3,3.0,False,11
AI,baseline,y2::4,3.933333333333333,True,4
AI,baseline,y2::5,3.7333333333333334,False,9
AI,baseline,y2::6,3.533333333333333,False,3
AI,baseline,y2::7,3.933333333333333,False,5
AI,baseline,y2::8,3.8,True,2
AI,baseline,y2::9,3.933333333333333,True,1
AI,one_at_a_time,y1::1,3.2,True,1
AI,one_at_a_time,y1::10,4.133333333333334,True,1
AI,one_at_a_time,y1::11,3.7333333333333334,True,4
AI,one_at_a_time,y1::12,2.8,True,4
AI,one_at_a_time,y1::2,3.066666666666667,True,7
AI,one_at_a_time,y1::3,2.2,False,10
AI,one_at_a_time,y1::4,4.066666666666666,True,1
AI,one_at_a_time,y1::5,4.0,True,10
AI,one_at_a_time,y1::6,3.8666666666666667,False,4
AI,one_at_a_time,y1::7,3.6666666666666665,True,8
AI,one_at_a_time,y1::8,3.3333333333333335,True,9
AI,one_at_a_time,y1::9,3.8,False,12
AI,one_at_a_time,y2::1,3.066666666666667,True,7
AI,one_at_a_time,y2::10,3.4,False,10
AI,one_at_a_time,y2::11,4.066666666666666,False,8
AI,one_at_a_time,y2::2,3.6,True,6
AI,one_at_a_time,y2::3,2.933333333333333,False,11
AI,one_at_a_time,y2::4,3.933333333333333,True,4
AI,one_at_a_time,y2::5,4.0,False,9
AI,one_at_a_time,y2::6,4.066666666666666,False,3
AI,one_at_a_time,y2::7,4.266666666666667,False,5
AI,one_at_a_time,y2::8,4.2,True,2
AI,one_at_a_time,y2::9,4.2,True,1
AI,persona,y1::1,3.0,True,1
AI,persona,y1::10,3.933333333333333,True,1
AI,persona,y1::11,3.6,True,4
AI,persona,y1::12,2.7333333333333334,True,4
AI,persona,y1::2,3.1333333333333333,True,7
AI,persona,y1::3,2.066666666666667,False,10
AI,persona,y1::4,4.0,True,1
AI,persona,y1::5,3.7333333333333334,True,10
AI,persona,y1::6,3.6,False,4
AI,persona,y1::7,3.533333333333333,True,8
AI,persona,y1::8,3.066666666666667,True,9
AI,persona,y1::9,3.7333333333333334,False,12
AI,persona,y2::1,3.066666666666667,True,7
AI,persona,y2::10,3.2,False,10
AI,persona,y2::11,4.0,False,8
AI,persona,y2::2,3.6666666666666665,True,6
AI,persona,y2::3,2.533333333333333,False,11
AI,persona,y2::4,3.6666666666666665,True,4
AI,persona,y2::5,3.6,False,9
AI,persona,y2::6,4.066666666666666,False,3
AI,persona,y2::7,3.6666666666666665,False,5
AI,persona,y2::8,4.0,True,2
AI,persona,y2::9,3.8666666666666667,True,1
