condition,task,text_version,field,facet,metric,param,order,JT,p_raw,p_fdr,direction_ok,notes
baseline,reviews,original,whole,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,857.0,0.7578439661488774,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,original,whole,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,862.0,0.7747115619632737,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,original,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,720.5,0.21069378578033116,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,original,whole,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,700.5,0.38204632532637506,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
baseline,reviews,original,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,718.0,0.2028311905253279,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,original,whole,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,872.0,0.8063688512943513,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,original,whole,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,868.0,0.7940450242111436,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,original,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,813.5,0.5871728423869138,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,original,whole,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,689.5,0.3337541069093487,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
one_at_a_time,reviews,original,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,765.0,0.3767997226764501,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,original,whole,richness,vendi,q=1,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,851.0,0.7367312853933135,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,original,whole,spread,mean_pairwise,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,849.0,0.7294904538941284,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,original,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,829.5,0.6541323313618591,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,original,whole,coverage,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,747.5,0.5998792565394743,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
persona,reviews,original,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human (diversity); paired diffs predicted decreasing,767.0,0.3851934220914981,0.8063688512943513,False,"JT over paired Human-AI differences by model, alternative = decreasing"
