sample_index,bertopic_label,ai_boot_weight
0,"bla ctx, spectrum lactamase esbl, sequence types sts, coli isolates",0.0
0,"details use execution, myosin motors, nascent chain, origin life",0.391304347826087
0,"editorial emerging, author correction, g2 phase, model pd",0.002173913043478261
0,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",0.041304347826086954
0,"recent findings recent, cell multi omics, complex microbial, crispr cas based",0.0
0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.46304347826086967
0,"role intercellular communication, testicular torsion, nanoparticle tracking analysis, mir 21 5p",0.0
0,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",0.058695652173913045
0,"transgene expression, metabolite production, study illustrates, precise genome",0.043478260869565216
0,"web science core, mean sd age, research hotspots, 28 day mortality",0.0
1,"bla ctx, spectrum lactamase esbl, sequence types sts, coli isolates",0.0
1,"details use execution, myosin motors, nascent chain, origin life",0.30434782608695654
1,"editorial emerging, author correction, g2 phase, model pd",0.0
1,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",0.07391304347826087
1,"recent findings recent, cell multi omics, complex microbial, crispr cas based",0.0
1,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.5391304347826087
1,"role intercellular communication, testicular torsion, nanoparticle tracking analysis, mir 21 5p",0.0
1,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",0.04565217391304347
1,"transgene expression, metabolite production, study illustrates, precise genome",0.03695652173913044
1,"web science core, mean sd age, research hotspots, 28 day mortality",0.0
2,"bla ctx, spectrum lactamase esbl, sequence types sts, coli isolates",0.0
2,"details use execution, myosin motors, nascent chain, origin life",0.34782608695652173
2,"editorial emerging, author correction, g2 phase, model pd",0.01956521739130435
2,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",0.06739130434782609
2,"recent findings recent, cell multi omics, complex microbial, crispr cas based",0.0
2,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.4804347826086957
2,"role intercellular communication, testicular torsion, nanoparticle tracking analysis, mir 21 5p",0.0
2,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",0.0391304347826087
2,"transgene expression, metabolite production, study illustrates, precise genome",0.04565217391304348
2,"web science core, mean sd age, research hotspots, 28 day mortality",0.0
3,"bla ctx, spectrum lactamase esbl, sequence types sts, coli isolates",0.0
3,"details use execution, myosin motors, nascent chain, origin life",0.391304347826087
3,"editorial emerging, author correction, g2 phase, model pd",0.0
3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",0.058695652173913045
3,"recent findings recent, cell multi omics, complex microbial, crispr cas based",0.0
3,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.5043478260869565
3,"role intercellular communication, testicular torsion, nanoparticle tracking analysis, mir 21 5p",0.0
3,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",0.010869565217391304
3,"transgene expression, metabolite production, study illustrates, precise genome",0.034782608695652174
3,"web science core, mean sd age, research hotspots, 28 day mortality",0.0
4,"bla ctx, spectrum lactamase esbl, sequence types sts, coli isolates",0.0
4,"details use execution, myosin motors, nascent chain, origin life",0.34782608695652173
4,"editorial emerging, author correction, g2 phase, model pd",0.01956521739130435
4,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",0.02826086956521739
4,"recent findings recent, cell multi omics, complex microbial, crispr cas based",0.0
4,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.5043478260869566
4,"role intercellular communication, testicular torsion, nanoparticle tracking analysis, mir 21 5p",0.0
4,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",0.05434782608695652
4,"transgene expression, metabolite production, study illustrates, precise genome",0.04565217391304348
4,"web science core, mean sd age, research hotspots, 28 day mortality",0.0
5,"bla ctx, spectrum lactamase esbl, sequence types sts, coli isolates",0.0
5,"details use execution, myosin motors, nascent chain, origin life",0.21739130434782608
5,"editorial emerging, author correction, g2 phase, model pd",0.01956521739130435
5,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",0.09782608695652174
5,"recent findings recent, cell multi omics, complex microbial, crispr cas based",0.0
5,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.5304347826086956
5,"role intercellular communication, testicular torsion, nanoparticle tracking analysis, mir 21 5p",0.0
5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",0.026086956521739136
5,"transgene expression, metabolite production, study illustrates, precise genome",0.10869565217391304
5,"web science core, mean sd age, research hotspots, 28 day mortality",0.0
6,"bla ctx, spectrum lactamase esbl, sequence types sts, coli isolates",0.0
6,"details use execution, myosin motors, nascent chain, origin life",0.34782608695652173
6,"editorial emerging, author correction, g2 phase, model pd",0.021739130434782608
6,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",0.05
6,"recent findings recent, cell multi omics, complex microbial, crispr cas based",0.0
6,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.45652173913043476
6,"role intercellular communication, testicular torsion, nanoparticle tracking analysis, mir 21 5p",0.0
6,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",0.0608695652173913
6,"transgene expression, metabolite production, study illustrates, precise genome",0.06304347826086956
6,"web science core, mean sd age, research hotspots, 28 day mortality",0.0
7,"bla ctx, spectrum lactamase esbl, sequence types sts, coli isolates",0.0
7,"details use execution, myosin motors, nascent chain, origin life",0.30434782608695654
7,"editorial emerging, author correction, g2 phase, model pd",0.0
7,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",0.06739130434782609
7,"recent findings recent, cell multi omics, complex microbial, crispr cas based",0.0
7,"related morbidity, stage diagnosis, combination strategies, clinical intervention",0.5521739130434782
7,"role intercellular communication, testicular torsion, nanoparticle tracking analysis, mir 21 5p",0.0
7,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",0.03913043478260869
7,"transgene expression, metabolite production, study illustrates, precise genome",0.03695652173913044
