condition,metric,sample_index,ai_boot_value,human_value,effect_human_minus_ai
one_at_a_time,mesh_group_union_terms,0,808.0,871.0,63.0
one_at_a_time,mesh_group_union_terms,1,788.0,871.0,83.0
one_at_a_time,mesh_group_union_terms,2,782.0,871.0,89.0
one_at_a_time,mesh_group_union_terms,3,692.0,871.0,179.0
one_at_a_time,mesh_group_union_terms,4,841.0,871.0,30.0
one_at_a_time,mesh_group_union_terms,5,840.0,871.0,31.0
one_at_a_time,mesh_group_union_terms,6,798.0,871.0,73.0
one_at_a_time,mesh_group_union_terms,7,787.0,871.0,84.0
one_at_a_time,mesh_group_union_terms,8,833.0,871.0,38.0
one_at_a_time,mesh_group_union_terms,9,774.0,871.0,97.0
one_at_a_time,mesh_group_union_terms,10,787.0,871.0,84.0
one_at_a_time,mesh_group_union_terms,11,783.0,871.0,88.0
one_at_a_time,mesh_group_union_terms,12,773.0,871.0,98.0
one_at_a_time,mesh_group_union_terms,13,704.0,871.0,167.0
one_at_a_time,mesh_group_union_terms,14,698.0,871.0,173.0
one_at_a_time,mesh_group_union_terms,15,750.0,871.0,121.0
one_at_a_time,mesh_group_union_terms,16,816.0,871.0,55.0
one_at_a_time,mesh_group_union_terms,17,749.0,871.0,122.0
one_at_a_time,mesh_group_union_terms,18,760.0,871.0,111.0
one_at_a_time,mesh_group_union_terms,19,812.0,871.0,59.0
one_at_a_time,mesh_group_union_terms,20,740.0,871.0,131.0
one_at_a_time,mesh_group_union_terms,21,756.0,871.0,115.0
one_at_a_time,mesh_group_union_terms,22,696.0,871.0,175.0
one_at_a_time,mesh_group_union_terms,23,737.0,871.0,134.0
one_at_a_time,mesh_group_union_terms,24,816.0,871.0,55.0
one_at_a_time,mesh_group_union_terms,25,680.0,871.0,191.0
one_at_a_time,mesh_group_union_terms,26,826.0,871.0,45.0
one_at_a_time,mesh_group_union_terms,27,790.0,871.0,81.0
one_at_a_time,mesh_group_union_terms,28,715.0,871.0,156.0
one_at_a_time,mesh_group_union_terms,29,777.0,871.0,94.0
one_at_a_time,mesh_group_union_terms,30,771.0,871.0,100.0
one_at_a_time,mesh_group_union_terms,31,772.0,871.0,99.0
one_at_a_time,mesh_group_union_terms,32,751.0,871.0,120.0
one_at_a_time,mesh_group_union_terms,33,788.0,871.0,83.0
one_at_a_time,mesh_group_union_terms,34,826.0,871.0,45.0
one_at_a_time,mesh_group_union_terms,35,788.0,871.0,83.0
one_at_a_time,mesh_group_union_terms,36,798.0,871.0,73.0
one_at_a_time,mesh_group_union_terms,37,727.0,871.0,144.0
one_at_a_time,mesh_group_union_terms,38,783.0,871.0,88.0
one_at_a_time,mesh_group_union_terms,39,818.0,871.0,53.0
one_at_a_time,mesh_group_union_terms,40,775.0,871.0,96.0
one_at_a_time,mesh_group_union_terms,41,725.0,871.0,146.0
one_at_a_time,mesh_group_union_terms,42,787.0,871.0,84.0
one_at_a_time,mesh_group_union_terms,43,851.0,871.0,20.0
one_at_a_time,mesh_group_union_terms,44,760.0,871.0,111.0
one_at_a_time,mesh_group_union_terms,45,747.0,871.0,124.0
one_at_a_time,mesh_group_union_terms,46,785.0,871.0,86.0
one_at_a_time,mesh_group_union_terms,47,815.0,871.0,56.0
one_at_a_time,mesh_group_union_terms,48,683.0,871.0,188.0
one_at_a_time,mesh_group_union_terms,49,827.0,871.0,44.0
one_at_a_time,mesh_group_union_terms,50,822.0,871.0,49.0
one_at_a_time,mesh_group_union_terms,51,815.0,871.0,56.0
one_at_a_time,mesh_group_union_terms,52,818.0,871.0,53.0
one_at_a_time,mesh_group_union_terms,53,849.0,871.0,22.0
one_at_a_time,mesh_group_union_terms,54,877.0,871.0,-6.0
one_at_a_time,mesh_group_union_terms,55,747.0,871.0,124.0
one_at_a_time,mesh_group_union_terms,56,735.0,871.0,136.0
one_at_a_time,mesh_group_union_terms,57,678.0,871.0,193.0
one_at_a_time,mesh_group_union_terms,58,820.0,871.0,51.0
one_at_a_time,mesh_group_union_terms,59,777.0,871.0,94.0
one_at_a_time,mesh_group_union_terms,60,671.0,871.0,200.0
one_at_a_time,mesh_group_union_terms,61,824.0,871.0,47.0
one_at_a_time,mesh_group_union_terms,62,841.0,871.0,30.0
one_at_a_time,mesh_group_union_terms,63,838.0,871.0,33.0
one_at_a_time,mesh_group_union_terms,64,768.0,871.0,103.0
one_at_a_time,mesh_group_union_terms,65,791.0,871.0,80.0
one_at_a_time,mesh_group_union_terms,66,651.0,871.0,220.0
one_at_a_time,mesh_group_union_terms,67,862.0,871.0,9.0
one_at_a_time,mesh_group_union_terms,68,714.0,871.0,157.0
one_at_a_time,mesh_group_union_terms,69,685.0,871.0,186.0
one_at_a_time,mesh_group_union_terms,70,761.0,871.0,110.0
one_at_a_time,mesh_group_union_terms,71,663.0,871.0,208.0
one_at_a_time,mesh_group_union_terms,72,833.0,871.0,38.0
one_at_a_time,mesh_group_union_terms,73,806.0,871.0,65.0
one_at_a_time,mesh_group_union_terms,74,776.0,871.0,95.0
one_at_a_time,mesh_group_union_terms,75,738.0,871.0,133.0
one_at_a_time,mesh_group_union_terms,76,733.0,871.0,138.0
one_at_a_time,mesh_group_union_terms,77,793.0,871.0,78.0
one_at_a_time,mesh_group_union_terms,78,896.0,871.0,-25.0
one_at_a_time,mesh_group_union_terms,79,671.0,871.0,200.0
one_at_a_time,mesh_group_union_terms,80,798.0,871.0,73.0
one_at_a_time,mesh_group_union_terms,81,674.0,871.0,197.0
one_at_a_time,mesh_group_union_terms,82,652.0,871.0,219.0
one_at_a_time,mesh_group_union_terms,83,773.0,871.0,98.0
one_at_a_time,mesh_group_union_terms,84,740.0,871.0,131.0
one_at_a_time,mesh_group_union_terms,85,749.0,871.0,122.0
one_at_a_time,mesh_group_union_terms,86,769.0,871.0,102.0
one_at_a_time,mesh_group_union_terms,87,768.0,871.0,103.0
one_at_a_time,mesh_group_union_terms,88,790.0,871.0,81.0
one_at_a_time,mesh_group_union_terms,89,695.0,871.0,176.0
one_at_a_time,mesh_group_union_terms,90,735.0,871.0,136.0
one_at_a_time,mesh_group_union_terms,91,834.0,871.0,37.0
one_at_a_time,mesh_group_union_terms,92,755.0,871.0,116.0
one_at_a_time,mesh_group_union_terms,93,760.0,871.0,111.0
one_at_a_time,mesh_group_union_terms,94,694.0,871.0,177.0
one_at_a_time,mesh_group_union_terms,95,663.0,871.0,208.0
one_at_a_time,mesh_group_union_terms,96,720.0,871.0,151.0
one_at_a_time,mesh_group_union_terms,97,864.0,871.0,7.0
one_at_a_time,mesh_group_union_terms,98,799.0,871.0,72.0
one_at_a_time,mesh_group_union_terms,99,790.0,871.0,81.0
one_at_a_time,mesh_group_union_terms,100,756.0,871.0,115.0
one_at_a_time,mesh_group_union_terms,101,737.0,871.0,134.0
one_at_a_time,mesh_group_union_terms,102,741.0,871.0,130.0
one_at_a_time,mesh_group_union_terms,103,703.0,871.0,168.0
one_at_a_time,mesh_group_union_terms,104,771.0,871.0,100.0
one_at_a_time,mesh_group_union_terms,105,745.0,871.0,126.0
one_at_a_time,mesh_group_union_terms,106,790.0,871.0,81.0
one_at_a_time,mesh_group_union_terms,107,749.0,871.0,122.0
one_at_a_time,mesh_group_union_terms,108,713.0,871.0,158.0
one_at_a_time,mesh_group_union_terms,109,749.0,871.0,122.0
one_at_a_time,mesh_group_union_terms,110,687.0,871.0,184.0
one_at_a_time,mesh_group_union_terms,111,711.0,871.0,160.0
one_at_a_time,mesh_group_union_terms,112,764.0,871.0,107.0
one_at_a_time,mesh_group_union_terms,113,838.0,871.0,33.0
one_at_a_time,mesh_group_union_terms,114,782.0,871.0,89.0
one_at_a_time,mesh_group_union_terms,115,742.0,871.0,129.0
one_at_a_time,mesh_group_union_terms,116,784.0,871.0,87.0
one_at_a_time,mesh_group_union_terms,117,750.0,871.0,121.0
one_at_a_time,mesh_group_union_terms,118,824.0,871.0,47.0
one_at_a_time,mesh_group_union_terms,119,798.0,871.0,73.0
one_at_a_time,mesh_group_union_terms,120,787.0,871.0,84.0
one_at_a_time,mesh_group_union_terms,121,772.0,871.0,99.0
one_at_a_time,mesh_group_union_terms,122,816.0,871.0,55.0
one_at_a_time,mesh_group_union_terms,123,712.0,871.0,159.0
one_at_a_time,mesh_group_union_terms,124,712.0,871.0,159.0
one_at_a_time,mesh_group_union_terms,125,795.0,871.0,76.0
one_at_a_time,mesh_group_union_terms,126,847.0,871.0,24.0
one_at_a_time,mesh_group_union_terms,127,797.0,871.0,74.0
one_at_a_time,mesh_group_union_terms,128,831.0,871.0,40.0
one_at_a_time,mesh_group_union_terms,129,785.0,871.0,86.0
one_at_a_time,mesh_group_union_terms,130,779.0,871.0,92.0
one_at_a_time,mesh_group_union_terms,131,790.0,871.0,81.0
one_at_a_time,mesh_group_union_terms,132,718.0,871.0,153.0
one_at_a_time,mesh_group_union_terms,133,754.0,871.0,117.0
one_at_a_time,mesh_group_union_terms,134,802.0,871.0,69.0
one_at_a_time,mesh_group_union_terms,135,801.0,871.0,70.0
one_at_a_time,mesh_group_union_terms,136,863.0,871.0,8.0
one_at_a_time,mesh_group_union_terms,137,826.0,871.0,45.0
