condition,task,text_branch,field,group,metric,x,y,y_lo,y_hi
one_at_a_time,proposals,rephrased,whole,Human,vendi_profile,0,23.0,,
one_at_a_time,proposals,rephrased,whole,Human,vendi_profile,0.5,7.004485352696447,,
one_at_a_time,proposals,rephrased,whole,Human,vendi_profile,1,3.148933187104915,,
one_at_a_time,proposals,rephrased,whole,Human,vendi_profile,2,2.1223565292645805,,
one_at_a_time,proposals,rephrased,whole,Human,vendi_profile,4,1.828982846211309,,
one_at_a_time,proposals,rephrased,whole,Human,vendi_profile,inf,1.5857116708331893,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,1,0.6306316705574628,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,2,0.2695918502744359,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,3,0.015122906999442763,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,4,0.01199898973412248,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,5,0.010699320267018595,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,6,0.008846630513331207,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,7,0.007052144804502114,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,8,0.006838116006150811,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,9,0.006032817600764829,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,10,0.0049738677356137,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,11,0.004117032669296974,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,12,0.003610706349616781,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,13,0.003510331764855841,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,14,0.0030897152918777995,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,15,0.002390333952020436,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,16,0.0020033912075001037,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,17,0.0017881745532493856,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,18,0.0017763427223580332,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,19,0.001552221021544925,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,20,0.0013446448920244045,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,21,0.001135275612103919,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,22,0.0010508766325121298,,
one_at_a_time,proposals,rephrased,whole,Human,kernel_eigen_scree,23,0.0008426388381939237,,
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.017621417571944388,0.0,0.0,0.6956521739130435
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.019822049486553413,0.0,0.17391304347826086,1.826086956521739
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.02097225141345266,0.0,0.2608695652173913,2.9608695652173873
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.02196507135991407,0.0,0.5217391304347826,4.0
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.02276426940670076,0.0,0.782608695652174,4.956521739130435
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.023540654378792915,0.0,0.9565217391304348,5.913043478260869
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.024442472539610873,0.0,1.2173913043478262,6.956521739130435
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.025368380205436067,0.0,1.4782608695652173,7.913043478260869
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.026301129252997234,0.0,1.7391304347826086,8.786956521739127
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.02735137146929663,0.08695652173913043,2.1739130434782608,9.73913043478261
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.028517149198411626,0.08695652173913043,2.5173913043478264,10.530434782608689
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.030095797322737896,0.08695652173913043,2.782608695652174,11.391304347826088
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.03241744001580061,0.17391304347826086,3.217391304347826,12.08695652173913
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.03520460811792205,0.34782608695652173,3.739130434782609,12.956521739130435
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.03917648691280728,0.8695652173913043,4.086956521739131,13.48260869565217
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.04236110493006845,1.2173913043478262,4.604347826086957,14.08695652173913
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.04504684519567839,1.7391304347826086,4.952173913043478,14.608695652173912
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.048052818798265555,2.347826086956522,5.391304347826087,15.391304347826088
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.0514135626294234,3.130434782608696,5.821739130434783,16.09130434782608
one_at_a_time,proposals,rephrased,whole,Human,ripley_K,0.05670414920008543,4.173913043478261,6.260869565217392,16.434782608695652
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.017621417571944388,0.0,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.019822049486553413,0.0,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.02097225141345266,0.0,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.02196507135991407,0.0,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.02276426940670076,0.0,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.023540654378792915,0.0,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.024442472539610873,0.0,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.025368380205436067,0.0,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.026301129252997234,0.0,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.02735137146929663,0.08695652173913043,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.028517149198411626,0.08695652173913043,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.030095797322737896,0.08695652173913043,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.03241744001580061,0.17391304347826086,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.03520460811792205,0.21739130434782608,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.03917648691280728,0.391304347826087,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.04236110493006845,0.391304347826087,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.04504684519567839,0.4782608695652174,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.048052818798265555,0.5217391304347826,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.0514135626294234,0.5652173913043478,,
one_at_a_time,proposals,rephrased,whole,Human,g_function,0.05670414920008543,0.5652173913043478,,
one_at_a_time,proposals,rephrased,whole,Claude,vendi_profile,0,23.0,,
one_at_a_time,proposals,rephrased,whole,Claude,vendi_profile,0.5,4.900182498174558,,
one_at_a_time,proposals,rephrased,whole,Claude,vendi_profile,1,2.329150179677769,,
one_at_a_time,proposals,rephrased,whole,Claude,vendi_profile,2,1.7504588232092981,,
one_at_a_time,proposals,rephrased,whole,Claude,vendi_profile,4,1.546410424116665,,
one_at_a_time,proposals,rephrased,whole,Claude,vendi_profile,inf,1.390463925687076,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,1,0.7191844258065637,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,2,0.2318355853456118,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,3,0.012942106360627238,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,4,0.007692838829482826,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,5,0.006368644590627642,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,6,0.0033517403119368836,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,7,0.0025687405541555317,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,8,0.0023550984959070306,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,9,0.0015750152210600161,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,10,0.0014440742970301362,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,11,0.0013121128013097252,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,12,0.001158977034618039,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,13,0.0010831666771493624,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,14,0.001043113062989384,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,15,0.000901108512937484,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,16,0.0008197417423466154,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,17,0.0007711844210069222,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,18,0.0007480427799249482,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,19,0.0006813602137861832,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,20,0.000657870934826586,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,21,0.0005832384049701154,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,22,0.0005096096473380045,,
one_at_a_time,proposals,rephrased,whole,Claude,kernel_eigen_scree,23,0.00041220395379387085,,
one_at_a_time,proposals,rephrased,whole,Claude,ripley_K,0.017621417571944388,0.5217391304347826,0.0,0.6956521739130435
one_at_a_time,proposals,rephrased,whole,Claude,ripley_K,0.019822049486553413,2.608695652173913,0.17391304347826086,1.826086956521739
one_at_a_time,proposals,rephrased,whole,Claude,ripley_K,0.02097225141345266,3.9130434782608696,0.2608695652173913,2.9608695652173873
one_at_a_time,proposals,rephrased,whole,Claude,ripley_K,0.02196507135991407,5.391304347826087,0.5217391304347826,4.0
one_at_a_time,proposals,rephrased,whole,Claude,ripley_K,0.02276426940670076,6.0,0.782608695652174,4.956521739130435
one_at_a_time,proposals,rephrased,whole,Claude,ripley_K,0.023540654378792915,6.956521739130435,0.9565217391304348,5.913043478260869
one_at_a_time,proposals,rephrased,whole,Claude,ripley_K,0.024442472539610873,7.565217391304348,1.2173913043478262,6.956521739130435
one_at_a_time,proposals,rephrased,whole,Claude,ripley_K,0.025368380205436067,8.0,1.4782608695652173,7.913043478260869
one_at_a_time,proposals,rephrased,whole,Claude,ripley_K,0.026301129252997234,8.521739130434783,1.7391304347826086,8.786956521739127
one_at_a_time,proposals,rephrased,whole,Claude,ripley_K,0.02735137146929663,9.130434782608695,2.1739130434782608,9.73913043478261
one_at_a_time,proposals,rephrased,whole,Claude,ripley_K,0.028517149198411626,9.565217391304348,2.5173913043478264,10.530434782608689
one_at_a_time,proposals,rephrased,whole,Claude,ripley_K,0.030095797322737896,9.565217391304348,2.782608695652174,11.391304347826088
one_at_a_time,proposals,rephrased,whole,Claude,ripley_K,0.03241744001580061,9.91304347826087,3.217391304347826,12.08695652173913
one_at_a_time,proposals,rephrased,whole,Claude,ripley_K,0.03520460811792205,10.173913043478262,3.739130434782609,12.956521739130435
one_at_a_time,proposals,rephrased,whole,Claude,ripley_K,0.03917648691280728,10.434782608695652,4.086956521739131,13.48260869565217
