condition,task,text_version,field,comparison,stat,value
one_at_a_time,proposals,rephrased,whole,human_vs_claude,ai_to_nearest_human_median,0.036181009939449615
one_at_a_time,proposals,rephrased,whole,human_vs_claude,ai_to_nearest_human_q90,0.10919377392957996
one_at_a_time,proposals,rephrased,whole,human_vs_claude,human_to_nearest_human_median,0.04762806339661829
one_at_a_time,proposals,rephrased,whole,human_vs_claude,human_to_nearest_human_q90,0.1470782374610303
one_at_a_time,proposals,rephrased,whole,human_vs_claude,human_to_nearest_ai_median,0.04707577701806542
one_at_a_time,proposals,rephrased,whole,human_vs_claude,human_to_nearest_ai_q90,0.16631427608177687
one_at_a_time,proposals,rephrased,whole,human_vs_claude,share_human_fringe,0.13043478260869565
one_at_a_time,proposals,rephrased,whole,human_vs_claude,share_ai_pocket,0.043478260869565216
one_at_a_time,proposals,rephrased,whole,human_vs_claude,n_ai,23.0
one_at_a_time,proposals,rephrased,whole,human_vs_claude,n_human,23.0
one_at_a_time,proposals,rephrased,whole,human_vs_gemini,ai_to_nearest_human_median,0.034901678760392185
one_at_a_time,proposals,rephrased,whole,human_vs_gemini,ai_to_nearest_human_q90,0.11510906040062194
one_at_a_time,proposals,rephrased,whole,human_vs_gemini,human_to_nearest_human_median,0.04762806339661829
one_at_a_time,proposals,rephrased,whole,human_vs_gemini,human_to_nearest_human_q90,0.1470782374610303
one_at_a_time,proposals,rephrased,whole,human_vs_gemini,human_to_nearest_ai_median,0.05061719132163822
one_at_a_time,proposals,rephrased,whole,human_vs_gemini,human_to_nearest_ai_q90,0.2245081074220297
one_at_a_time,proposals,rephrased,whole,human_vs_gemini,share_human_fringe,0.34782608695652173
one_at_a_time,proposals,rephrased,whole,human_vs_gemini,share_ai_pocket,0.08695652173913043
one_at_a_time,proposals,rephrased,whole,human_vs_gemini,n_ai,23.0
one_at_a_time,proposals,rephrased,whole,human_vs_gemini,n_human,23.0
one_at_a_time,proposals,rephrased,whole,human_vs_gpt,ai_to_nearest_human_median,0.035314814891739155
one_at_a_time,proposals,rephrased,whole,human_vs_gpt,ai_to_nearest_human_q90,0.10267192846572336
one_at_a_time,proposals,rephrased,whole,human_vs_gpt,human_to_nearest_human_median,0.04762806339661829
one_at_a_time,proposals,rephrased,whole,human_vs_gpt,human_to_nearest_human_q90,0.1470782374610303
one_at_a_time,proposals,rephrased,whole,human_vs_gpt,human_to_nearest_ai_median,0.046740816700729604
one_at_a_time,proposals,rephrased,whole,human_vs_gpt,human_to_nearest_ai_q90,0.18187780839358023
one_at_a_time,proposals,rephrased,whole,human_vs_gpt,share_human_fringe,0.21739130434782608
one_at_a_time,proposals,rephrased,whole,human_vs_gpt,share_ai_pocket,0.0
one_at_a_time,proposals,rephrased,whole,human_vs_gpt,n_ai,23.0
one_at_a_time,proposals,rephrased,whole,human_vs_gpt,n_human,23.0
one_at_a_time,proposals,rephrased,whole,human_vs_pooled_ai,ai_to_nearest_human_median,0.035314814891739155
one_at_a_time,proposals,rephrased,whole,human_vs_pooled_ai,ai_to_nearest_human_q90,0.11022091655603605
one_at_a_time,proposals,rephrased,whole,human_vs_pooled_ai,human_to_nearest_human_median,0.04762806339661829
one_at_a_time,proposals,rephrased,whole,human_vs_pooled_ai,human_to_nearest_human_q90,0.1470782374610303
one_at_a_time,proposals,rephrased,whole,human_vs_pooled_ai,human_to_nearest_ai_median,0.04753750665008427
one_at_a_time,proposals,rephrased,whole,human_vs_pooled_ai,human_to_nearest_ai_q90,0.18020827083537205
one_at_a_time,proposals,rephrased,whole,human_vs_pooled_ai,share_human_fringe,0.18369565217391304
one_at_a_time,proposals,rephrased,whole,human_vs_pooled_ai,share_ai_pocket,0.043478260869565216
one_at_a_time,proposals,rephrased,whole,human_vs_pooled_ai,n_ai,4600.0
one_at_a_time,proposals,rephrased,whole,human_vs_pooled_ai,n_human,23.0
