condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals
one_at_a_time,all_ai,All AI,centroid_loo,global_centroid_dist,0.9851778656126482,1.4555716366082698e-17,23
one_at_a_time,all_ai,All AI,centroid_loo,medoid_dist,0.9426877470355731,1.7733200161440015e-11,23
one_at_a_time,all_ai,All AI,centroid_loo,mst_dispersion,0.9367588932806324,4.855363761083324e-11,23
one_at_a_time,all_ai,All AI,centroid_loo,remote_clique,0.9901185770750988,2.1058652770074424e-19,23
one_at_a_time,all_ai,All AI,centroid_loo,span90,0.9634387351778656,1.7329804448776302e-13,23
one_at_a_time,all_ai,All AI,centroid_loo,sparseness,0.9851778656126482,1.4555716366082698e-17,23
one_at_a_time,all_ai,All AI,global_centroid_dist,medoid_dist,0.9565217391304348,1.0367507751993613e-12,23
one_at_a_time,all_ai,All AI,global_centroid_dist,mst_dispersion,0.9407114624505929,2.5093672174275708e-11,23
one_at_a_time,all_ai,All AI,global_centroid_dist,remote_clique,0.9970355731225298,7.018880618054475e-25,23
one_at_a_time,all_ai,All AI,global_centroid_dist,span90,0.9871541501976285,3.2675709718963424e-18,23
one_at_a_time,all_ai,All AI,global_centroid_dist,sparseness,1.0,0.0,23
one_at_a_time,all_ai,All AI,mean_pairwise,centroid_loo,0.9901185770750988,2.1058652770074424e-19,23
one_at_a_time,all_ai,All AI,mean_pairwise,global_centroid_dist,0.9970355731225298,7.018880618054475e-25,23
one_at_a_time,all_ai,All AI,mean_pairwise,medoid_dist,0.9555335968379446,1.3069408987223545e-12,23
one_at_a_time,all_ai,All AI,mean_pairwise,mst_dispersion,0.9426877470355731,1.7733200161440015e-11,23
one_at_a_time,all_ai,All AI,mean_pairwise,nn,0.9169960474308301,7.724063591873756e-10,23
one_at_a_time,all_ai,All AI,mean_pairwise,remote_clique,1.0,0.0,23
one_at_a_time,all_ai,All AI,mean_pairwise,span90,0.9812252964426879,1.7119446104319924e-16,23
one_at_a_time,all_ai,All AI,mean_pairwise,sparseness,0.9970355731225298,7.018880618054475e-25,23
one_at_a_time,all_ai,All AI,medoid_dist,mst_dispersion,0.9733201581027668,6.620049324533835e-15,23
one_at_a_time,all_ai,All AI,medoid_dist,remote_clique,0.9555335968379446,1.3069408987223545e-12,23
one_at_a_time,all_ai,All AI,medoid_dist,span90,0.9140316205533597,1.101726912534852e-09,23
one_at_a_time,all_ai,All AI,medoid_dist,sparseness,0.9565217391304348,1.0367507751993613e-12,23
one_at_a_time,all_ai,All AI,mst_dispersion,remote_clique,0.9426877470355731,1.7733200161440015e-11,23
one_at_a_time,all_ai,All AI,mst_dispersion,sparseness,0.9407114624505929,2.5093672174275708e-11,23
one_at_a_time,all_ai,All AI,nn,centroid_loo,0.9051383399209486,2.9754306887885376e-09,23
one_at_a_time,all_ai,All AI,nn,global_centroid_dist,0.9179841897233202,6.841670339545262e-10,23
one_at_a_time,all_ai,All AI,nn,medoid_dist,0.9634387351778656,1.7329804448776302e-13,23
one_at_a_time,all_ai,All AI,nn,mst_dispersion,0.991106719367589,6.99593234664107e-20,23
one_at_a_time,all_ai,All AI,nn,remote_clique,0.9169960474308301,7.724063591873756e-10,23
one_at_a_time,all_ai,All AI,nn,span90,0.8804347826086957,3.0213401064793844e-08,23
one_at_a_time,all_ai,All AI,nn,sparseness,0.9179841897233202,6.841670339545262e-10,23
one_at_a_time,all_ai,All AI,span90,mst_dispersion,0.9041501976284586,3.302671241557327e-09,23
one_at_a_time,all_ai,All AI,span90,remote_clique,0.9812252964426879,1.7119446104319924e-16,23
one_at_a_time,all_ai,All AI,span90,sparseness,0.9871541501976285,3.2675709718963424e-18,23
one_at_a_time,all_ai,All AI,sparseness,remote_clique,0.9970355731225298,7.018880618054475e-25,23
one_at_a_time,claude,Claude,centroid_loo,global_centroid_dist,0.9031620553359685,3.66180597763012e-09,23
one_at_a_time,claude,Claude,centroid_loo,medoid_dist,0.8932806324110673,9.712217172071093e-09,23
one_at_a_time,claude,Claude,centroid_loo,mst_dispersion,0.9229249011857708,3.643067085466445e-10,23
one_at_a_time,claude,Claude,centroid_loo,remote_clique,0.9486166007905139,5.7844212032404675e-12,23
one_at_a_time,claude,Claude,centroid_loo,span90,0.8784584980237155,3.5565910113438074e-08,23
one_at_a_time,claude,Claude,centroid_loo,sparseness,0.9031620553359685,3.66180597763012e-09,23
one_at_a_time,claude,Claude,global_centroid_dist,medoid_dist,0.9673913043478262,5.304299500721495e-14,23
one_at_a_time,claude,Claude,global_centroid_dist,mst_dispersion,0.900197628458498,4.958714285583492e-09,23
one_at_a_time,claude,Claude,global_centroid_dist,remote_clique,0.9841897233201581,2.854051190493887e-17,23
one_at_a_time,claude,Claude,global_centroid_dist,span90,0.974308300395257,4.473465094212444e-15,23
one_at_a_time,claude,Claude,global_centroid_dist,sparseness,1.0,0.0,23
one_at_a_time,claude,Claude,mean_pairwise,centroid_loo,0.9486166007905139,5.7844212032404675e-12,23
one_at_a_time,claude,Claude,mean_pairwise,global_centroid_dist,0.9841897233201581,2.854051190493887e-17,23
one_at_a_time,claude,Claude,mean_pairwise,medoid_dist,0.9575098814229249,8.179673134913354e-13,23
one_at_a_time,claude,Claude,mean_pairwise,mst_dispersion,0.9298418972332017,1.4000253245746014e-10,23
one_at_a_time,claude,Claude,mean_pairwise,nn,0.9446640316205533,1.2376027906403914e-11,23
one_at_a_time,claude,Claude,mean_pairwise,remote_clique,1.0,0.0,23
one_at_a_time,claude,Claude,mean_pairwise,span90,0.9604743083003953,3.8781974119233065e-13,23
one_at_a_time,claude,Claude,mean_pairwise,sparseness,0.9841897233201581,2.854051190493887e-17,23
one_at_a_time,claude,Claude,medoid_dist,mst_dispersion,0.9298418972332017,1.4000253245746014e-10,23
one_at_a_time,claude,Claude,medoid_dist,remote_clique,0.9575098814229249,8.179673134913354e-13,23
