condition,text_branch,field,comparison,metric,param,target_proposal_uid,target_cohort,n_human_reviews,human_value,ai_value,paired_diff
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::1,,4,1.155564561314244,1.156199843508288,-0.0006352821940440734
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::10,,4,1.1768583228727947,1.1895804019889218,-0.012722079116127105
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::11,,4,1.1996512466070954,1.156178070404195,0.043473176202900365
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::12,,4,1.2075244916382069,1.1433041584038224,0.06422033323438447
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::2,,3,1.1653140265200586,1.1214997372100317,0.043814289310026844
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::3,,4,1.210357789362967,1.1552209862971556,0.05513680306581126
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::4,,4,1.1398497848655054,1.1526209118564104,-0.01277112699090499
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::5,,4,1.2144128781909447,1.156315715431858,0.05809716275908672
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::6,,4,1.1635414506723312,1.1639236483481064,-0.0003821976757751866
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::7,,4,1.1852096501936706,1.1340925187968862,0.05111713139678442
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::8,,5,1.2567356403111214,1.1694725738745373,0.0872630664365841
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y1::9,,3,1.197868402719704,1.129998590980326,0.0678698117393779
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y2::1,,3,1.1584255249669457,1.128727335026339,0.0296981899406068
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y2::10,,3,1.2135343110527363,1.1149041181912918,0.09863019286144459
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y2::11,,4,1.1852696390750936,1.1604118168009243,0.024857822274169328
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y2::2,,3,1.1845392510293682,1.1331765076960403,0.05136274333332791
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y2::3,,4,1.1824650038765467,1.163176000160228,0.019289003716318698
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y2::4,,2,1.113695253622574,1.0874712880684436,0.026223965554130313
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y2::5,,4,1.1746204263773938,1.1481024559934023,0.026517970383991507
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y2::6,,4,1.170422800577614,1.1507810811031431,0.01964171947447091
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y2::7,,4,1.1951259732600987,1.1354895512645788,0.059636421995519884
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y2::8,,3,1.1756527682878355,1.1333837181556046,0.04226905013223092
one_at_a_time,rephrased,whole,human_vs_pooled_ai,vendi,q=1,y2::9,,4,1.203047784639316,1.1401111375227702,0.06293664711654579
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y1::1,,4,2.9699940691672517,2.7271093552688033,0.24288471389844846
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y1::10,,4,2.8357934072981474,2.5406117266895754,0.2951816806085721
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y1::11,,4,2.956788896868678,2.74685854863804,0.20993034823063805
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y1::12,,4,2.720646004490224,2.692918598902294,0.027727405587929965
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y1::2,,3,1.9340487676408102,1.882525784774045,0.051522982866765155
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y1::3,,4,2.788157944914464,2.6175317920084633,0.1706261529060007
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y1::4,,4,2.6486803424103207,2.7202035495316887,-0.07152320712136806
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y1::5,,4,2.7498385689806657,2.7526820173842865,-0.0028434484036208296
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y1::6,,4,2.917170891432844,2.6885263371202908,0.22864455431255326
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y1::7,,4,2.781711317528144,2.743897573236019,0.037813744292124696
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y1::8,,5,3.5405083877595573,3.6549171880323867,-0.1144088002728294
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y1::9,,3,1.8434614736013706,1.8396883279065832,0.003773145694787372
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y2::1,,3,1.9948131253963168,1.8835692999325417,0.11124382546377509
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y2::10,,3,1.8658613399911144,1.895075198770348,-0.02921385877923366
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y2::11,,4,2.6811209393307003,2.6802407561030654,0.0008801832276348343
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y2::2,,3,1.9661401764948998,1.8870144062238428,0.07912577027105705
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y2::3,,4,2.957357889658197,2.777391150475484,0.1799667391827131
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y2::4,,2,1.0,1.0,0.0
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y2::5,,4,2.956179993283646,2.767741992623953,0.1884380006596933
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y2::6,,4,2.7211355672880795,2.7236446300046,-0.002509062716520738
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y2::7,,4,2.5447334266535924,2.7774818150966354,-0.23274838844304302
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y2::8,,3,1.7826105690441305,1.9025933245351851,-0.11998275549105464
one_at_a_time,rephrased,whole,human_vs_pooled_ai,participation_ratio,,y2::9,,4,2.702765624618908,2.780578535283815,-0.07781291066490681
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y1::1,,4,2.984885087817498,2.850786888747249,0.134098199070249
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y1::10,,4,2.913303235497029,2.7397276636463546,0.1735755718506744
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y1::11,,4,2.977612371684796,2.8643880398513653,0.11322433183343072
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y1::12,,4,2.8528975498294997,2.8299092050418158,0.022988344787683967
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y1::2,,3,1.9659958071296253,1.9355978682817305,0.030397938847894768
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y1::3,,4,2.8917852334214924,2.784437208160055,0.10734802526143739
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y1::4,,4,2.813580121085747,2.8473109134766417,-0.03373079239089449
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y1::5,,4,2.8602195756993845,2.865439215205358,-0.0052196395059733725
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y1::6,,4,2.958516398139451,2.829959287584538,0.12855711055491303
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y1::7,,4,2.876602552320114,2.860802590859044,0.01579996146107021
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y1::8,,5,3.737021554582602,3.817013088644046,-0.0799915340614441
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y1::9,,3,1.915669428887814,1.9094250493248452,0.006244379562968749
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y2::1,,3,1.9974003822641644,1.9359670455491416,0.061433336715022824
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y2::10,,3,1.9285300812385338,1.9425966397313175,-0.01406655849278371
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y2::11,,4,2.832283497893457,2.8242546480105055,0.008028849882951494
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y2::2,,3,1.9828031165303064,1.93783305129537,0.044970065234936296
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y2::3,,4,2.97836589841131,2.881566920618267,0.09679897779304314
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y2::4,,2,1.0,1.0,0.0
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y2::5,,4,2.977157339841611,2.875461612320018,0.10169572752159306
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y2::6,,4,2.8427497572833715,2.8498109761833246,-0.007061218899953037
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y2::7,,4,2.756578625861968,2.8803843175564086,-0.12380569169444078
one_at_a_time,rephrased,whole,human_vs_pooled_ai,effective_rank,,y2::8,,3,1.8792412636230678,1.9469399279655315,-0.06769866434246374
