condition,task,text_version,field,facet,metric,param,group,value,z,z_ci_lo,z_ci_hi,sign_aligned,stars,mode
one_at_a_time,reviews,rephrased,whole,spread,mean_pairwise,,Claude,-1.0,-1.0,-1.0,-1.0,1,***,delta
one_at_a_time,reviews,rephrased,whole,spread,mean_pairwise,,Gemini,-1.0,-1.0,-1.0,-1.0,1,***,delta
one_at_a_time,reviews,rephrased,whole,spread,mean_pairwise,,GPT,-0.9130434782608695,-0.9130434782608695,-1.0,-0.7391304347826086,1,***,delta
one_at_a_time,reviews,rephrased,whole,spread,mean_pairwise,,All AI,-0.9130434782608695,-0.9130434782608695,-1.0,-0.7391304347826086,1,***,delta
one_at_a_time,reviews,rephrased,whole,richness,vendi,q=1,Claude,-1.0,-1.0,-1.0,-1.0,1,***,delta
one_at_a_time,reviews,rephrased,whole,richness,vendi,q=1,Gemini,-1.0,-1.0,-1.0,-1.0,1,***,delta
one_at_a_time,reviews,rephrased,whole,richness,vendi,q=1,GPT,-0.9130434782608695,-0.9130434782608695,-1.0,-0.7391304347826086,1,***,delta
one_at_a_time,reviews,rephrased,whole,richness,vendi,q=1,All AI,-0.8260869565217391,-0.8260869565217391,-1.0,-0.5652173913043478,1,***,delta
one_at_a_time,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,Claude,1.0,-1.0,-1.0,-1.0,-1,***,delta
one_at_a_time,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,Gemini,0.9130434782608695,-0.9130434782608695,-1.0,-0.7391304347826086,-1,***,delta
one_at_a_time,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,GPT,0.9130434782608695,-0.9130434782608695,-1.0,-0.7391304347826086,-1,***,delta
one_at_a_time,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,All AI,0.9130434782608695,-0.9130434782608695,-1.0,-0.7391304347826086,-1,***,delta
one_at_a_time,reviews,rephrased,whole,dimensionality,participation_ratio,,Claude,0.18181818181818182,0.18181818181818182,-0.23809523809523808,0.5652173913043478,1,,delta
one_at_a_time,reviews,rephrased,whole,dimensionality,participation_ratio,,Gemini,-0.09090909090909091,-0.09090909090909091,-0.4782608695652174,0.3333333333333333,1,,delta
one_at_a_time,reviews,rephrased,whole,dimensionality,participation_ratio,,GPT,-0.09090909090909091,-0.09090909090909091,-0.4782608695652174,0.30434782608695654,1,,delta
one_at_a_time,reviews,rephrased,whole,dimensionality,participation_ratio,,All AI,-0.0,-0.0,-0.4,0.42857142857142855,1,,delta
one_at_a_time,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,Claude,1.0,1.0,1.0,1.0,1,**,delta
one_at_a_time,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,Gemini,1.0,1.0,1.0,1.0,1,**,delta
one_at_a_time,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,GPT,1.0,1.0,1.0,1.0,1,**,delta
one_at_a_time,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,All AI,0.4444444444444444,0.4444444444444444,-0.0,0.8571428571428571,1,**,delta
