condition,task,text_version,field,comparison,stat,value
one_at_a_time,reviews,rephrased,whole,human_vs_claude,ai_to_nearest_human_median,0.032003686545179044
one_at_a_time,reviews,rephrased,whole,human_vs_claude,ai_to_nearest_human_q90,0.03891352154183216
one_at_a_time,reviews,rephrased,whole,human_vs_claude,human_to_nearest_human_median,0.03619614608131416
one_at_a_time,reviews,rephrased,whole,human_vs_claude,human_to_nearest_human_q90,0.04516309524604969
one_at_a_time,reviews,rephrased,whole,human_vs_claude,human_to_nearest_ai_median,0.03212620293809332
one_at_a_time,reviews,rephrased,whole,human_vs_claude,human_to_nearest_ai_q90,0.03957952847722086
one_at_a_time,reviews,rephrased,whole,human_vs_claude,share_human_fringe,0.011764705882352941
one_at_a_time,reviews,rephrased,whole,human_vs_claude,share_ai_pocket,0.043478260869565216
one_at_a_time,reviews,rephrased,whole,human_vs_claude,n_ai,115.0
one_at_a_time,reviews,rephrased,whole,human_vs_claude,n_human,85.0
one_at_a_time,reviews,rephrased,whole,human_vs_gemini,ai_to_nearest_human_median,0.033929066736702485
one_at_a_time,reviews,rephrased,whole,human_vs_gemini,ai_to_nearest_human_q90,0.043452956964951814
one_at_a_time,reviews,rephrased,whole,human_vs_gemini,human_to_nearest_human_median,0.03619614608131416
one_at_a_time,reviews,rephrased,whole,human_vs_gemini,human_to_nearest_human_q90,0.04516309524604969
one_at_a_time,reviews,rephrased,whole,human_vs_gemini,human_to_nearest_ai_median,0.033851022586001256
one_at_a_time,reviews,rephrased,whole,human_vs_gemini,human_to_nearest_ai_q90,0.042777438894932754
one_at_a_time,reviews,rephrased,whole,human_vs_gemini,share_human_fringe,0.03529411764705882
one_at_a_time,reviews,rephrased,whole,human_vs_gemini,share_ai_pocket,0.05217391304347826
one_at_a_time,reviews,rephrased,whole,human_vs_gemini,n_ai,115.0
one_at_a_time,reviews,rephrased,whole,human_vs_gemini,n_human,85.0
one_at_a_time,reviews,rephrased,whole,human_vs_gpt,ai_to_nearest_human_median,0.031802926315106395
one_at_a_time,reviews,rephrased,whole,human_vs_gpt,ai_to_nearest_human_q90,0.040155614242349355
one_at_a_time,reviews,rephrased,whole,human_vs_gpt,human_to_nearest_human_median,0.03619614608131416
one_at_a_time,reviews,rephrased,whole,human_vs_gpt,human_to_nearest_human_q90,0.04516309524604969
one_at_a_time,reviews,rephrased,whole,human_vs_gpt,human_to_nearest_ai_median,0.032489229999493885
one_at_a_time,reviews,rephrased,whole,human_vs_gpt,human_to_nearest_ai_q90,0.04161613682074368
one_at_a_time,reviews,rephrased,whole,human_vs_gpt,share_human_fringe,0.03529411764705882
one_at_a_time,reviews,rephrased,whole,human_vs_gpt,share_ai_pocket,0.02608695652173913
one_at_a_time,reviews,rephrased,whole,human_vs_gpt,n_ai,115.0
one_at_a_time,reviews,rephrased,whole,human_vs_gpt,n_human,85.0
one_at_a_time,reviews,rephrased,whole,human_vs_pooled_ai,ai_to_nearest_human_median,0.032613152220845154
one_at_a_time,reviews,rephrased,whole,human_vs_pooled_ai,ai_to_nearest_human_q90,0.04153604035920846
one_at_a_time,reviews,rephrased,whole,human_vs_pooled_ai,human_to_nearest_human_median,0.03619614608131416
one_at_a_time,reviews,rephrased,whole,human_vs_pooled_ai,human_to_nearest_human_q90,0.04516309524604969
one_at_a_time,reviews,rephrased,whole,human_vs_pooled_ai,human_to_nearest_ai_median,0.030086766084852057
one_at_a_time,reviews,rephrased,whole,human_vs_pooled_ai,human_to_nearest_ai_q90,0.03876162732931425
one_at_a_time,reviews,rephrased,whole,human_vs_pooled_ai,share_human_fringe,0.0
one_at_a_time,reviews,rephrased,whole,human_vs_pooled_ai,share_ai_pocket,0.04057971014492753
one_at_a_time,reviews,rephrased,whole,human_vs_pooled_ai,n_ai,345.0
one_at_a_time,reviews,rephrased,whole,human_vs_pooled_ai,n_human,85.0
