condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals,field_branch
one_at_a_time,all_ai,All AI,centroid_loo,global_centroid_dist,0.9179841897233202,6.841670339545262e-10,23,whole_review
one_at_a_time,all_ai,All AI,centroid_loo,medoid_dist,0.8705533596837944,6.647410329721665e-08,23,whole_review
one_at_a_time,all_ai,All AI,centroid_loo,mst_dispersion,0.9100790513833993,1.7350925633305456e-09,23,whole_review
one_at_a_time,all_ai,All AI,centroid_loo,remote_clique,0.9446640316205533,1.2376027906403914e-11,23,whole_review
one_at_a_time,all_ai,All AI,centroid_loo,span90,0.8893280632411068,1.3975049546636921e-08,23,whole_review
one_at_a_time,all_ai,All AI,centroid_loo,sparseness,0.9179841897233202,6.841670339545262e-10,23,whole_review
one_at_a_time,all_ai,All AI,global_centroid_dist,medoid_dist,0.9397233201581027,2.971868444999934e-11,23,whole_review
one_at_a_time,all_ai,All AI,global_centroid_dist,mst_dispersion,0.8754940711462451,4.518872262393973e-08,23,whole_review
one_at_a_time,all_ai,All AI,global_centroid_dist,remote_clique,0.9920948616600791,2.0399146317564257e-20,23,whole_review
one_at_a_time,all_ai,All AI,global_centroid_dist,span90,0.9693675889328063,2.7752536222287567e-14,23,whole_review
one_at_a_time,all_ai,All AI,global_centroid_dist,sparseness,1.0,0.0,23,whole_review
one_at_a_time,all_ai,All AI,mean_pairwise,centroid_loo,0.9446640316205533,1.2376027906403914e-11,23,whole_review
one_at_a_time,all_ai,All AI,mean_pairwise,global_centroid_dist,0.9920948616600791,2.0399146317564257e-20,23,whole_review
one_at_a_time,all_ai,All AI,mean_pairwise,medoid_dist,0.9426877470355731,1.7733200161440015e-11,23,whole_review
one_at_a_time,all_ai,All AI,mean_pairwise,mst_dispersion,0.9021739130434783,4.055548807322043e-09,23,whole_review
one_at_a_time,all_ai,All AI,mean_pairwise,nn,0.83399209486166,7.648751747090473e-07,23,whole_review
one_at_a_time,all_ai,All AI,mean_pairwise,remote_clique,1.0,0.0,23,whole_review
one_at_a_time,all_ai,All AI,mean_pairwise,span90,0.9594861660079053,5.004227319259316e-13,23,whole_review
one_at_a_time,all_ai,All AI,mean_pairwise,sparseness,0.9920948616600791,2.0399146317564257e-20,23,whole_review
one_at_a_time,all_ai,All AI,medoid_dist,mst_dispersion,0.9179841897233202,6.841670339545262e-10,23,whole_review
one_at_a_time,all_ai,All AI,medoid_dist,remote_clique,0.9426877470355731,1.7733200161440015e-11,23,whole_review
one_at_a_time,all_ai,All AI,medoid_dist,span90,0.8507905138339922,2.6977559195331056e-07,23,whole_review
one_at_a_time,all_ai,All AI,medoid_dist,sparseness,0.9397233201581027,2.971868444999934e-11,23,whole_review
one_at_a_time,all_ai,All AI,mst_dispersion,remote_clique,0.9021739130434783,4.055548807322043e-09,23,whole_review
one_at_a_time,all_ai,All AI,mst_dispersion,sparseness,0.8754940711462451,4.518872262393973e-08,23,whole_review
one_at_a_time,all_ai,All AI,nn,centroid_loo,0.83399209486166,7.648751747090473e-07,23,whole_review
one_at_a_time,all_ai,All AI,nn,global_centroid_dist,0.8073122529644269,3.2272496291614416e-06,23,whole_review
one_at_a_time,all_ai,All AI,nn,medoid_dist,0.8952569169960475,8.053373554312945e-09,23,whole_review
one_at_a_time,all_ai,All AI,nn,mst_dispersion,0.9723320158102767,9.656461912075791e-15,23,whole_review
one_at_a_time,all_ai,All AI,nn,remote_clique,0.83399209486166,7.648751747090473e-07,23,whole_review
one_at_a_time,all_ai,All AI,nn,span90,0.6996047430830039,0.0002028888653110404,23,whole_review
one_at_a_time,all_ai,All AI,nn,sparseness,0.8073122529644269,3.2272496291614416e-06,23,whole_review
one_at_a_time,all_ai,All AI,span90,mst_dispersion,0.7865612648221343,8.56022972038219e-06,23,whole_review
one_at_a_time,all_ai,All AI,span90,remote_clique,0.9594861660079053,5.004227319259316e-13,23,whole_review
one_at_a_time,all_ai,All AI,span90,sparseness,0.9693675889328063,2.7752536222287567e-14,23,whole_review
one_at_a_time,all_ai,All AI,sparseness,remote_clique,0.9920948616600791,2.0399146317564257e-20,23,whole_review
one_at_a_time,claude,Claude,centroid_loo,global_centroid_dist,0.8754940711462451,4.518872262393973e-08,23,whole_review
one_at_a_time,claude,Claude,centroid_loo,medoid_dist,0.8537549407114625,2.2153833460582867e-07,23,whole_review
one_at_a_time,claude,Claude,centroid_loo,mst_dispersion,0.9041501976284586,3.302671241557327e-09,23,whole_review
one_at_a_time,claude,Claude,centroid_loo,remote_clique,0.9169960474308301,7.724063591873756e-10,23,whole_review
one_at_a_time,claude,Claude,centroid_loo,span90,0.8221343873517787,1.4932039330823453e-06,23,whole_review
one_at_a_time,claude,Claude,centroid_loo,sparseness,0.8754940711462451,4.518872262393973e-08,23,whole_review
