condition,task,text_version,field,comparison,facet,metric,param,human_value,ai_value,effect_size,effect_type,ci_lo,ci_hi,human_ci_lo,human_ci_hi,inference,stat,p_raw,p_fdr,n_human,n_ai,n_perm_or_boot,notes
persona,proposals,original,whole,human_vs_claude,simpson_similarity,gini_simpson,,0.1675455008269,0.12222635331906029,0.7295114026686919,ratio,0.1182321486343691,0.1236120562878667,0.1628329090030859,0.16969434501020303,permutation,0.04531914750783972,0.00029997000299970003,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
persona,proposals,original,whole,human_vs_gemini,simpson_similarity,gini_simpson,,0.1675455008269,0.08303393571876638,0.4955903638651155,ratio,0.0809232608681245,0.08425994650037205,0.1628329090030859,0.16969434501020303,permutation,0.08451156510813362,9.999000099990002e-05,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
persona,proposals,original,whole,human_vs_gpt,simpson_similarity,gini_simpson,,0.1675455008269,0.11438480031378828,0.6827088745997733,ratio,0.11162370253609136,0.11659420084082117,0.1628329090030859,0.16969434501020303,permutation,0.053160700513111725,9.999000099990002e-05,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
persona,proposals,original,whole,human_vs_pooled_ai,simpson_similarity,gini_simpson,,0.1675455008269,0.11719853557491967,0.6995027320727853,ratio,0.10621920662913449,0.12718278281422826,0.1628329090030859,0.16969434501020303,same_size_subsample,0.05034696525198033,0.000999000999000999,,23.0,23.0,1000,similarity-sensitive Simpson; AI n=23 subsampled from 69 (without replacement); higher = more diverse
persona,proposals,original,whole,human_vs_claude,simpson_similarity,inverse_simpson,,1.2012668572196168,1.1392458679765858,0.9483703484614724,ratio,1.1340854576945036,1.1410471895816334,1.1945064106736265,1.2043757807957718,permutation,0.06202098924303101,0.00029997000299970003,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
persona,proposals,original,whole,human_vs_gemini,simpson_similarity,inverse_simpson,,1.2012668572196168,1.090552899341867,0.9078356676434061,ratio,1.08804866689352,1.0920129554260825,1.1945064106736265,1.2043757807957718,permutation,0.11071395787774985,9.999000099990002e-05,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
persona,proposals,original,whole,human_vs_gpt,simpson_similarity,inverse_simpson,,1.2012668572196168,1.1291585785274652,0.9399731389750906,ratio,1.1256491770107495,1.1319826848290468,1.1945064106736265,1.2043757807957718,permutation,0.07210827869215164,9.999000099990002e-05,,23.0,23.0,10000,similarity-sensitive Simpson on kernel eigenvalues; higher = more diverse; equal-n; ci = 95% jackknife
persona,proposals,original,whole,human_vs_pooled_ai,simpson_similarity,inverse_simpson,,1.2012668572196168,1.1328014102509854,0.9430056306330655,ratio,1.1188425702827054,1.145715259403953,1.1945064106736265,1.2043757807957718,same_size_subsample,0.06846544696863144,0.000999000999000999,,23.0,23.0,1000,similarity-sensitive Simpson; AI n=23 subsampled from 69 (without replacement); higher = more diverse
persona,proposals,original,whole,human_vs_claude,simpson_categorical,gini_simpson,literature_region,0.6427221172022684,0.5368620037807184,0.835294117647059,ratio,,,,,permutation,0.10586011342155,0.06529347065293471,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
persona,proposals,original,whole,human_vs_gemini,simpson_categorical,gini_simpson,literature_region,0.6427221172022684,0.4763705103969753,0.7411764705882352,ratio,,,,,permutation,0.16635160680529304,0.011498850114988501,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
persona,proposals,original,whole,human_vs_gpt,simpson_categorical,gini_simpson,literature_region,0.6427221172022684,0.5368620037807184,0.835294117647059,ratio,,,,,permutation,0.10586011342155,0.061493850614938506,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
persona,proposals,original,whole,human_vs_pooled_ai,simpson_categorical,gini_simpson,literature_region,0.6427221172022684,0.5029792060491493,0.7825764705882352,ratio,0.4045368620037808,0.5746691871455576,,,same_size_subsample,0.1397429111531191,0.008991008991008992,,23.0,23.0,1000,classical Simpson on nearest literature region; AI n=23 subsampled from 69
persona,proposals,original,whole,human_vs_claude,simpson_categorical,inverse_simpson,literature_region,2.7989417989417986,2.159183673469388,0.7714285714285716,ratio,,,,,permutation,0.6397581254724107,0.41525847415258477,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
persona,proposals,original,whole,human_vs_gemini,simpson_categorical,inverse_simpson,literature_region,2.7989417989417986,1.9097472924187722,0.6823104693140793,ratio,,,,,permutation,0.8891945065230265,0.2666733326667333,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
persona,proposals,original,whole,human_vs_gpt,simpson_categorical,inverse_simpson,literature_region,2.7989417989417986,2.159183673469388,0.7714285714285716,ratio,,,,,permutation,0.6397581254724107,0.41825817418258177,,23.0,23.0,10000,classical Simpson on the nearest-literature-region label (BERTopic outlier bin dropped); higher = more diverse; equal-n
persona,proposals,original,whole,human_vs_pooled_ai,simpson_categorical,inverse_simpson,literature_region,2.7989417989417986,2.024573365734682,0.7233352856783647,ratio,1.6793650793650796,2.351111111111111,,,same_size_subsample,0.7743684332071168,0.000999000999000999,,23.0,23.0,1000,classical Simpson on nearest literature region; AI n=23 subsampled from 69
