,mean_pairwise_distance,nearest_neighbor_distance,author_group_mean_pairwise_distance,author_group_nearest_neighbor_distance,global_nn_distance,global_mean_5nn_distance,literature_element_novelty_k1,literature_mean_knn_novelty_k10,literature_local_density_normalized_novelty,bertopic_region_entropy,bertopic_max_region_weight,bertopic_unique_regions,mesh_unique_terms_k20
mean_pairwise_distance,1.0,0.9085084545639595,0.971354319845751,0.9140892302192468,0.9022976616396533,0.9337914416912714,-0.07626239580830953,-0.1069600508029272,-0.10696005080292707,0.1267430198586664,-0.18376903257705424,0.029069626413740283,-0.2551536125773257
nearest_neighbor_distance,0.9085084545639595,1.0,0.8815437683792128,0.9577379069494035,0.9822348621790086,0.9746484051173436,-0.06365030377749588,-0.09937547466918986,-0.09937547466918982,0.17386185911976024,-0.20704839526041355,0.10236000274097394,-0.22958404611697983
author_group_mean_pairwise_distance,0.971354319845751,0.8815437683792128,1.0,0.8951875790043133,0.8698469818988156,0.9074212278216268,-0.09782232069484247,-0.13708523668208847,-0.13708523668208833,0.10147988654856227,-0.1610754917591314,-0.004972679938151123,-0.2556446035258338
author_group_nearest_neighbor_distance,0.9140892302192468,0.9577379069494035,0.8951875790043133,1.0,0.9381078319291832,0.9689317149878685,-0.0982559993540448,-0.14322007972401182,-0.14322007972401177,0.1519854769076252,-0.1875077807131012,0.0710337912552848,-0.229294145730744
global_nn_distance,0.9022976616396533,0.9822348621790086,0.8698469818988156,0.9381078319291832,1.0,0.9808815813589589,-0.04175738360865748,-0.08161155997943281,-0.08161155997943274,0.19082656776999204,-0.2311044945227699,0.10784231992247309,-0.20733367512939466
global_mean_5nn_distance,0.9337914416912714,0.9746484051173436,0.9074212278216268,0.9689317149878685,0.9808815813589589,1.0,-0.06489042375352456,-0.11468680838040757,-0.11468680838040743,0.17788534534298212,-0.21602240900225878,0.09265087041252995,-0.21467836280182812
literature_element_novelty_k1,-0.07626239580830953,-0.06365030377749588,-0.09782232069484247,-0.0982559993540448,-0.04175738360865748,-0.06489042375352456,1.0,0.8900144172451786,0.8900144172451788,0.5054541960881122,-0.45934231101145917,0.48078352938278024,0.344135694158142
literature_mean_knn_novelty_k10,-0.1069600508029272,-0.09937547466918986,-0.13708523668208847,-0.14322007972401182,-0.08161155997943281,-0.11468680838040757,0.8900144172451786,1.0,1.0000000000000004,0.5778476188413765,-0.5382980795313326,0.534309737651698,0.40501101626654096
literature_local_density_normalized_novelty,-0.10696005080292707,-0.09937547466918982,-0.13708523668208833,-0.14322007972401177,-0.08161155997943274,-0.11468680838040743,0.8900144172451788,1.0000000000000004,1.0,0.5778476188413764,-0.5382980795313324,0.5343097376516981,0.4050110162665415
bertopic_region_entropy,0.1267430198586664,0.17386185911976024,0.10147988654856227,0.1519854769076252,0.19082656776999204,0.17788534534298212,0.5054541960881122,0.5778476188413765,0.5778476188413764,1.0,-0.9533143552067049,0.885836850427247,0.2174180299583456
bertopic_max_region_weight,-0.18376903257705424,-0.20704839526041355,-0.1610754917591314,-0.1875077807131012,-0.2311044945227699,-0.21602240900225878,-0.45934231101145917,-0.5382980795313326,-0.5382980795313324,-0.9533143552067049,1.0,-0.7368287539594918,-0.1635889873689978
bertopic_unique_regions,0.029069626413740283,0.10236000274097394,-0.004972679938151123,0.0710337912552848,0.10784231992247309,0.09265087041252995,0.48078352938278024,0.534309737651698,0.5343097376516981,0.885836850427247,-0.7368287539594918,1.0,0.26526155382543726
mesh_unique_terms_k20,-0.2551536125773257,-0.22958404611697983,-0.2556446035258338,-0.229294145730744,-0.20733367512939466,-0.21467836280182812,0.344135694158142,0.40501101626654096,0.4050110162665415,0.2174180299583456,-0.1635889873689978,0.26526155382543726,1.0
