proposal_uid,source_type,source_group,lda_topic,lda_topic_prob_0,lda_topic_prob_1,lda_topic_prob_2,lda_topic_prob_3,lda_topic_prob_4
y1::1,human,Human,2,0.0028223081206695364,0.002816890535440475,0.6631999335226577,0.0027899634952018955,0.3283709043260302
y1::10,human,Human,3,0.0021302151963550646,0.002110984185235378,0.16755640326175297,0.8260846722406653,0.0021177251159913654
y1::11,human,Human,3,0.2866027114554766,0.002132783175910758,0.00213555837074576,0.707009547448942,0.0021193995489249585
y1::12,human,Human,3,0.0024673744864983,0.0024635697894715538,0.0024744495026430466,0.9901376324435575,0.0024569737778296578
y1::2,human,Human,4,0.001985512526386141,0.0019703506508902662,0.001973697668720752,0.001972886973700829,0.992097552180302
y1::3,human,Human,3,0.0021601182921554495,0.0021598035718131316,0.0021548064466711046,0.9913689407111448,0.0021563309782154498
y1::4,human,Human,3,0.0027796737601586065,0.0027682175010434,0.0027555983212688077,0.8385274141977533,0.1531690962197759
y1::5,human,Human,0,0.6905803629028309,0.30351163314154794,0.0019708406484081646,0.001985804955123321,0.0019513583520896684
y1::6,human,Human,3,0.35565250387215464,0.0018914441846869803,0.0018901305208808116,0.6386904167432962,0.0018755046789814254
y1::7,human,Human,3,0.3576043488861469,0.002213034181758883,0.0022389688911766004,0.6357374152786188,0.002206232762298825
y1::8,human,Human,0,0.6331883516844897,0.002122232989513418,0.002129880348705054,0.36042571244968596,0.0021338225276057903
y1::9,human,Human,2,0.0021737302981399867,0.0021465819380882163,0.9913914375524961,0.0021501272822187834,0.0021381229290569266
y2::1,human,Human,3,0.0021104189145859757,0.0020908962271394154,0.0021039645236647087,0.9916226756114029,0.002072044723206884
y2::10,human,Human,3,0.0019637492395704072,0.0019470070781902023,0.0019492693917537445,0.9921987968234691,0.001941177467016418
y2::11,human,Human,3,0.002686348865719207,0.002664845552105106,0.0026580691491424955,0.9893601235702909,0.002630612862742419
y2::2,human,Human,1,0.0020406323915654768,0.9918536926247465,0.002026870462658319,0.0020547342527529582,0.002024070268276672
y2::3,human,Human,2,0.0020186193252983275,0.0020176790100815646,0.991936370967393,0.0020196315136967176,0.0020076991835305735
y2::4,human,Human,3,0.002450267644579674,0.00246921136963831,0.0024433572198178806,0.9902126935937241,0.0024244701722400414
y2::5,human,Human,4,0.0023479735151978876,0.35118708957446587,0.0023522340163501334,0.2740075653114891,0.37010513758249686
y2::6,human,Human,3,0.002458443676513722,0.0024715987326286615,0.0024444465484066685,0.9901873685242288,0.0024381425182221157
y2::7,human,Human,1,0.001994675625110348,0.5432597517118916,0.001992187105103621,0.45078727007712643,0.0019661154807679776
y2::8,human,Human,3,0.0023549754457825745,0.002345049684555455,0.0023586352577568935,0.9906246907612359,0.0023166488506691798
y2::9,human,Human,2,0.002331076541816521,0.0023165652820923365,0.9907141691195226,0.002329640511943967,0.0023085485446246905
persona::claude-sonnet-5::01,ai,Claude,4,0.002475212676933666,0.0024770552462391638,0.002476718753230109,0.0024774977010894876,0.9900935156225075
persona::claude-sonnet-5::02,ai,Claude,0,0.9924749460063417,0.0018898413334319337,0.0018756851932510104,0.0018826021415676642,0.0018769253254077032
persona::claude-sonnet-5::03,ai,Claude,3,0.00251187226531717,0.0025255783892795002,0.0024934685436397565,0.9899795493618495,0.0024895314399139565
persona::claude-sonnet-5::04,ai,Claude,2,0.0021171928230920576,0.0021044554240451444,0.9297008232115446,0.06398649357764366,0.002091034963674611
persona::claude-sonnet-5::05,ai,Claude,0,0.9896206664005843,0.0026337444837424367,0.0025623916141497035,0.0026013512081308394,0.0025818462933927043
persona::claude-sonnet-5::06,ai,Claude,3,0.002030076809694328,0.002017989061910052,0.002015458400775819,0.9919294097088311,0.002007066018788618
persona::claude-sonnet-5::07,ai,Claude,3,0.001914985669509542,0.0019215825473006597,0.0018981931801040756,0.9923790541116279,0.0018861844914579119
persona::claude-sonnet-5::08,ai,Claude,0,0.7700786418705717,0.0027044697771034204,0.0026889499444100874,0.22182702116190564,0.0027009172460091633
persona::claude-sonnet-5::09,ai,Claude,0,0.9268820674957501,0.0023712838111674497,0.002394059821057744,0.06599986031823156,0.0023527285537933307
persona::claude-sonnet-5::10,ai,Claude,2,0.0024613446940200865,0.0024479312622993346,0.9901929196968215,0.0024488662482200587,0.0024489380986388544
persona::claude-sonnet-5::11,ai,Claude,0,0.9923323309217724,0.0019158462790329932,0.0019165127200939192,0.0019288876823710954,0.001906422396729746
persona::claude-sonnet-5::12,ai,Claude,3,0.002151770906074925,0.002157156107171851,0.00214856430470979,0.9913773463265811,0.002165162355462213
persona::claude-sonnet-5::13,ai,Claude,3,0.002172868978455963,0.0021752824423232945,0.0021579929591259085,0.9913394000398128,0.0021544555802819752
persona::claude-sonnet-5::14,ai,Claude,1,0.0021818596768343494,0.9913506827453643,0.002150176825851187,0.00217042445141643,0.002146856300533814
persona::claude-sonnet-5::15,ai,Claude,2,0.002092004084167523,0.002075575188927238,0.9916994645384235,0.002078358095971444,0.002054598092510225
persona::claude-sonnet-5::16,ai,Claude,1,0.0019288098873052918,0.9922983324757443,0.0019217988416031222,0.0019477397083313935,0.0019033190870158705
persona::claude-sonnet-5::17,ai,Claude,4,0.002578605606466643,0.002585940659221235,0.0025820632929923525,0.0025718328002420224,0.9896815576410777
persona::claude-sonnet-5::18,ai,Claude,1,0.002534187782946449,0.9899221924150771,0.002520054304771394,0.002524590927414658,0.002498974569790493
persona::claude-sonnet-5::19,ai,Claude,1,0.0022371390950272933,0.9910862853617827,0.0022225482570178835,0.0022319647594511494,0.0022220625267209554
persona::claude-sonnet-5::20,ai,Claude,2,0.0026711724882308827,0.0026600691526438057,0.9893600610534213,0.00267653151774767,0.002632165787956427
persona::claude-sonnet-5::21,ai,Claude,2,0.0019697884278709987,0.0019461582793850248,0.9921778522739471,0.0019530487025818295,0.0019531523162150694
persona::claude-sonnet-5::22,ai,Claude,0,0.9918381396711169,0.0020380085750973864,0.0020443099503344568,0.002051232668052674,0.0020283091353986123
persona::claude-sonnet-5::23,ai,Claude,1,0.002617477229537435,0.9895624858749682,0.0026006792752027467,0.0026249692696971865,0.0025943883505946783
persona::gpt-5.5::01,ai,GPT,1,0.0026064941495942454,0.9896022934731032,0.0025884109851346962,0.0025742785965518367,0.0026285227956160105
persona::gpt-5.5::02,ai,GPT,0,0.9922394771441072,0.0019366836339233945,0.0019472316543214811,0.0019388926820002035,0.0019377148856477865
persona::gpt-5.5::03,ai,GPT,3,0.0020989031420176663,0.002092630511836203,0.002083829256282082,0.9916473772599472,0.0020772598299167817
persona::gpt-5.5::04,ai,GPT,0,0.47125894308936106,0.001970899434739825,0.2880812589616156,0.23672028230098738,0.0019686162132962043
persona::gpt-5.5::05,ai,GPT,0,0.992540274623504,0.0018701219851763912,0.0018685393476030425,0.001872405052563831,0.0018486589911527243
persona::gpt-5.5::06,ai,GPT,0,0.9922372462121086,0.001942236201590902,0.001944807272185939,0.0019550206993818806,0.0019206896147327065
persona::gpt-5.5::07,ai,GPT,0,0.9919964954055739,0.0020115561801145767,0.001991027936720147,0.002016775233551472,0.0019841452440399446
persona::gpt-5.5::08,ai,GPT,0,0.9924642625490515,0.0018806140583298176,0.0018944430640432843,0.0018899896860099766,0.0018706906425654012
persona::gpt-5.5::09,ai,GPT,0,0.9921012675596848,0.0019743467237537077,0.001976254239578738,0.0019814804993327586,0.0019666509776500433
persona::gpt-5.5::10,ai,GPT,2,0.2344497359414712,0.0025249886779369116,0.4826808380081181,0.2778483242350564,0.0024961131374174584
persona::gpt-5.5::11,ai,GPT,0,0.7958341997271149,0.002397462919504337,0.002388599773568841,0.19700676877563916,0.002372968804172675
persona::gpt-5.5::12,ai,GPT,3,0.0018619583165755485,0.0018603533322177662,0.0018832990289602578,0.936276605821843,0.058117783500403516
persona::gpt-5.5::13,ai,GPT,0,0.808374867932794,0.002018962115124067,0.1855539118287568,0.0020463828011966735,0.002005875322128522
persona::gpt-5.5::14,ai,GPT,0,0.9922133432412673,0.001956674471919915,0.0019397565241128076,0.001959132741912777,0.0019310930207871717
persona::gpt-5.5::15,ai,GPT,0,0.7080194878033855,0.28573071255904753,0.0021001765109211353,0.0020759511673256645,0.002073671959320042
persona::gpt-5.5::16,ai,GPT,3,0.4373859073129435,0.0020869730707541406,0.002072286507758629,0.5563996640446421,0.0020551690639015836
persona::gpt-5.5::17,ai,GPT,1,0.0018350741258010644,0.9926651574040678,0.0018382861596955339,0.0018291898876685935,0.0018322924227671324
persona::gpt-5.5::18,ai,GPT,3,0.0017513809091443664,0.00174460007350704,0.0017368705232608595,0.9930585967003954,0.0017085517936922946
persona::gpt-5.5::19,ai,GPT,1,0.00206803592176157,0.991787201304194,0.0020490808751335585,0.0020529097266334686,0.0020427721722775173
persona::gpt-5.5::20,ai,GPT,1,0.00192775187895356,0.9923483085185653,0.0019140557268789325,0.0019113243783174805,0.0018985594972847704
persona::gpt-5.5::21,ai,GPT,0,0.7856570926923525,0.0018258040098542792,0.20886210357222193,0.0018299417137055511,0.0018250580118658285
persona::gpt-5.5::22,ai,GPT,0,0.7055590809496595,0.28854244843905835,0.0019594976146612127,0.001987045007546516,0.001951927989074466
persona::gpt-5.5::23,ai,GPT,0,0.9921007227250788,0.0019977241335537165,0.0019617239122985426,0.001979878906207979,0.0019599503228611087
persona::gemini-3.1-pro-preview::01,ai,Gemini,4,0.0025329238036530684,0.0025152985304936143,0.0025223415909749417,0.002523441035944959,0.9899059950389334
persona::gemini-3.1-pro-preview::02,ai,Gemini,0,0.6606432789041794,0.0018040666957185297,0.001808208125180434,0.33394802377503136,0.0017964224998903721
persona::gemini-3.1-pro-preview::03,ai,Gemini,3,0.0018470823382245524,0.001867302754337788,0.0018319896224691713,0.9926175459869906,0.0018360792979779863
persona::gemini-3.1-pro-preview::04,ai,Gemini,0,0.5426274511697686,0.0021259183832137304,0.0021340660796831208,0.3225778202655507,0.1305347441017838
persona::gemini-3.1-pro-preview::05,ai,Gemini,0,0.9925534940234649,0.001860284625917921,0.0018585238404006277,0.0018719120472654874,0.0018557854629508905
persona::gemini-3.1-pro-preview::06,ai,Gemini,0,0.9921727788667124,0.0019581634276649687,0.0019544906410828744,0.001965100741379077,0.0019494663231606187
persona::gemini-3.1-pro-preview::07,ai,Gemini,3,0.3330928443379434,0.0022001007651717927,0.002197272549486856,0.6603404312668303,0.0021693510805675803
persona::gemini-3.1-pro-preview::08,ai,Gemini,0,0.9923962413997838,0.0019008516302926157,0.001903192157358844,0.0019155331245161915,0.0018841816880485003
persona::gemini-3.1-pro-preview::09,ai,Gemini,0,0.960856572291279,0.031473406670492116,0.0025463035971806164,0.002553491087251274,0.0025702263537970465
persona::gemini-3.1-pro-preview::10,ai,Gemini,2,0.0017912508265044763,0.001797590064559031,0.9928386482359595,0.0017907016225215948,0.001781809250455411
persona::gemini-3.1-pro-preview::11,ai,Gemini,0,0.6572680158261219,0.0018387802373187121,0.0018348639699573596,0.33724391229867107,0.0018144276679310444
persona::gemini-3.1-pro-preview::12,ai,Gemini,3,0.002114829299280684,0.0021025169062085657,0.0020971944004541613,0.9916036389864189,0.002081820407637804
persona::gemini-3.1-pro-preview::13,ai,Gemini,0,0.6741318133264698,0.0023480432400826623,0.0023347314161826093,0.3188619316671867,0.002323480350078309
persona::gemini-3.1-pro-preview::14,ai,Gemini,0,0.9905312612195781,0.002369480974281786,0.0023654683499777546,0.002383116635484056,0.0023506728206782405
persona::gemini-3.1-pro-preview::15,ai,Gemini,0,0.9897389261756552,0.002553858009589394,0.0025743647912411715,0.002569781481817636,0.002563069541696423
persona::gemini-3.1-pro-preview::16,ai,Gemini,1,0.001862039292729547,0.9925933779374062,0.001850362688013907,0.0018647332046145965,0.0018294868772358126
persona::gemini-3.1-pro-preview::17,ai,Gemini,1,0.0025288355332383017,0.9898852479651489,0.0025393019502631354,0.002520174177535161,0.002526440373814453
persona::gemini-3.1-pro-preview::18,ai,Gemini,0,0.9923763698930681,0.0019078182766361267,0.0019029048870751772,0.0019257427585925642,0.0018871641846279362
persona::gemini-3.1-pro-preview::19,ai,Gemini,1,0.0019198935586828571,0.9923737141889878,0.0019035606846570616,0.0019137284954207064,0.001889103072251577
persona::gemini-3.1-pro-preview::20,ai,Gemini,0,0.9906998681677939,0.0023220894542582957,0.002332683137312069,0.0023201070805892276,0.002325252160046593
persona::gemini-3.1-pro-preview::21,ai,Gemini,0,0.9924061171748381,0.001893988067302772,0.0019166325632629109,0.0018964554550205998,0.0018868067395755473
persona::gemini-3.1-pro-preview::22,ai,Gemini,0,0.9905880111121337,0.002384770206661736,0.0023529618043011537,0.0023417111767875796,0.00233254570011582
persona::gemini-3.1-pro-preview::23,ai,Gemini,0,0.5451335129281182,0.002179933482284896,0.002159798254547232,0.4483500607634337,0.0021766945716159536
