condition,text_version,comparison,comparison_label,target_proposal_uid,target_cohort,target_proposal_id,target_proposal_title,target_human_n_reviews,ai_panel_id,ai_panel_size,ai_panel_review_uids,metric,human_metric_value,ai_metric_value
persona,original,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",mean_pairwise,0.03555054465929667,0.014410714308420816
persona,original,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",nn,0.028361111879348755,0.012380450963973999
persona,original,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",centroid_loo,0.023906335687131353,0.009641663593248084
persona,original,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",global_centroid_dist,0.01342154372248891,0.005418764627334205
persona,original,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",medoid_dist,0.023945793509483337,0.009778141975402832
persona,original,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",span90,0.01686247439910229,0.006116180688227735
persona,original,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",mst_dispersion,0.029549360275268555,0.01285254955291748
persona,original,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",sparseness,0.01342154372248891,0.005418764627334205
persona,original,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",remote_clique,0.03555054465929667,0.014410714308420816
persona,original,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::005""]",mean_pairwise,0.03555054465929667,0.014346847931543985
