condition,task,text_version,field,facet,metric,param,group,value,z,z_ci_lo,z_ci_hi,sign_aligned,stars,mode
persona,reviews,rephrased,whole,spread,mean_pairwise,,Claude,-0.9130434782608695,-0.9130434782608695,-1.0,-0.7391304347826086,1,***,delta
persona,reviews,rephrased,whole,spread,mean_pairwise,,Gemini,-0.7391304347826086,-0.7391304347826086,-1.0,-0.4782608695652174,1,***,delta
persona,reviews,rephrased,whole,spread,mean_pairwise,,GPT,-1.0,-1.0,-1.0,-1.0,1,***,delta
persona,reviews,rephrased,whole,spread,mean_pairwise,,All AI,-0.7391304347826086,-0.7391304347826086,-1.0,-0.4782608695652174,1,***,delta
persona,reviews,rephrased,whole,richness,vendi,q=1,Claude,-0.8260869565217391,-0.8260869565217391,-1.0,-0.5652173913043478,1,***,delta
persona,reviews,rephrased,whole,richness,vendi,q=1,Gemini,-0.7391304347826086,-0.7391304347826086,-1.0,-0.4782608695652174,1,***,delta
persona,reviews,rephrased,whole,richness,vendi,q=1,GPT,-1.0,-1.0,-1.0,-1.0,1,***,delta
persona,reviews,rephrased,whole,richness,vendi,q=1,All AI,-0.7391304347826086,-0.7391304347826086,-1.0,-0.4782608695652174,1,***,delta
persona,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,Claude,0.8260869565217391,-0.8260869565217391,-1.0,-0.5652173913043478,-1,***,delta
persona,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,Gemini,0.7391304347826086,-0.7391304347826086,-1.0,-0.4782608695652174,-1,***,delta
persona,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,GPT,1.0,-1.0,-1.0,-1.0,-1,***,delta
persona,reviews,rephrased,whole,evenness,ripley_excess,r=pooled_q01_q50,All AI,0.7391304347826086,-0.7391304347826086,-1.0,-0.4782608695652174,-1,***,delta
persona,reviews,rephrased,whole,dimensionality,participation_ratio,,Claude,0.18181818181818182,0.18181818181818182,-0.21739130434782608,0.5652173913043478,1,,delta
persona,reviews,rephrased,whole,dimensionality,participation_ratio,,Gemini,-0.09090909090909091,-0.09090909090909091,-0.4782608695652174,0.3333333333333333,1,,delta
persona,reviews,rephrased,whole,dimensionality,participation_ratio,,GPT,0.09090909090909091,0.09090909090909091,-0.30434782608695654,0.4782608695652174,1,,delta
persona,reviews,rephrased,whole,dimensionality,participation_ratio,,All AI,-0.0,-0.0,-0.4,0.42857142857142855,1,,delta
persona,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,Claude,1.0,1.0,1.0,1.0,1,**,delta
persona,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,Gemini,0.6,0.6,0.14285714285714285,1.0,1,,delta
persona,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,GPT,0.8333333333333334,0.8333333333333334,0.4538961038961074,1.0,1,**,delta
persona,reviews,rephrased,whole,coverage,coverage_geometric,k=panel_adaptive,All AI,0.3684210526315789,0.3684210526315789,-0.06727272727272396,0.7894736842105263,1,**,delta
