condition,text_version,comparison,comparison_label,target_proposal_uid,target_cohort,target_proposal_id,target_proposal_title,target_human_n_reviews,ai_panel_id,ai_panel_size,ai_panel_review_uids,metric,human_metric_value,ai_metric_value,field_branch
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",mean_pairwise,0.05199881394704183,0.07963557044665019,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",nn,0.044627413153648376,0.0652167797088623,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",centroid_loo,0.03511410169961779,0.054149611974793704,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",global_centroid_dist,0.019693438065043867,0.030323143064915598,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",medoid_dist,0.03475336730480194,0.051399290561676025,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",span90,0.023932586526373114,0.03709036554461161,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",mst_dispersion,0.04633782307306925,0.06853238741556804,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",sparseness,0.019693438065043867,0.030323143064915598,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0000,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004""]",remote_clique,0.05199881394704183,0.07963557044665019,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::005""]",mean_pairwise,0.05199881394704183,0.06583813826243083,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::005""]",nn,0.044627413153648376,0.05530831217765808,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::005""]",centroid_loo,0.03511410169961779,0.04460287514677169,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::005""]",global_centroid_dist,0.019693438065043867,0.02500189192616953,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::005""]",medoid_dist,0.03475336730480194,0.04286232590675354,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::005""]",span90,0.023932586526373114,0.03195307744986247,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::005""]",mst_dispersion,0.04633782307306925,0.05685245990753174,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::005""]",sparseness,0.019693438065043867,0.02500189192616953,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0001,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::005""]",remote_clique,0.05199881394704183,0.06583813826243083,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",mean_pairwise,0.05199881394704183,0.06140140692392985,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",nn,0.044627413153648376,0.0525534451007843,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",centroid_loo,0.03511410169961779,0.0415645230901443,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",global_centroid_dist,0.019693438065043867,0.023296892897998994,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",medoid_dist,0.03475336730480194,0.04010745882987976,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",span90,0.023932586526373114,0.027570038919581652,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",mst_dispersion,0.04633782307306925,0.053179303805033364,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",sparseness,0.019693438065043867,0.023296892897998994,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0002,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",remote_clique,0.05199881394704183,0.06140140692392985,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0003,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",mean_pairwise,0.05199881394704183,0.07443029681841533,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0003,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",nn,0.044627413153648376,0.0569894015789032,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0003,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",centroid_loo,0.03511410169961779,0.05051841806613483,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0003,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",global_centroid_dist,0.019693438065043867,0.0283122536782138,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0003,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",medoid_dist,0.03475336730480194,0.04359138011932373,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0003,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",span90,0.023932586526373114,0.035588134509413075,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0003,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",mst_dispersion,0.04633782307306925,0.058121840159098305,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0003,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",sparseness,0.019693438065043867,0.0283122536782138,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0003,4,"[""persona::y1::1::claude-sonnet-5::001"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",remote_clique,0.05199881394704183,0.07443029681841533,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0004,4,"[""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",mean_pairwise,0.05199881394704183,0.07012199362119038,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0004,4,"[""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",nn,0.044627413153648376,0.05488884449005127,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0004,4,"[""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",centroid_loo,0.03511410169961779,0.047547314195805684,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0004,4,"[""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",global_centroid_dist,0.019693438065043867,0.026650874964679883,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0004,4,"[""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",medoid_dist,0.03475336730480194,0.04221987724304199,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0004,4,"[""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",span90,0.023932586526373114,0.033676935953352395,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0004,4,"[""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",mst_dispersion,0.04633782307306925,0.05629316965738932,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0004,4,"[""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",sparseness,0.019693438065043867,0.026650874964679883,strengths
persona,rephrased,claude,Claude,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,claude_y1::1_0004,4,"[""persona::y1::1::claude-sonnet-5::002"", ""persona::y1::1::claude-sonnet-5::003"", ""persona::y1::1::claude-sonnet-5::004"", ""persona::y1::1::claude-sonnet-5::005""]",remote_clique,0.05199881394704183,0.07012199362119038,strengths
persona,rephrased,claude,Claude,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,claude_y1::10_0000,4,"[""persona::y1::10::claude-sonnet-5::001"", ""persona::y1::10::claude-sonnet-5::002"", ""persona::y1::10::claude-sonnet-5::003"", ""persona::y1::10::claude-sonnet-5::004""]",mean_pairwise,0.0839314063390096,0.06067161758740743,strengths
persona,rephrased,claude,Claude,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,claude_y1::10_0000,4,"[""persona::y1::10::claude-sonnet-5::001"", ""persona::y1::10::claude-sonnet-5::002"", ""persona::y1::10::claude-sonnet-5::003"", ""persona::y1::10::claude-sonnet-5::004""]",nn,0.06056398153305054,0.05203308165073395,strengths
persona,rephrased,claude,Claude,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,claude_y1::10_0000,4,"[""persona::y1::10::claude-sonnet-5::001"", ""persona::y1::10::claude-sonnet-5::002"", ""persona::y1::10::claude-sonnet-5::003"", ""persona::y1::10::claude-sonnet-5::004""]",centroid_loo,0.05712273177694835,0.041062746373054904,strengths
persona,rephrased,claude,Claude,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,claude_y1::10_0000,4,"[""persona::y1::10::claude-sonnet-5::001"", ""persona::y1::10::claude-sonnet-5::002"", ""persona::y1::10::claude-sonnet-5::003"", ""persona::y1::10::claude-sonnet-5::004""]",global_centroid_dist,0.03198589551874029,0.023016757308519292,strengths
persona,rephrased,claude,Claude,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,claude_y1::10_0000,4,"[""persona::y1::10::claude-sonnet-5::001"", ""persona::y1::10::claude-sonnet-5::002"", ""persona::y1::10::claude-sonnet-5::003"", ""persona::y1::10::claude-sonnet-5::004""]",medoid_dist,0.05220402777194977,0.03916230797767639,strengths
persona,rephrased,claude,Claude,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,claude_y1::10_0000,4,"[""persona::y1::10::claude-sonnet-5::001"", ""persona::y1::10::claude-sonnet-5::002"", ""persona::y1::10::claude-sonnet-5::003"", ""persona::y1::10::claude-sonnet-5::004""]",span90,0.03941743968109367,0.026774923308242004,strengths
persona,rephrased,claude,Claude,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,claude_y1::10_0000,4,"[""persona::y1::10::claude-sonnet-5::001"", ""persona::y1::10::claude-sonnet-5::002"", ""persona::y1::10::claude-sonnet-5::003"", ""persona::y1::10::claude-sonnet-5::004""]",mst_dispersion,0.06397157907485962,0.052216410636901855,strengths
persona,rephrased,claude,Claude,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,claude_y1::10_0000,4,"[""persona::y1::10::claude-sonnet-5::001"", ""persona::y1::10::claude-sonnet-5::002"", ""persona::y1::10::claude-sonnet-5::003"", ""persona::y1::10::claude-sonnet-5::004""]",sparseness,0.03198589551874029,0.023016757308519292,strengths
persona,rephrased,claude,Claude,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,claude_y1::10_0000,4,"[""persona::y1::10::claude-sonnet-5::001"", ""persona::y1::10::claude-sonnet-5::002"", ""persona::y1::10::claude-sonnet-5::003"", ""persona::y1::10::claude-sonnet-5::004""]",remote_clique,0.0839314063390096,0.06067161758740743,strengths
persona,rephrased,claude,Claude,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,claude_y1::10_0001,4,"[""persona::y1::10::claude-sonnet-5::001"", ""persona::y1::10::claude-sonnet-5::002"", ""persona::y1::10::claude-sonnet-5::003"", ""persona::y1::10::claude-sonnet-5::005""]",mean_pairwise,0.0839314063390096,0.06013060609499613,strengths
persona,rephrased,claude,Claude,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,claude_y1::10_0001,4,"[""persona::y1::10::claude-sonnet-5::001"", ""persona::y1::10::claude-sonnet-5::002"", ""persona::y1::10::claude-sonnet-5::003"", ""persona::y1::10::claude-sonnet-5::005""]",nn,0.06056398153305054,0.04820221662521362,strengths
persona,rephrased,claude,Claude,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,claude_y1::10_0001,4,"[""persona::y1::10::claude-sonnet-5::001"", ""persona::y1::10::claude-sonnet-5::002"", ""persona::y1::10::claude-sonnet-5::003"", ""persona::y1::10::claude-sonnet-5::005""]",centroid_loo,0.05712273177694835,0.040692513478938236,strengths
persona,rephrased,claude,Claude,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,claude_y1::10_0001,4,"[""persona::y1::10::claude-sonnet-5::001"", ""persona::y1::10::claude-sonnet-5::002"", ""persona::y1::10::claude-sonnet-5::003"", ""persona::y1::10::claude-sonnet-5::005""]",global_centroid_dist,0.03198589551874029,0.02280912950427172,strengths
persona,rephrased,claude,Claude,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,claude_y1::10_0001,4,"[""persona::y1::10::claude-sonnet-5::001"", ""persona::y1::10::claude-sonnet-5::002"", ""persona::y1::10::claude-sonnet-5::003"", ""persona::y1::10::claude-sonnet-5::005""]",medoid_dist,0.05220402777194977,0.04062114655971527,strengths
persona,rephrased,claude,Claude,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,claude_y1::10_0001,4,"[""persona::y1::10::claude-sonnet-5::001"", ""persona::y1::10::claude-sonnet-5::002"", ""persona::y1::10::claude-sonnet-5::003"", ""persona::y1::10::claude-sonnet-5::005""]",span90,0.03941743968109367,0.027054902803306816,strengths
