condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals,field_branch
persona,all_ai,All AI,centroid_loo,global_centroid_dist,0.9861660079051384,7.084225362889057e-18,23,strengths
persona,all_ai,All AI,centroid_loo,medoid_dist,0.974308300395257,4.473465094212444e-15,23,strengths
persona,all_ai,All AI,centroid_loo,mst_dispersion,0.9693675889328063,2.7752536222287567e-14,23,strengths
persona,all_ai,All AI,centroid_loo,remote_clique,0.9940711462450593,1.0034336129623743e-21,23,strengths
persona,all_ai,All AI,centroid_loo,span90,0.9486166007905139,5.7844212032404675e-12,23,strengths
persona,all_ai,All AI,centroid_loo,sparseness,0.9861660079051384,7.084225362889057e-18,23,strengths
persona,all_ai,All AI,global_centroid_dist,medoid_dist,0.9723320158102767,9.656461912075791e-15,23,strengths
persona,all_ai,All AI,global_centroid_dist,mst_dispersion,0.9515810276679842,3.140424967104547e-12,23,strengths
persona,all_ai,All AI,global_centroid_dist,remote_clique,0.9960474308300397,1.433047731869931e-23,23,strengths
persona,all_ai,All AI,global_centroid_dist,span90,0.9594861660079053,5.004227319259316e-13,23,strengths
persona,all_ai,All AI,global_centroid_dist,sparseness,1.0,0.0,23,strengths
persona,all_ai,All AI,mean_pairwise,centroid_loo,0.9940711462450593,1.0034336129623743e-21,23,strengths
persona,all_ai,All AI,mean_pairwise,global_centroid_dist,0.9960474308300397,1.433047731869931e-23,23,strengths
persona,all_ai,All AI,mean_pairwise,medoid_dist,0.974308300395257,4.473465094212444e-15,23,strengths
persona,all_ai,All AI,mean_pairwise,mst_dispersion,0.9624505928853755,2.2830334775646334e-13,23,strengths
persona,all_ai,All AI,mean_pairwise,nn,0.9347826086956521,6.648388758678471e-11,23,strengths
persona,all_ai,All AI,mean_pairwise,remote_clique,1.0,0.0,23,strengths
persona,all_ai,All AI,mean_pairwise,span90,0.9565217391304348,1.0367507751993613e-12,23,strengths
persona,all_ai,All AI,mean_pairwise,sparseness,0.9960474308300397,1.433047731869931e-23,23,strengths
persona,all_ai,All AI,medoid_dist,mst_dispersion,0.9762845849802372,1.947170275798853e-15,23,strengths
persona,all_ai,All AI,medoid_dist,remote_clique,0.974308300395257,4.473465094212444e-15,23,strengths
persona,all_ai,All AI,medoid_dist,span90,0.9011857707509882,4.48681122881196e-09,23,strengths
persona,all_ai,All AI,medoid_dist,sparseness,0.9723320158102767,9.656461912075791e-15,23,strengths
persona,all_ai,All AI,mst_dispersion,remote_clique,0.9624505928853755,2.2830334775646334e-13,23,strengths
persona,all_ai,All AI,mst_dispersion,sparseness,0.9515810276679842,3.140424967104547e-12,23,strengths
persona,all_ai,All AI,nn,centroid_loo,0.9436758893280633,1.4838379845626962e-11,23,strengths
persona,all_ai,All AI,nn,global_centroid_dist,0.9249011857707511,2.7981010516231444e-10,23,strengths
persona,all_ai,All AI,nn,medoid_dist,0.9673913043478262,5.304299500721495e-14,23,strengths
persona,all_ai,All AI,nn,mst_dispersion,0.9822134387351777,9.745721849256444e-17,23,strengths
persona,all_ai,All AI,nn,remote_clique,0.9347826086956521,6.648388758678471e-11,23,strengths
