condition,metric,effect_human_minus_ai,permutation_p_value,analysis_family
baseline,mean_pairwise_distance,-0.001430071002409869,0.9998000199980002,proposal_space_diversity
baseline,nearest_neighbor_distance,0.002878304007260697,0.265973402659734,proposal_space_diversity
baseline,grid_entropy,-0.1940950718004597,0.11428857114288571,proposal_space_diversity
baseline,mst_dispersion,0.002740269560705534,0.2628737126287371,proposal_space_diversity
one_at_a_time,mean_pairwise_distance,0.06663967005301841,9.999000099990002e-05,proposal_space_diversity
one_at_a_time,nearest_neighbor_distance,0.046806749310182486,9.999000099990002e-05,proposal_space_diversity
one_at_a_time,grid_entropy,0.1827312950918767,0.95000499950005,proposal_space_diversity
one_at_a_time,mst_dispersion,0.04856156043030999,9.999000099990002e-05,proposal_space_diversity
persona,mean_pairwise_distance,0.028662684183111298,9.999000099990002e-05,proposal_space_diversity
persona,nearest_neighbor_distance,0.023460395680821464,9.999000099990002e-05,proposal_space_diversity
persona,grid_entropy,0.2064916685130651,0.9556044395560443,proposal_space_diversity
persona,mst_dispersion,0.023885554308241068,9.999000099990002e-05,proposal_space_diversity
