condition,comparison_group,metric,effect_human_minus_group,permutation_p_value,analysis_family
baseline,Claude,mean_pairwise_distance,0.1604592611667196,0.07929207079292071,proposal_space_diversity
baseline,Claude,nearest_neighbor_distance,0.028899623000103493,0.07329267073292671,proposal_space_diversity
baseline,Claude,grid_entropy,-0.06910236340435283,0.529047095290471,proposal_space_diversity
baseline,Claude,mst_dispersion,0.03078365054997531,0.06629337066293371,proposal_space_diversity
baseline,Gemini,mean_pairwise_distance,0.1103861904426997,0.2548745125487451,proposal_space_diversity
baseline,Gemini,nearest_neighbor_distance,0.016651941382366683,0.31256874312568744,proposal_space_diversity
baseline,Gemini,grid_entropy,-0.563366083154381,0.0018998100189981002,proposal_space_diversity
baseline,Gemini,mst_dispersion,0.0167830152945085,0.3360663933606639,proposal_space_diversity
baseline,GPT,mean_pairwise_distance,0.09333795780249737,0.21257874212578742,proposal_space_diversity
baseline,GPT,nearest_neighbor_distance,0.03387902353120887,0.0287971202879712,proposal_space_diversity
baseline,GPT,grid_entropy,-0.12858347445872909,0.20757924207579243,proposal_space_diversity
baseline,GPT,mst_dispersion,0.03314550356431441,0.0380961903809619,proposal_space_diversity
one_at_a_time,Claude,mean_pairwise_distance,0.07719976934990863,0.3317668233176682,proposal_space_diversity
one_at_a_time,Claude,nearest_neighbor_distance,0.045146327951680054,0.0031996800319968005,proposal_space_diversity
one_at_a_time,Claude,grid_entropy,0.4232755431960693,0.05979402059794021,proposal_space_diversity
one_at_a_time,Claude,mst_dispersion,0.04409878904169255,0.006299370062993701,proposal_space_diversity
one_at_a_time,Gemini,mean_pairwise_distance,0.22831051434452823,0.019698030196980302,proposal_space_diversity
one_at_a_time,Gemini,nearest_neighbor_distance,0.045455953349237854,0.0045995400459954,proposal_space_diversity
one_at_a_time,Gemini,grid_entropy,0.35651004087911975,0.5393460653934606,proposal_space_diversity
one_at_a_time,Gemini,mst_dispersion,0.05014093084768815,0.004399560043995601,proposal_space_diversity
one_at_a_time,GPT,mean_pairwise_distance,0.14960821391094342,0.10268973102689731,proposal_space_diversity
one_at_a_time,GPT,nearest_neighbor_distance,0.051349512908769684,0.00019998000199980003,proposal_space_diversity
one_at_a_time,GPT,grid_entropy,0.43478260869565233,0.09399060093990601,proposal_space_diversity
one_at_a_time,GPT,mst_dispersion,0.050554730675437226,0.0005999400059994001,proposal_space_diversity
persona,Claude,mean_pairwise_distance,0.12804954325257556,0.11388861113888611,proposal_space_diversity
persona,Claude,nearest_neighbor_distance,0.015842212283093002,0.34836516348365165,proposal_space_diversity
persona,Claude,grid_entropy,0.03634767733092037,0.3788621137886211,proposal_space_diversity
persona,Claude,mst_dispersion,0.018219779838215225,0.3083691630836916,proposal_space_diversity
persona,Gemini,mean_pairwise_distance,0.20639948647012824,0.023797620237976203,proposal_space_diversity
persona,Gemini,nearest_neighbor_distance,0.029002200002255646,0.06939306069393061,proposal_space_diversity
persona,Gemini,grid_entropy,0.1713975473491336,0.0504949505049495,proposal_space_diversity
persona,Gemini,mst_dispersion,0.03338808092204007,0.0448955104489551,proposal_space_diversity
persona,GPT,mean_pairwise_distance,0.05876384280887048,0.3848615138486151,proposal_space_diversity
persona,GPT,nearest_neighbor_distance,0.013821378998134445,0.40615938406159385,proposal_space_diversity
persona,GPT,grid_entropy,0.06445994835056701,0.2743725627437256,proposal_space_diversity
persona,GPT,mst_dispersion,0.0158391080119393,0.3524647535246475,proposal_space_diversity
