metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,mean_group1,mean_group2,q_value
overall_score,12,11,38.0,0.09038984760765051,-0.42424242424242425,medium,human-y1,human-y2,3.505555555555555,3.809090909090909,0.11298730950956314
overall_score,12,23,149.5,0.7020377001469085,0.08333333333333333,negligible,human-y1,claude-opus-4-5,3.505555555555555,3.502898550724637,0.7020377001469085
overall_score,12,23,12.0,1.1151881122928364e-05,-0.9130434782608695,large,human-y1,gemini-3-pro-preview,3.505555555555555,4.115942028985507,2.2303762245856728e-05
overall_score,12,23,0.0,1.4593515703660316e-06,-1.0,large,human-y1,gpt-5.2,3.505555555555555,4.389855072463767,4.8645052345534385e-06
overall_score,11,23,164.0,0.17251986240451467,0.2964426877470356,small,human-y2,claude-opus-4-5,3.809090909090909,3.502898550724637,0.1916887360050163
overall_score,11,23,46.0,0.0029840208203690383,-0.6363636363636364,large,human-y2,gemini-3-pro-preview,3.809090909090909,4.115942028985507,0.004973368033948398
overall_score,11,23,0.0,2.883433683728707e-06,-1.0,large,human-y2,gpt-5.2,3.809090909090909,4.389855072463767,7.208584209321768e-06
overall_score,23,23,173.0,0.044682362372723584,-0.34593572778827975,medium,claude-opus-4-5,gemini-3-pro-preview,3.502898550724637,4.115942028985507,0.06383194624674797
overall_score,23,23,6.0,1.2134980467859758e-08,-0.9773156899810964,large,claude-opus-4-5,gpt-5.2,3.502898550724637,4.389855072463767,6.067490233929879e-08
overall_score,23,23,0.0,5.260924021534626e-09,-1.0,large,gemini-3-pro-preview,gpt-5.2,4.115942028985507,4.389855072463767,5.2609240215346264e-08
Relevance_to_Emergent_Phenomena,12,11,54.0,0.47457472683387636,-0.18181818181818182,small,human-y1,human-y2,3.555555555555555,3.969696969696969,0.5273052520376403
Relevance_to_Emergent_Phenomena,12,23,24.5,1.8316440141102104e-06,-0.822463768115942,large,human-y1,claude-opus-4-5,3.555555555555555,4.9855072463768115,3.0527400235170175e-06
