cohort,proposal_key,proposal_uid,proposal_title,source_family,metric_name,metric_value
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human,mean_pairwise,0.06393414735794067
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human,nn,0.044736236333847046
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human,centroid_loo,0.04323935508728027
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human,medoid_dist,0.03594517707824707
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human,remote_clique,0.06393414735794067
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human,span90,0.03382662683725357
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human,mst_dispersion,0.047926902770996094
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human,sparseness,0.02426980435848236
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human,global_centroid_dist,0.0279352068901062
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,ai_all,mean_pairwise,0.03156580403447151
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,ai_all,nn,0.02840677835047245
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,ai_all,centroid_loo,0.023828705151875813
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,ai_all,medoid_dist,0.019619425758719444
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,ai_all,remote_clique,0.03156580403447151
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,ai_all,span90,0.011917734518647194
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,ai_all,mst_dispersion,0.029429137706756592
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,ai_all,sparseness,0.010577996261417866
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,ai_all,global_centroid_dist,0.014192323200404644
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,claude,mean_pairwise,
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,claude,nn,
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,claude,centroid_loo,
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,claude,medoid_dist,
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,claude,remote_clique,
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,claude,span90,
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,claude,mst_dispersion,
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,claude,sparseness,
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,claude,global_centroid_dist,
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,gemini,mean_pairwise,
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,gemini,nn,
Y1,Y1_01,human-y1::1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,gemini,centroid_loo,
