proposal_key,cosine_similarity,group
Y1_01,0.9360659917195638,human-y1
Y1_02,0.9615847667058309,human-y1
Y1_03,0.9532168308893839,human-y1
Y1_04,0.9523970782756805,human-y1
Y1_05,0.9638902942339579,human-y1
Y1_06,0.9659654299418131,human-y1
Y1_07,0.9717632333437601,human-y1
Y1_08,0.9494276742140452,human-y1
Y1_09,0.9619367818037668,human-y1
Y1_10,0.9583379030227661,human-y1
Y1_11,0.9602881610393524,human-y1
Y1_12,0.964473028977712,human-y1
Y1_01,0.9684343139330546,ai-y1
Y1_02,0.9620805780092875,ai-y1
Y1_03,0.941037118434906,ai-y1
Y1_04,0.9695857167243958,ai-y1
Y1_05,0.9709219137827555,ai-y1
Y1_06,0.9663241902987162,ai-y1
Y1_07,0.9612306157747904,ai-y1
Y1_08,0.969386875629425,ai-y1
Y1_09,0.9644337693850199,ai-y1
Y1_10,0.9684416651725769,ai-y1
Y1_11,0.9738050500551859,ai-y1
Y1_12,0.9703403313954672,ai-y1
Y2_01,0.9529088735580444,human-y2
Y2_02,0.9420066277186075,human-y2
Y2_03,0.9624924759070078,human-y2
Y2_04,0.9552141030629476,human-y2
Y2_05,0.9598600765069326,human-y2
Y2_06,0.9293537735939026,human-y2
Y2_07,0.9617807368437449,human-y2
Y2_08,0.9585691193739573,human-y2
Y2_09,0.9504603942235311,human-y2
Y2_10,0.94357297817866,human-y2
Y2_11,0.9603426257769266,human-y2
Y2_01,0.9643656412760416,ai-y2
Y2_02,0.9711530208587646,ai-y2
Y2_03,0.9719382325808207,ai-y2
Y2_04,0.9742200175921122,ai-y2
Y2_05,0.9732258319854736,ai-y2
Y2_06,0.9759254455566406,ai-y2
Y2_07,0.9692911903063456,ai-y2
Y2_08,0.9697410464286804,ai-y2
Y2_09,0.9661487340927124,ai-y2
Y2_10,0.9759494463602701,ai-y2
Y2_11,0.9708779255549113,ai-y2
