metric,comparison,n_human_all,n_other,mean_diff,bootstrap_ci_lo,bootstrap_ci_hi,permutation_p_value,permutation_q_value
overall_score,human-all minus claude-opus-4-5,23,23,-0.42318840579710093,-0.6188405797101448,-0.23184782608695598,0.0001999600079984003,0.00029994001199760045
overall_score,human-all minus gemini-3-pro-preview,23,23,-0.24637681159420177,-0.4304347826086939,-0.06514492753623125,0.017196560687862426,0.017196560687862426
overall_score,human-all minus gpt-5.2,23,23,-0.7318840579710133,-0.9116304347826087,-0.5506884057970997,0.0001999600079984003,0.00029994001199760045
Relevance_to_Emergent_Phenomena,human-all minus claude-opus-4-5,23,23,-1.246376811594203,-1.652173913043479,-0.8695652173913047,0.0001999600079984003,0.0001999600079984003
Relevance_to_Emergent_Phenomena,human-all minus gemini-3-pro-preview,23,23,-1.246376811594203,-1.652173913043479,-0.8695652173913047,0.0001999600079984003,0.0001999600079984003
Relevance_to_Emergent_Phenomena,human-all minus gpt-5.2,23,23,-1.246376811594203,-1.652173913043479,-0.8695652173913047,0.0001999600079984003,0.0001999600079984003
Novelty_and_Significance,human-all minus claude-opus-4-5,23,23,-0.23188405797101286,-0.3478260869565206,-0.11594202898550598,0.0005998800239952009,0.0005998800239952009
Novelty_and_Significance,human-all minus gemini-3-pro-preview,23,23,-0.23188405797101286,-0.3478260869565206,-0.11594202898550598,0.0005998800239952009,0.0005998800239952009
Novelty_and_Significance,human-all minus gpt-5.2,23,23,-0.2608695652173907,-0.39130434782608603,-0.1449275362318838,0.0001999600079984003,0.0005998800239952009
Rigor_of_Approach,human-all minus claude-opus-4-5,23,23,-0.14492753623188515,-0.33333333333333304,0.028985507246376496,0.10597880423915217,0.10597880423915217
Rigor_of_Approach,human-all minus gemini-3-pro-preview,23,23,0.21739130434782616,0.028985507246377818,0.37681159420289934,0.028794241151769647,0.04319136172765447
Rigor_of_Approach,human-all minus gpt-5.2,23,23,-0.6811594202898541,-0.8550724637681144,-0.5217391304347809,0.0001999600079984003,0.0005998800239952009
Scope_and_Timeline,human-all minus claude-opus-4-5,23,23,-0.10144927536231796,-0.27536231884058004,0.07246376811594235,0.3535292941411718,0.3535292941411718
Scope_and_Timeline,human-all minus gemini-3-pro-preview,23,23,0.33333333333333437,0.15942028985507317,0.5072463768115947,0.0009998000399920016,0.0017996400719856027
Scope_and_Timeline,human-all minus gpt-5.2,23,23,-0.3043478260869552,-0.47826086956521685,-0.13043478260869668,0.0011997600479904018,0.0017996400719856027
Synthesis_Focus,human-all minus claude-opus-4-5,23,23,-0.5652173913043477,-0.9130434782608692,-0.27536231884058004,0.0003999200159968006,0.0003999200159968006
Synthesis_Focus,human-all minus gemini-3-pro-preview,23,23,-0.5797101449275361,-0.9275362318840576,-0.2898550724637676,0.0001999600079984003,0.00029994001199760045
Synthesis_Focus,human-all minus gpt-5.2,23,23,-0.5797101449275361,-0.9275362318840576,-0.2898550724637676,0.0001999600079984003,0.00029994001199760045
Data_Identification,human-all minus claude-opus-4-5,23,23,0.08695652173913038,-0.20289855072463725,0.376811594202898,0.5864827034593081,0.5864827034593081
Data_Identification,human-all minus gemini-3-pro-preview,23,23,0.5217391304347827,0.27536231884058004,0.7681159420289849,0.0005998800239952009,0.0008998200359928014
Data_Identification,human-all minus gpt-5.2,23,23,-0.6811594202898545,-0.9420289855072443,-0.43478260869565055,0.0001999600079984003,0.0005998800239952009
Open_Science_Commitment,human-all minus claude-opus-4-5,23,23,-0.7971014492753601,-1.202898550724636,-0.3913043478260865,0.0003999200159968006,0.0003999200159968006
Open_Science_Commitment,human-all minus gemini-3-pro-preview,23,23,-0.826086956521737,-1.2318840579710133,-0.43478260869565055,0.0001999600079984003,0.00029994001199760045
Open_Science_Commitment,human-all minus gpt-5.2,23,23,-1.2463768115942035,-1.6521739130434807,-0.855072463768118,0.0001999600079984003,0.00029994001199760045
