comparison,metric,n_items_complete,icc2_1,icc2_k,krippendorff_alpha,mean_pairwise_spearman,spearman_p_value
human-human-y2,overall_score,6,0.19678714859437751,0.494949494949495,0.16202090592334484,0.2276960812897734,
ai-ai-y2,overall_score,11,0.49302749902254644,0.7447339064243059,0.3945525291828794,0.8908836818258324,
human-vs-ai-y2,overall_score,11,0.6400341199886268,0.7805131761442442,0.6344159951596491,0.6896715738353065,0.01886410886093202
human-human-y2,Relevance_to_Emergent_Phenomena,6,-0.2538699690402476,-4.259740259740257,-0.09790444258172681,-0.17580980650751754,
ai-ai-y2,Relevance_to_Emergent_Phenomena,11,0.38967136150234705,0.6569920844327174,0.29966329966329963,0.6525503239744977,
human-vs-ai-y2,Relevance_to_Emergent_Phenomena,11,-0.029835565350059694,-0.06150620304036421,-0.17035915783679645,-0.12850628900760577,0.7065037101787385
human-human-y2,Novelty_and_Significance,6,-0.2538699690402476,-4.259740259740257,-0.09790444258172681,-0.17580980650751754,
ai-ai-y2,Novelty_and_Significance,11,-2.398874749636498e-16,-7.196624248909497e-16,-0.23076923076923084,,
human-vs-ai-y2,Novelty_and_Significance,11,0.01763010679776213,0.034649341995668444,-0.40973066898349275,0.06059341616691566,0.8595284634873618
human-human-y2,Rigor_of_Approach,6,-0.2538699690402476,-4.259740259740257,-0.09790444258172681,-0.17580980650751754,
ai-ai-y2,Rigor_of_Approach,11,0.1517857142857142,0.3493150684931505,-0.05190311418685112,0.45325443038630925,
human-vs-ai-y2,Rigor_of_Approach,11,0.4372118253322481,0.608416682392904,0.3866563445703426,0.5323423901332689,0.09183959461489882
human-human-y2,Scope_and_Timeline,6,0.14913957934990443,0.41215323645970936,0.11601681957186549,0.15923157124117351,
ai-ai-y2,Scope_and_Timeline,11,0.18367346938775497,0.40298507462686545,0.006211180124223614,0.4549270130421217,
human-vs-ai-y2,Scope_and_Timeline,11,0.10604916519842267,0.19176211787908667,-0.23236857323823434,0.2697827232019465,0.4223879303626604
human-human-y2,Synthesis_Focus,6,0.05759162303664922,0.19642857142857145,0.08575581395348808,0.0930403688688119,
ai-ai-y2,Synthesis_Focus,11,0.803921568627451,0.9248120300751881,0.7901639344262295,0.8788998836566365,
human-vs-ai-y2,Synthesis_Focus,11,0.19768151311775461,0.3301069791136015,0.1366940211019928,0.22511258444537408,0.5057204657384722
human-human-y2,Data_Identification,6,0.05759162303664922,0.19642857142857145,0.08575581395348808,0.0930403688688119,
ai-ai-y2,Data_Identification,11,0.3693693693693693,0.6373056994818652,0.31288343558282206,0.46636641610546486,
human-vs-ai-y2,Data_Identification,11,0.6632124352331609,0.797507788161994,0.6453777873998703,0.7235680511449363,0.011836302800614871
human-human-y2,Open_Science_Commitment,5,0.5857988165680473,0.8497854077253219,0.3708883708883709,0.4790585778557969,
ai-ai-y2,Open_Science_Commitment,11,0.7441860465116279,0.8971962616822431,0.7142857142857143,0.938422354149385,
human-vs-ai-y2,Open_Science_Commitment,11,0.7484565874162615,0.8561340244910224,0.7276882448537378,0.8606140726545874,0.0006720396523366775
