metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,mean_group1,mean_group2,q_value
overall_score,12,11,47.0,0.2541664622498213,-0.2878787878787879,small,human-y1,human-y2,3.3138888888888887,3.481818181818181,0.2824071802775792
overall_score,12,23,8.5,7.070324576018328e-06,-0.9384057971014492,large,human-y1,claude-opus-4-5,3.3138888888888887,3.960869565217392,2.3567748586727762e-05
overall_score,12,23,12.0,1.2337296279749248e-05,-0.9130434782608695,large,human-y1,gemini-3-pro-preview,3.3138888888888887,3.936231884057971,3.084324069937312e-05
overall_score,12,23,0.0,1.6970932490214032e-06,-1.0,large,human-y1,gpt-5.2,3.3138888888888887,4.128985507246377,1.6876006216275052e-05
overall_score,11,23,25.0,0.00019450383395426223,-0.8023715415019763,large,human-y2,claude-opus-4-5,3.481818181818181,3.960869565217392,0.00032417305659043706
overall_score,11,23,14.5,3.8560680122859077e-05,-0.8853754940711462,large,human-y2,gemini-3-pro-preview,3.481818181818181,3.936231884057971,7.712136024571815e-05
overall_score,11,23,0.0,3.3752012432550105e-06,-1.0,large,human-y2,gpt-5.2,3.481818181818181,4.128985507246377,1.6876006216275052e-05
overall_score,23,23,255.5,0.8512938505173435,-0.034026465028355386,negligible,claude-opus-4-5,gemini-3-pro-preview,3.960869565217392,3.936231884057971,0.8512938505173435
overall_score,23,23,120.5,0.0015608314279593831,-0.5444234404536862,large,claude-opus-4-5,gpt-5.2,3.960869565217392,4.128985507246377,0.001951039284949229
overall_score,23,23,106.5,0.0005121567972434807,-0.5973534971644613,large,gemini-3-pro-preview,gpt-5.2,3.936231884057971,4.128985507246377,0.0007316525674906867
Relevance_to_Emergent_Phenomena,12,11,62.0,0.827075870899772,-0.06060606060606061,negligible,human-y1,human-y2,3.0833333333333335,3.333333333333333,0.827075870899772
Relevance_to_Emergent_Phenomena,12,23,8.5,3.5780076523890474e-06,-0.9384057971014492,large,human-y1,claude-opus-4-5,3.0833333333333335,4.739130434782608,5.9633460873150795e-06
