feature,mean_abs_coef,mean_coef,criteria_count
is_nn_outlier,0.7881338461042497,0.5306076385583685,7
centroid_dist,0.6330237491417486,-0.28433237639973263,7
type_token_ratio,0.5961220184282537,0.5817560274012216,7
avg_word_len,0.46811424068162066,0.3518860995130944,7
nn_dist,0.4617884084315807,-0.32321932462153935,7
flesch_reading_ease,0.39135839534855127,0.3793336194726882,7
n_words,0.38290321578209846,0.36294354618354946,7
dash_per_1k_chars,0.3541630995455998,-0.3390701634307412,7
stopword_rate,0.34784692919057025,-0.08828994064627771,7
avg_sent_len_words,0.3472040273941051,0.33054704456727657,7
n_chars,0.32451176656507574,0.2984418206097355,7
newline_per_1k_chars,0.3020966997074392,-0.23002248386579716,7
comma_per_1k_chars,0.3004378995325627,0.12458827429417159,7
n_sents,0.2898723823235293,0.07914683056008208,7
is_literature_outlier,0.28264515853925415,0.07390136839492488,7
fk_grade_level,0.26826890218482646,-0.2567417671011652,7
paren_per_1k_chars,0.2659285957691751,0.046420936679665195,7
hedge_rate,0.2502186583750088,0.18715825113628246,7
novelty_z,0.20615171046173578,-0.15092968658144104,7
raw_novelty,0.20615165448404976,-0.15092973309163543,7
colon_per_1k_chars,0.0,0.0,7
quote_per_1k_chars,0.0,0.0,7
semicolon_per_1k_chars,0.0,0.0,7
bullet_per_1k_chars,0.0,0.0,7
