metric,data_identification,novelty_and_significance,open_science_commitment,relevance_to_emergent_phenomena,rigor_of_approach,scope_and_timeline,synthesis_focus
nn_dist,-0.31915760844659846,-0.49822086499031937,-0.4980145468205532,-0.5849300784604421,-0.4193339405259247,-0.2850824276932784,-0.36474730401284505
centroid_dist,-0.40512680772785137,-0.49181978732899795,-0.5457483897607587,-0.6586507842295898,-0.46729250379293374,-0.34257916053042337,-0.5078040738163162
n_words,0.3083299490147336,0.550878285132482,0.34531904425758203,0.38728606876786953,0.33771278955507456,0.1905153950297987,0.39028772789904115
n_chars,0.33808329221862926,0.5228409307298103,0.39735160381703416,0.39140684448955926,0.38851019222303607,0.19624447305125733,0.38323607283931144
n_sents,0.06748280675179794,-0.19200595780397367,-0.057985668628120914,-0.1769950489784449,0.12313846173635982,0.047534555990105545,0.06811959542896007
avg_word_len,0.08907360400102306,-0.04770333323016976,0.16689248050839497,0.10991478456250477,0.13650927378087502,-0.011092145291402216,-0.007703643986326577
avg_sent_len_words,0.29281827695154566,0.5805619118848498,0.35155831864249293,0.41470272320846163,0.31140845790898486,0.18027087995555152,0.3726316734202897
type_token_ratio,0.3452067897607986,-0.08737293842703188,0.22985941469965523,0.3056542590958655,0.25066813467648763,0.18704492487662872,0.22008274103333145
stopword_rate,-0.04323634966819262,0.14554982519655155,-0.07839591382520694,-0.008439895255267919,-0.08398276850306816,0.10902979322951532,-0.03969700679645457
hedge_rate,0.06943422952508847,0.0012675989076438177,-0.05283916012744699,-0.06528243439044412,-0.009762858289050894,-0.09474993860274178,0.08823153618387898
flesch_reading_ease,-0.12933078501331763,0.005247761223831743,-0.1553040060039182,-0.12202579744812499,-0.15490166056590068,0.04443408596063683,-0.024925230357732354
fk_grade_level,0.1942436929129517,0.15677193445555992,0.2392743270515526,0.2135667414915754,0.2216964454634203,0.00044761609935776655,0.10536229235059728
comma_per_1k_chars,0.20821773202107915,-0.0510049405742132,0.057196867560182545,-0.007652079825384897,0.11858546762785632,0.06170452631013179,0.08084599492769919
semicolon_per_1k_chars,,,,,,,
colon_per_1k_chars,,,,,,,
dash_per_1k_chars,-0.08632698157574949,0.03667514328986169,-0.0774633339163218,-0.11723149491494438,0.10349214218056987,-0.13891383532263957,0.02803138520795281
paren_per_1k_chars,0.1495439828357255,-0.08106153471441709,-0.0047755207751711175,0.09987253996303538,0.03613991903573906,0.19595380264434797,0.01628175051987978
quote_per_1k_chars,,,,,,,
newline_per_1k_chars,-0.33808329221862926,-0.5228409307298103,-0.39735160381703416,-0.39140684448955926,-0.38851019222303607,-0.19624447305125733,-0.38323607283931144
bullet_per_1k_chars,,,,,,,
