proposal_idx,group,nn_idx,nn_source,nn_dist
0,Human,39,other_human,0.06902486085891724
1,Human,48,other_human,0.028855323791503906
2,Human,41,other_human,0.20865243673324585
3,Human,0,other_human,0.06910723447799683
4,Human,82,other_human,0.03059828281402588
5,Human,24,other_human,0.07804882526397705
6,Human,15,other_human,0.03243720531463623
7,Human,86,other_human,0.029492974281311035
8,Human,25,other_human,0.02009713649749756
9,Human,41,other_human,0.08246678113937378
10,Human,3,other_human,0.21348345279693604
11,Human,41,other_human,0.12959784269332886
12,Human,24,other_human,0.12613236904144287
13,Human,15,other_human,0.036895930767059326
14,Human,83,other_human,0.03212791681289673
15,Human,74,other_human,0.0188748836517334
16,Human,0,other_human,0.12248802185058594
17,Human,15,other_human,0.03534430265426636
18,Human,83,other_human,0.03208315372467041
19,Human,41,other_human,0.10198831558227539
20,Human,25,other_human,0.027492523193359375
21,Human,69,other_human,0.031520843505859375
22,Human,3,other_human,0.14334022998809814
23,AI,46,gemini,0.018677353858947754
24,AI,5,human,0.07804882526397705
25,AI,8,human,0.02009713649749756
26,AI,48,gemini,0.021218538284301758
27,AI,19,human,0.11285483837127686
28,AI,83,claude,0.028481781482696533
29,AI,30,gpt,0.029683947563171387
30,AI,36,gpt,0.026282191276550293
31,AI,3,human,0.08689922094345093
32,AI,25,gpt,0.020306646823883057
33,AI,30,gpt,0.027951061725616455
34,AI,79,claude,0.023689687252044678
35,AI,24,gpt,0.09972858428955078
36,AI,40,gpt,0.02196025848388672
37,AI,29,gpt,0.030530333518981934
38,AI,79,claude,0.02611672878265381
39,AI,0,human,0.06902486085891724
40,AI,36,gpt,0.02196025848388672
41,AI,3,human,0.07037484645843506
42,AI,36,gpt,0.0264129638671875
43,AI,38,gpt,0.027616024017333984
44,AI,25,gpt,0.02457219362258911
45,AI,15,human,0.026555955410003662
46,AI,54,gemini,0.016359686851501465
47,AI,66,gemini,0.021634697914123535
48,AI,26,gpt,0.021218538284301758
49,AI,56,gemini,0.020740389823913574
50,AI,66,gemini,0.02257251739501953
51,AI,72,claude,0.02518177032470703
52,AI,87,claude,0.02831476926803589
53,AI,75,claude,0.0233917236328125
54,AI,46,gemini,0.016359686851501465
55,AI,72,claude,0.026795268058776855
56,AI,49,gemini,0.020740389823913574
57,AI,67,gemini,0.025708019733428955
58,AI,69,claude,0.029337525367736816
59,AI,64,gemini,0.02644956111907959
60,AI,90,claude,0.0208970308303833
61,AI,60,gemini,0.026652216911315918
62,AI,3,human,0.18539369106292725
63,AI,60,gemini,0.022484660148620605
64,AI,56,gemini,0.023359298706054688
65,AI,41,gpt,0.07675570249557495
66,AI,47,gemini,0.021634697914123535
67,AI,73,claude,0.022930562496185303
68,AI,48,gemini,0.02529299259185791
69,AI,72,claude,0.020335853099822998
70,AI,83,claude,0.023880362510681152
71,AI,80,claude,0.021913528442382812
72,AI,69,claude,0.020335853099822998
73,AI,72,claude,0.02225673198699951
74,AI,15,human,0.0188748836517334
75,AI,72,claude,0.02192234992980957
76,AI,82,claude,0.025643229484558105
77,AI,83,claude,0.020941615104675293
78,AI,80,claude,0.026061654090881348
79,AI,86,claude,0.023336172103881836
80,AI,71,claude,0.021913528442382812
81,AI,89,claude,0.027849912643432617
82,AI,85,claude,0.02384662628173828
83,AI,77,claude,0.020941615104675293
84,AI,80,claude,0.024114251136779785
85,AI,82,claude,0.02384662628173828
86,AI,79,claude,0.023336172103881836
87,AI,73,claude,0.024665236473083496
88,AI,54,gemini,0.03095942735671997
89,AI,26,gpt,0.02332085371017456
90,AI,60,gemini,0.0208970308303833
91,AI,75,claude,0.026403963565826416
