feature,human_mean,ai_mean,mw_p,cliffs_delta,cliffs_delta_ci_lo,cliffs_delta_ci_hi,p_holm,mw_sig
n_words,240.2173913043478,238.43478260869566,0.15883026526525545,-0.19722747321991177,-0.47515752993068683,0.08260869565217357,1.0,p=0.159
n_chars,1802.608695652174,1807.4347826086957,0.793701335322883,0.037177063642092,-0.22878071833648392,0.30816005040957767,1.0,p=0.794
n_sents,13.08695652173913,13.0,0.08783160237494507,-0.043478260869565216,-0.13043478260869565,0.0,1.0,p=0.088
avg_word_len,6.426669154349544,6.505977299006725,0.10848784783689756,0.22495274102079396,-0.0573408947700063,0.508538122243226,1.0,p=0.108
avg_sent_len_words,18.37792642140468,18.341137123745824,0.16424479442146023,-0.1947069943289225,-0.4738657844990548,0.08390044108380541,1.0,p=0.164
type_token_ratio,0.6370177540231026,0.6706157514093763,0.0005260690074249147,0.48519218651543794,0.19399810964083178,0.7422967863894139,0.009469242133648465,***
stopword_rate,0.29284162298937827,0.29638646023791954,0.21005400218121018,0.17580340264650285,-0.10730938878386893,0.4555923125393824,1.0,p=0.210
hedge_rate,0.00036308948980999127,6.22006593269884e-05,0.10078538766793556,-0.07120352867044738,-0.20018903591682416,0.028985507246376812,1.0,p=0.101
flesch_reading_ease,1.3090420492673591,-0.8362014942699658,0.13210527189593463,-0.21109010712035287,-0.47391304347826085,0.052993068683049434,1.0,p=0.132
fk_grade_level,17.642330773254233,17.93240965203489,0.18500202275561628,0.18588531821045998,-0.0894927536231884,0.4555765595463138,1.0,p=0.185
comma_per_1k_chars,0.4153262715050862,0.5051110768187265,0.599745461404736,-0.03843730308758664,-0.19601449275362318,0.09643982356647747,1.0,p=0.600
semicolon_per_1k_chars,0.0,0.0,1.0,0.0,0.0,0.0,1.0,p=1.000
colon_per_1k_chars,0.0,0.0,1.0,0.0,0.0,0.0,1.0,p=1.000
dash_per_1k_chars,0.5558602260984348,0.19162087360900007,0.31959172947192205,-0.09010712035286704,-0.2986925015752993,0.09517958412098282,1.0,p=0.320
paren_per_1k_chars,0.34081778681448444,0.2410652175119918,0.2926682641039001,-0.1001890359168242,-0.3012129804662886,0.1002205419029614,1.0,p=0.293
quote_per_1k_chars,0.0,0.0,1.0,0.0,0.0,0.0,1.0,p=1.000
newline_per_1k_chars,4.44586415933518,4.431755747725541,0.793701335322883,-0.037177063642092,-0.30816005040957783,0.22878071833648367,1.0,p=0.794
bullet_per_1k_chars,0.0,0.0,1.0,0.0,0.0,0.0,1.0,p=1.000
