metric,H,p_kw,n_models,p_holm,rejected_holm,p_holm_final,sig_holm_final
per_proposal_mean_pairwise_dist,3.9019173642992087,0.1421377413328638,3,0.3366090583881782,False,0.336609058388178,False
per_proposal_nn_dist_global,7.219976373705391,0.0270521664356898,3,0.1623129986141391,False,0.16231299861413878,False
per_proposal_global_centroid_dist,3.9019173642992087,0.1421377413328638,3,0.3366090583881782,False,0.336609058388178,False
novelty_element_novel_0,10.52487172562786,0.0051826650696092,3,0.0362786554872644,True,0.0362786554872644,True
novelty_element_novel_1,35.82371050499597,1.6633364443668173e-08,3,2.3286710221135446e-07,True,2.3286710221135443e-07,True
novelty_element_novel_5,32.59044018363488,8.37675536973315e-08,3,1.0889781980653096e-06,True,1.0889781980653096e-06,True
novelty_element_novel_10,30.80680529300568,2.04355922237356e-07,3,2.452271066848272e-06,True,2.4522710668482722e-06,True
novelty_mean_knn_5,18.012854442344036,0.0001226191655072,3,0.0010947862255247,True,0.0010947862255239,True
novelty_mean_knn_10,18.02884147988118,0.0001216429139471,3,0.0010947862255247,True,0.0010947862255239,True
novelty_mean_knn_20,18.869673237915208,7.989185750505508e-05,3,0.0007989185750505,True,0.0007989185750505508,True
novelty_mean_knn_50,23.32098298676752,8.628054667643696e-06,3,9.490860134408064e-05,True,9.490860134408064e-05,True
unique_mesh_count,4.374890749646302,0.112203019462726,3,0.3366090583881782,False,0.336609058388178,False
bertopic_region_entropy,7.200925756999243,0.0273110778103331,3,0.1623129986141391,False,0.16231299861413878,False
bertopic_max_region_weight,7.215912657653715,0.0271071884767367,3,0.1623129986141391,False,0.16231299861413878,False
