title,group_binary,ward_cluster,ward_cluster_name,ward_cluster_display_label,proposal_bertopic_topic,proposal_bertopic_display_label
CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Elucidating genome structure-function relationships in human brain cells,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing gene expression data to create an atlas of bacterial cell states,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Energetic Origins of Connectivity within Protein Interaction Networks,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Elucidating emergent structures in cellular RNA-protein interaction networks,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Multimodel single-cell frameworks for cell lines with extensive multi-omics data,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Transposable elements and the emergence of genomic innovation,Human,0,Cluster_A,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles",1,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
Searching the crosslinking mass spectrometry universe for new protein-protein interactions,Human,0,Cluster_A,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles",1,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,Human,0,Cluster_A,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles",1,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Deciphering systemic biological networks through AI-driven multi-omic integration,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,Human,0,Cluster_A,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles",1,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Revealing the Ontology of Allostery through Community-Scale Synthesis,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
A Unified Framework for Analyses of Proteome Turnover Dynamics,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,Human,0,Cluster_A,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles",1,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,Human,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Human,0,Cluster_A,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles",1,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
A Cross-Modal Synthesis of Biomolecular Condensate Material Properties and Cellular Function Across Species and Perturbations,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Principles of Organelle Contact Sites: A Synthesis of Proteomics, Imaging, and Genetic Interaction Data",AI,0,Cluster_A,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles",1,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
"A Pan-Cell Atlas of Cytoskeletal Self-Organization: Integrating Live-Cell Imaging, Proteomics, and Biophysical Models",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Chromatin Domains at the Mesoscale: Synthesizing Hi-C, Imaging, and Epigenomic Data to Explain 3D Genome Function",AI,0,Cluster_A,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles",1,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
"A Unified Synthesis of Protein Complex Stoichiometry and Assembly Pathways from Structural, Proteomic, and Ribosome Profiling Data",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Mesoscale Metabolic Channeling: Synthesizing Spatial Proteomics, Metabolomics, and Enzyme Complex Data to Map Functional Microdomains",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Emergent Robustness in Gene Regulatory Networks: A Synthesis of Single-Cell Perturbation Atlases Across Cell Types,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"A Community Synthesis of Mesoscale Protein Quality Control: Integrating Proteostasis Networks, Aggregation Data, and Stress Responses",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Cell Polarity from Molecular Interactions: Synthesizing Spatial Transcriptomics, Proteomics, and Imaging Across Epithelia",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"A Synthesis of Mitochondrial Network Emergence: Linking Morphodynamics, Proteostasis, and Bioenergetics Across Cell Types",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Signaling Specificity: Integrating Single-Cell Phospho-Proteomics, Kinase Networks, and Imaging to Decode Pathway Crosstalk",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
A Comparative Synthesis of Ribosome Heterogeneity and Specialized Translation Across Tissues and Stress Conditions,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Properties of Membrane Microdomains: Integrating Lipidomics, Proteomics, and Super-Resolution Imaging of Raft-Like Assemblies",AI,0,Cluster_A,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles",1,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
A Multi-Scale Synthesis of Endocytic Trafficking Emergence: From Coat Assembly to Organelle Identity,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Control of Cell Cycle Transitions: Integrating Single-Cell Time Series, Proteomics, and Perturbation Screens",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"A Synthesis of Nuclear Body Emergence: Integrating Proteomics, RNA Localization, and Imaging of Speckles, Nucleoli, and PML Bodies",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Antibiotic Tolerance Mechanisms: Synthesizing Bacterial Single-Cell Physiology, Transcriptomics, and Metabolic Models",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"A Cross-Species Synthesis of Autophagosome Biogenesis: Integrating Proteomics, Lipid Signatures, and Imaging Dynamics",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent RNA Localization Codes: Synthesizing Subcellular Transcriptomics, RBP Binding Maps, and Imaging to Predict RNA Destinations",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"A Community Meta-Analysis of Multivesicular Body and Exosome Biogenesis: Integrating ESCRT Networks, Proteomics, and Imaging",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Mechanics of the Nucleus: Integrating Lamin Variants, Chromatin State, and Microscopy-Based Deformation Phenotypes",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"A Synthesis of Spatially Structured Immune Synapse Formation: Integrating Imaging, Proteomics, and Signaling Perturbation Data",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
"Emergent Principles of Protein Allostery at Scale: Integrating Structural Ensembles, Mutational Scans, and Functional Genomics",AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Deciphering the Sequence-to-Emergent-Property Grammar of Biomolecular Condensates,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Emergence of Cellular Morphology from Cytoskeletal Crosstalk and Motor Protein Dynamics,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergent Properties of Chromatin Topology and Epigenetic Memory,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Emergence of Metabolic Adaptation through Mitochondrial Reticular Network Dynamics,AI,0,Cluster_A,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles",1,"mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles"
Decoding the Mesoscale Emergence of Lipid Raft Clustering and Transmembrane Signaling,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Uncovering the Rules of Nucleolar Assembly and Ribosome Biogenesis Emergence,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Emergent Dynamics of Synaptic Vesicle Pools and Neurotransmitter Release Probability,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Mechanotransductive Emergence of Focal Adhesion Maturation,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergence of Stress Granules and Cellular Resilience Networks,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Emergent Transport Selectivity of the Nuclear Pore Complex Assembly,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergence of Autophagosomes at ER-Mitochondria Contact Sites,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Emergent Cargo Sorting Dynamics in Extracellular Vesicle Biogenesis,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergence of Viral Inclusion Bodies and Host Cell Hijacking,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergent Biophysics of Centrosome Maturation and Spindle Bipolarity,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Emergence of Secretory Flux from Golgi Cisternal Stacking Dynamics,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Decoding the Emergent Assembly of Plant Cell Wall Cellulose Synthase Rosettes,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Synthesizing the Emergent Assembly of Bacterial Microcompartments,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
Emergence of Lipid Homeostasis through Peroxisome Biogenesis Networks,AI,1,Cluster_B,"data understand, decoding emergent, integrating structural, multi scale",0,"data understand, decoding emergent, integrating structural, multi scale"
