group_1,group_2,centroid_distance
Human,claude-opus-4-5,0.18632829189300537
Human,gemini-3-pro-preview,0.14554756879806519
Human,All AI (combined),0.12092620134353638
claude-opus-4-5,gpt-5.2,0.05874061584472656
Human,gpt-5.2,0.052597761154174805
gemini-3-pro-preview,gpt-5.2,0.04044520854949951
gpt-5.2,All AI (combined),0.022847414016723633
claude-opus-4-5,gemini-3-pro-preview,0.010038554668426514
claude-opus-4-5,All AI (combined),0.009696781635284424
gemini-3-pro-preview,All AI (combined),0.004193365573883057
