feature,mean_abs_coef,mean_coef,criteria_count
centroid_dist,1.1589213136197873,-1.1123565849339736,7
is_nn_outlier,0.8991174691381578,0.6343570602006566,7
dash_per_1k_chars,0.6558036407076069,-0.6558036407076069,7
type_token_ratio,0.6180809081653073,0.5003216853860089,7
avg_word_len,0.5362701270467156,0.5362701270467156,7
flesch_reading_ease,0.40552933315139644,0.40552933315139644,7
novelty_z,0.40231463695672104,-0.18988049004743712,7
raw_novelty,0.40231458179679447,-0.1898804914124301,7
is_literature_outlier,0.35415016699239527,-0.013092877960273657,7
newline_per_1k_chars,0.34489040743211075,-0.2860511831730615,7
fk_grade_level,0.3359879166783709,-0.3359879166783709,7
stopword_rate,0.3312784057484632,-0.18201860796922592,7
nn_dist,0.3108863111894825,0.17716651842430717,7
hedge_rate,0.3086777896190965,0.25724044457802303,7
comma_per_1k_chars,0.2812367392207597,-0.16440107052897304,7
n_chars,0.245196684136937,0.20205129543718112,7
n_sents,0.23458609652840018,0.14390120059480416,7
n_words,0.2157946178127035,0.1722979088820515,7
paren_per_1k_chars,0.2032448752665239,0.16504054422831674,7
avg_sent_len_words,0.17439317030857046,0.12228099544721818,7
quote_per_1k_chars,0.0,0.0,7
colon_per_1k_chars,0.0,0.0,7
semicolon_per_1k_chars,0.0,0.0,7
bullet_per_1k_chars,0.0,0.0,7
