title,group_model,group_binary,is_ai,source_file,proposal_uid,title_norm,ranking,ranking_AI_reviews,funding,viz_rank,viz_marker_size,is_top5_ranked,human_color_shade
CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Human,Human,False,human_proposals_rephrased_y1_20260415_150558.json,P_000,cytokinetic bottlenecks of heat waves,1.0,10.0,1.0,1.0,145.0,True,#8B0000
Elucidating genome structure-function relationships in human brain cells,Human,Human,False,human_proposals_rephrased_y1_20260415_150558.json,P_001,elucidating genome structurefunction relationships in human brain cells,7.0,11.0,1.0,7.0,145.0,False,#8B0000
MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Human,Human,False,human_proposals_rephrased_y1_20260415_150558.json,P_002,maitool llmpowered bioinformatics tools for microbiome analysis,10.0,12.0,0.0,10.0,145.0,False,#F08080
Synthesizing gene expression data to create an atlas of bacterial cell states,Human,Human,False,human_proposals_rephrased_y1_20260415_150558.json,P_003,synthesizing gene expression data to create an atlas of bacterial cell states,1.0,1.0,1.0,1.0,145.0,True,#8B0000
Energetic Origins of Connectivity within Protein Interaction Networks,Human,Human,False,human_proposals_rephrased_y1_20260415_150558.json,P_004,energetic origins of connectivity within protein interaction networks,10.0,9.0,1.0,10.0,145.0,False,#8B0000
Elucidating emergent structures in cellular RNA-protein interaction networks,Human,Human,False,human_proposals_rephrased_y1_20260415_150558.json,P_005,elucidating emergent structures in cellular rnaprotein interaction networks,4.0,3.5,0.0,4.0,145.0,False,#F08080
Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,Human,Human,False,human_proposals_rephrased_y1_20260415_150558.json,P_006,oceans of disorder elucidating the role of disordered proteins in cellular adaptation,,6.0,,,145.0,False,#F08080
Multimodel single-cell frameworks for cell lines with extensive multi-omics data,Human,Human,False,human_proposals_rephrased_y1_20260415_150558.json,P_007,multimodel singlecell frameworks for cell lines with extensive multiomics data,,8.0,,,145.0,False,#F08080
From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Human,Human,False,human_proposals_rephrased_y1_20260415_150558.json,P_008,from image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,12.0,7.0,0.0,12.0,145.0,False,#F08080
Transposable elements and the emergence of genomic innovation,Human,Human,False,human_proposals_rephrased_y1_20260415_150558.json,P_009,transposable elements and the emergence of genomic innovation,1.0,3.5,1.0,1.0,145.0,True,#8B0000
Searching the crosslinking mass spectrometry universe for new protein-protein interactions,Human,Human,False,human_proposals_rephrased_y1_20260415_150558.json,P_010,searching the crosslinking mass spectrometry universe for new proteinprotein interactions,4.0,2.0,1.0,4.0,145.0,False,#8B0000
