proposal_uid,title,group_model,group_binary,centroid_dist_raw,centroid_dist_loo,group,centroid_dist
P_000,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Human,Human,0.08277391330988859,0.0918327689300299,Human,0.0918327689300299
P_001,Elucidating genome structure-function relationships in human brain cells,Human,Human,0.06112178413352809,0.06789933285813099,Human,0.06789933285813099
P_002,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Human,Human,0.07241797995967292,0.08039347297292587,Human,0.08039347297292587
P_003,Synthesizing gene expression data to create an atlas of bacterial cell states,Human,Human,0.06325973346085723,0.07026530843753498,Human,0.07026530843753498
P_004,Energetic Origins of Connectivity within Protein Interaction Networks,Human,Human,0.05955857399840847,0.06616901074814008,Human,0.06616901074814008
P_005,Elucidating emergent structures in cellular RNA-protein interaction networks,Human,Human,0.051935369393105724,0.05772620053261379,Human,0.05772620053261379
P_006,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,Human,Human,0.06378708995776972,0.07084881790196085,Human,0.07084881790196085
P_007,Multimodel single-cell frameworks for cell lines with extensive multi-omics data,Human,Human,0.05694415168053002,0.06327437212166298,Human,0.06327437212166298
P_008,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Human,Human,0.0625215383574711,0.06944844885879364,Human,0.06944844885879364
P_009,Transposable elements and the emergence of genomic innovation,Human,Human,0.48785070130303143,0.5285321477055436,Human,0.5285321477055436
P_010,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,Human,Human,0.5231532354070039,0.5656349638478823,Human,0.5656349638478823
P_011,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,Human,Human,0.49231685076279086,0.5332342248652585,Human,0.5332342248652585
P_012,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Human,Human,0.06545781007339757,0.0726971917569581,Human,0.0726971917569581
P_013,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Human,Human,0.0667967690299256,0.0741782593311121,Human,0.0741782593311121
P_014,Deciphering systemic biological networks through AI-driven multi-omic integration,Human,Human,0.06471952294044259,0.07188044509380997,Human,0.07188044509380997
P_015,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,Human,Human,0.49729426437733937,0.5384717767677618,Human,0.5384717767677618
P_016,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,Human,Human,0.07480594924078132,0.08303251427634506,Human,0.08303251427634506
P_017,Revealing the Ontology of Allostery through Community-Scale Synthesis,Human,Human,0.06451130115954962,0.07165008206016299,Human,0.07165008206016299
P_018,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,Human,Human,0.056134903647147905,0.06237820386442028,Human,0.06237820386442028
P_019,A Unified Framework for Analyses of Proteome Turnover Dynamics,Human,Human,0.053076896377753036,0.05899095165757062,Human,0.05899095165757062
P_020,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,Human,Human,0.5168460768958623,0.5590169958168221,Human,0.5590169958168221
P_021,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,Human,Human,0.06380180394595114,0.07086509814265196,Human,0.07086509814265196
P_022,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,Human,Human,0.5204928140063437,0.5628440139338943,Human,0.5628440139338943
