model,ai_idx,nearest_human_idx,min_dist_to_human
Claude,69,15,0.028535306453704834
Claude,70,4,0.03747075796127319
Claude,71,15,0.04019665718078613
Claude,72,8,0.025859355926513672
Claude,73,8,0.028120100498199463
Claude,74,15,0.0188748836517334
Claude,75,8,0.028238892555236816
Claude,76,15,0.03419065475463867
Claude,77,8,0.026699542999267578
Claude,78,15,0.03425860404968262
Claude,79,7,0.0324023962020874
Claude,80,8,0.03518354892730713
Claude,81,7,0.03368544578552246
Claude,82,4,0.03059828281402588
Claude,83,8,0.02633512020111084
Claude,84,8,0.04099905490875244
Claude,85,15,0.034618079662323
Claude,86,7,0.029492974281311035
Claude,87,8,0.037703752517700195
Claude,88,8,0.038354694843292236
Claude,89,1,0.031509995460510254
Claude,90,8,0.03096318244934082
Claude,91,7,0.0438387393951416
Gemini,46,8,0.02496570348739624
Gemini,47,8,0.03693866729736328
Gemini,48,8,0.025186002254486084
Gemini,49,8,0.027419686317443848
Gemini,50,8,0.030355632305145264
Gemini,51,8,0.029766857624053955
Gemini,52,8,0.04020136594772339
Gemini,53,8,0.029689490795135498
Gemini,54,8,0.026192009449005127
Gemini,55,8,0.04134935140609741
Gemini,56,8,0.02615046501159668
Gemini,57,18,0.03947943449020386
Gemini,58,8,0.03661751747131348
Gemini,59,8,0.03246355056762695
Gemini,60,8,0.025264859199523926
Gemini,61,8,0.040962815284729004
Gemini,62,3,0.18539369106292725
Gemini,63,8,0.02878749370574951
Gemini,64,8,0.03452718257904053
Gemini,65,9,0.10182690620422363
Gemini,66,8,0.032147884368896484
Gemini,67,8,0.03190052509307861
Gemini,68,8,0.035254478454589844
GPT-5.2,23,8,0.028563261032104492
GPT-5.2,24,5,0.07804882526397705
GPT-5.2,25,8,0.02009713649749756
GPT-5.2,26,20,0.032999396324157715
GPT-5.2,27,19,0.11285483837127686
GPT-5.2,28,18,0.032384395599365234
GPT-5.2,29,7,0.030050158500671387
GPT-5.2,30,8,0.04021894931793213
GPT-5.2,31,3,0.08689922094345093
GPT-5.2,32,8,0.030821561813354492
GPT-5.2,33,7,0.03863692283630371
GPT-5.2,34,7,0.04679250717163086
GPT-5.2,35,3,0.1171535849571228
GPT-5.2,36,8,0.031993329524993896
GPT-5.2,37,7,0.04064786434173584
GPT-5.2,38,7,0.03675103187561035
GPT-5.2,39,0,0.06902486085891724
GPT-5.2,40,8,0.03242379426956177
GPT-5.2,41,3,0.07037484645843506
GPT-5.2,42,18,0.04627203941345215
GPT-5.2,43,20,0.03968071937561035
GPT-5.2,44,20,0.030833184719085693
GPT-5.2,45,15,0.026555955410003662
