group,component,weight,mean,std,best_k
Human,0,0.25456298779837433,0.0537836765299347,0.013014389594947787,3
Human,1,0.5217391304347826,0.7416737192507946,0.030300070378063374,3
Human,2,0.22369788176684302,0.18894275882189399,0.05968426234110728,3
Claude,0,1.0,0.03370836600955767,0.00699210185659768,1
Gemini,0,0.83399209486166,0.03442131004062309,0.01586638727366715,3
Gemini,1,0.07668673369767454,0.7023502136744715,0.011519796873824246,3
Gemini,2,0.08932117144066543,0.7600604198236811,0.01440361733404633,3
GPT-5.2,0,0.40316205533596833,0.7141490222192278,0.025478824119722288,3
GPT-5.2,1,0.5372807684317625,0.03561919175442679,0.006411370801049492,3
GPT-5.2,2,0.059557176232269166,0.12994878547190944,0.028129092667295227,3
