proposal_uid,title,group_model,group_binary,mean_5nn_dist_global,is_mean5nn_outlier,threshold_mean5nn
P_000,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Human,Human,0.09085628,False,0.11169061362743378
P_001,Elucidating genome structure-function relationships in human brain cells,Human,Human,0.032270513,False,0.11169061362743378
P_002,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Human,Human,0.22718959,True,0.11169061362743378
P_003,Synthesizing gene expression data to create an atlas of bacterial cell states,Human,Human,0.081184745,False,0.11169061362743378
P_004,Energetic Origins of Connectivity within Protein Interaction Networks,Human,Human,0.033729255,False,0.11169061362743378
P_005,Elucidating emergent structures in cellular RNA-protein interaction networks,Human,Human,0.11183645,True,0.11169061362743378
P_006,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,Human,Human,0.038701404,False,0.11169061362743378
P_007,Multimodel single-cell frameworks for cell lines with extensive multi-omics data,Human,Human,0.031244468,False,0.11169061362743378
P_008,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,Human,Human,0.024274612,False,0.11169061362743378
P_009,Transposable elements and the emergence of genomic innovation,Human,Human,0.10292667,False,0.11169061362743378
P_010,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,Human,Human,0.22341385,True,0.11169061362743378
P_011,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,Human,Human,0.16482382,True,0.11169061362743378
P_012,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Human,Human,0.1342468,True,0.11169061362743378
P_013,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Human,Human,0.04443363,False,0.11169061362743378
P_014,Deciphering systemic biological networks through AI-driven multi-omic integration,Human,Human,0.035416365,False,0.11169061362743378
P_015,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,Human,Human,0.02750585,False,0.11169061362743378
