,relevance_to_emergent_phenomena,novelty_and_significance,rigor_of_approach,scope_and_timeline,synthesis_focus,data_identification,open_science_commitment,review_score_mean
mean_pairwise_dist,0.005,-0.0598,-0.1554,-0.1322,0.3024,-0.0797,-0.3063,-0.123
centroid_dist_raw,0.005,-0.0598,-0.1554,-0.1322,0.3024,-0.0797,-0.3063,-0.123
centroid_dist_loo,0.005,-0.0598,-0.1554,-0.1322,0.3024,-0.0797,-0.3063,-0.123
global_centroid_dist,-0.0944,-0.0598,0.0235,-0.0378,0.342,0.164,-0.1485,0.0137
nn_dist_global,0.1292,0.239,0.2449,0.2171,0.6146,0.4545,0.1207,0.3417
mean_5nn_dist_global,0.1292,0.2988,0.3343,0.1841,0.5849,0.4827,0.2274,0.3736
medoid_dist,0.1938,0.3586,0.0377,0.0944,0.5403,0.1546,-0.0882,0.1549
element_novel_0,0.0944,0.0598,0.3061,0.3493,0.6593,0.2812,0.3203,0.4282
element_novel_1,0.1044,0.0598,0.1271,-0.0991,0.2181,0.2156,0.2274,0.1276
element_novel_5,0.1193,0.0598,0.259,0.0378,0.347,0.3983,0.3249,0.287
element_novel_10,0.0845,0.0598,0.2825,0.0094,0.347,0.3702,0.3249,0.2688
mean_knn_5,0.1441,0.1793,0.3296,0.4059,0.7683,0.3561,0.3388,0.5103
mean_knn_10,0.1789,0.1793,0.2401,0.321,0.7138,0.3093,0.2553,0.4282
mean_knn_20,0.1789,0.1793,0.2401,0.321,0.7138,0.3093,0.2553,0.4282
mean_knn_50,0.1988,0.1793,0.1836,0.2549,0.6791,0.3843,0.1949,0.3872
novelty_ratio,-0.3231,-0.239,-0.4097,-0.3729,-0.3024,-0.3655,-0.376,-0.4374
novelty_z,-0.333,-0.1793,-0.3673,-0.3823,-0.0942,-0.2015,-0.362,-0.3645
