,relevance_to_emergent_phenomena,novelty_and_significance,rigor_of_approach,scope_and_timeline,synthesis_focus,data_identification,open_science_commitment,review_score_mean,new_question_topic_or_framing,new_theory_concept_method_dataset_or_design,unusual_combination_of_existing_ideas,beyond_state_of_the_art,credible_high_risk_high_gain,unique_knowledge_generation,novelty_score_mean
mean_pairwise_dist,-0.5945,-0.3639,0.3762,0.4406,-0.3838,0.503,0.0038,0.0725,0.2777,0.3646,0.0378,0.2074,0.119,0.3166,0.2541
centroid_dist_raw,-0.5945,-0.3742,0.2669,0.3524,-0.3724,0.4027,-0.0768,-0.0217,0.2357,0.3321,-0.0234,0.1398,0.1201,0.2246,0.207
centroid_dist_loo,-0.5945,-0.3742,0.2695,0.3544,-0.3724,0.406,-0.0734,-0.0188,0.2381,0.3351,-0.0193,0.1433,0.1223,0.228,0.2105
global_centroid_dist,-0.5656,-0.4211,-0.0087,0.1299,-0.2985,0.1674,-0.2565,-0.2032,0.0434,0.1988,-0.2054,-0.0459,0.0524,0.0109,0.0241
nn_dist_global,-0.5973,-0.4412,-0.041,0.0873,-0.3126,0.1343,-0.2539,-0.2378,0.0945,0.1598,-0.1878,-0.0139,0.06,0.0061,0.0466
mean_5nn_dist_global,-0.5958,-0.4344,0.0208,0.1303,-0.3055,0.198,-0.1966,-0.1856,0.1174,0.2242,-0.1503,0.0037,0.0914,0.0359,0.0827
medoid_dist,-0.5929,-0.3619,0.0375,0.1505,-0.2764,0.1746,-0.2369,-0.1868,0.0405,0.1987,-0.1784,-0.0284,0.0566,0.0011,0.0315
remote_clique_group,-0.722,-0.4246,0.3934,0.4486,-0.5168,0.5065,-0.0012,0.0346,0.3433,0.3779,0.0977,0.2655,0.0355,0.3646,0.2864
chamfer_group,-0.722,-0.4736,-0.3687,-0.2933,-0.4922,-0.1929,-0.3308,-0.5458,0.2998,0.3119,-0.0575,0.0896,0.1569,0.0247,0.2339
mst_dispersion_group,-0.722,-0.4246,0.3934,0.4486,-0.5168,0.5065,-0.0012,0.0346,0.3433,0.3779,0.0977,0.2655,0.0355,0.3646,0.2864
span90_group,-0.722,-0.4246,0.3934,0.4486,-0.5168,0.5065,-0.0012,0.0346,0.3433,0.3779,0.0977,0.2655,0.0355,0.3646,0.2864
sparseness_group,-0.722,-0.4246,0.3934,0.4486,-0.5168,0.5065,-0.0012,0.0346,0.3433,0.3779,0.0977,0.2655,0.0355,0.3646,0.2864
grid_entropy_group,-0.722,-0.4736,0.114,0.2817,-0.5414,0.2088,-0.3555,-0.2121,0.0457,0.0704,-0.2605,-0.0669,-0.2561,0.078,-0.107
grid_entropy_group_norm,-0.722,-0.4736,0.114,0.2817,-0.5414,0.2088,-0.3555,-0.2121,0.0457,0.0704,-0.2605,-0.0669,-0.2561,0.078,-0.107
element_novel_0,-0.175,-0.2345,-0.1585,-0.064,0.1777,-0.0784,0.0214,-0.0741,-0.0284,0.0774,-0.0043,0.0482,0.0377,-0.0978,0.0065
element_novel_1,-0.2916,-0.3354,-0.1607,-0.0311,0.0574,-0.0574,-0.0978,-0.1467,-0.092,0.1557,-0.0961,-0.0448,0.0443,-0.0837,-0.0608
element_novel_5,-0.2699,-0.316,-0.1468,-0.0294,0.072,-0.0736,-0.098,-0.1397,-0.1202,0.1502,-0.1066,-0.0709,0.0418,-0.0973,-0.0906
element_novel_10,-0.2429,-0.2969,-0.1458,-0.0379,0.0942,-0.09,-0.0904,-0.135,-0.1397,0.1417,-0.12,-0.0859,0.0326,-0.1092,-0.1075
mean_knn_5,-0.2055,-0.2515,-0.1665,-0.0525,0.1668,-0.0779,-0.0123,-0.0882,-0.0448,0.0457,-0.0702,-0.0021,0.0024,-0.1317,-0.0401
mean_knn_10,-0.2122,-0.2725,-0.1976,-0.0763,0.1596,-0.1097,-0.0557,-0.1213,-0.0751,0.0285,-0.1067,-0.0313,-0.011,-0.1605,-0.0732
mean_knn_20,-0.2192,-0.2783,-0.2036,-0.0792,0.1488,-0.1127,-0.0694,-0.1275,-0.0912,0.0351,-0.1273,-0.0461,-0.0181,-0.1561,-0.0889
mean_knn_50,-0.2375,-0.2879,-0.1843,-0.0642,0.1324,-0.0868,-0.0741,-0.1277,-0.0957,0.0637,-0.1238,-0.046,0.0042,-0.1224,-0.0779
novelty_ratio,-0.0446,-0.1108,-0.1992,-0.1982,-0.1612,-0.1682,-0.1582,-0.2038,-0.0139,-0.1461,-0.0168,-0.088,-0.2257,-0.2096,-0.0605
novelty_z,-0.1513,-0.2089,-0.2524,-0.2141,-0.1352,-0.1931,-0.1857,-0.2647,-0.1084,-0.145,-0.1088,-0.1442,-0.2309,-0.2987,-0.1341
