,relevance_to_emergent_phenomena_human_y2,novelty_and_significance_human_y2,rigor_of_approach_human_y2,scope_and_timeline_human_y2,synthesis_focus_human_y2,data_identification_human_y2,open_science_commitment_human_y2,review_score_mean_human_y2
mean_pairwise_dist,0.1521,0.1521,0.1521,0.1747,-0.1193,-0.1193,-0.205,-0.0138
centroid_dist_raw,0.1521,0.1521,0.1521,0.1747,-0.1193,-0.1193,-0.205,-0.0138
centroid_dist_loo,0.1521,0.1521,0.1521,0.1747,-0.1193,-0.1193,-0.205,-0.0138
global_centroid_dist,0.1797,0.1797,0.1797,0.1195,0.0642,0.0642,-0.1139,0.0413
nn_dist_global,0.1843,0.1843,0.1843,-0.1104,0.1927,0.1927,0.0182,0.078
mean_5nn_dist_global,0.1705,0.1705,0.1705,-0.1517,0.2844,0.2844,0.0957,0.1101
medoid_dist,0.1014,0.1014,0.1014,-0.2253,0.0092,0.0092,-0.0957,-0.0963
element_novel_0,0.5807,0.5807,0.5807,0.2989,0.1743,0.1743,-0.0683,0.4312
element_novel_1,-0.1244,-0.1244,-0.1244,-0.0644,0.055,0.055,-0.0774,-0.0459
element_novel_5,-0.0599,-0.0599,-0.0599,-0.0046,0.1376,0.1376,0.0774,0.0734
element_novel_10,-0.0092,-0.0092,-0.0092,0.0322,0.1743,0.1743,0.0911,0.1101
mean_knn_5,0.5623,0.5623,0.5623,0.2069,0.1651,0.1651,-0.0228,0.3945
mean_knn_10,0.4977,0.4977,0.4977,0.1379,0.1284,0.1284,-0.1093,0.3165
mean_knn_20,0.4977,0.4977,0.4977,0.1379,0.1284,0.1284,-0.1093,0.3165
mean_knn_50,0.3825,0.3825,0.3825,-0.0046,0.1376,0.1376,-0.1822,0.2064
novelty_ratio,0.0553,0.0553,0.0553,0.1747,-0.2569,-0.2569,-0.5148,-0.234
novelty_z,0.083,0.083,0.083,0.1517,-0.2294,-0.2294,-0.5968,-0.2798
