,relevance_to_emergent_phenomena,novelty_and_significance,rigor_of_approach,scope_and_timeline,synthesis_focus,data_identification,open_science_commitment,review_score_mean,new_question_topic_or_framing,new_theory_concept_method_dataset_or_design,unusual_combination_of_existing_ideas,beyond_state_of_the_art,credible_high_risk_high_gain,unique_knowledge_generation,novelty_score_mean
mean_pairwise_dist,0.0,0.000363,0.000219,1.1e-05,0.000159,0.0,0.971546,0.492003,0.007362,0.000353,0.720544,0.047232,0.258741,0.002109,0.014529
centroid_dist_raw,0.0,0.000238,0.010117,0.000571,0.000257,6.9e-05,0.46676,0.836962,0.023719,0.001222,0.825033,0.183949,0.254089,0.031369,0.047685
centroid_dist_loo,0.0,0.000238,0.009388,0.000529,0.000257,5.9e-05,0.487086,0.858469,0.022297,0.001095,0.855114,0.172993,0.245483,0.028853,0.044023
global_centroid_dist,0.0,2.9e-05,0.934488,0.217088,0.003844,0.110642,0.013583,0.052099,0.681122,0.057474,0.049457,0.664274,0.61979,0.917765,0.819629
nn_dist_global,0.0,1.1e-05,0.697892,0.408108,0.002417,0.201742,0.014604,0.022482,0.370027,0.128113,0.073065,0.895535,0.570158,0.95407,0.65889
mean_5nn_dist_global,0.0,1.5e-05,0.84433,0.21564,0.003064,0.058511,0.060325,0.076578,0.265006,0.031669,0.152692,0.972119,0.386405,0.733936,0.433408
medoid_dist,0.0,0.000393,0.72233,0.152242,0.007656,0.095974,0.023014,0.074594,0.701336,0.057589,0.088926,0.788125,0.592155,0.991594,0.765755
remote_clique_group,0.0,2.5e-05,0.000105,7e-06,0.0,0.0,0.991259,0.743697,0.000807,0.000204,0.354101,0.010525,0.737038,0.000352,0.005646
chamfer_group,0.0,2e-06,0.000299,0.004552,1e-06,0.06537,0.001278,0.0,0.003687,0.002469,0.586203,0.395449,0.135305,0.815297,0.024816
mst_dispersion_group,0.0,2.5e-05,0.000105,7e-06,0.0,0.0,0.991259,0.743697,0.000807,0.000204,0.354101,0.010525,0.737038,0.000352,0.005646
span90_group,0.0,2.5e-05,0.000105,7e-06,0.0,0.0,0.991259,0.743697,0.000807,0.000204,0.354101,0.010525,0.737038,0.000352,0.005646
sparseness_group,0.0,2.5e-05,0.000105,7e-06,0.0,0.0,0.991259,0.743697,0.000807,0.000204,0.354101,0.010525,0.737038,0.000352,0.005646
grid_entropy_group,0.0,2e-06,0.279149,0.006526,0.0,0.045775,0.000506,0.042403,0.665151,0.504929,0.01214,0.526031,0.01375,0.459976,0.310187
grid_entropy_group_norm,0.0,2e-06,0.279149,0.006526,0.0,0.045775,0.000506,0.042403,0.665151,0.504929,0.01214,0.526031,0.01375,0.459976,0.310187
element_novel_0,0.095164,0.024439,0.131311,0.544438,0.09013,0.457798,0.839339,0.482742,0.788291,0.463457,0.96781,0.648082,0.721539,0.353441,0.951171
element_novel_1,0.004803,0.001081,0.125878,0.76887,0.586921,0.586632,0.3538,0.16297,0.382886,0.138342,0.362172,0.671741,0.674741,0.427899,0.564674
element_novel_5,0.009285,0.002154,0.162666,0.781019,0.495299,0.485794,0.352836,0.184172,0.253696,0.152967,0.311833,0.50169,0.692582,0.355975,0.390467
element_novel_10,0.019649,0.004057,0.165557,0.719877,0.371828,0.393576,0.391331,0.199536,0.184152,0.177806,0.254428,0.415673,0.757691,0.299892,0.307906
mean_knn_5,0.049435,0.015585,0.112664,0.619056,0.11207,0.460319,0.907526,0.402946,0.671229,0.665393,0.505797,0.984195,0.982069,0.210658,0.704552
mean_knn_10,0.042296,0.008601,0.059002,0.469984,0.128599,0.297855,0.597824,0.249326,0.476639,0.787578,0.311213,0.766811,0.91748,0.126348,0.488305
mean_knn_20,0.035773,0.007222,0.051549,0.452775,0.156974,0.28467,0.510695,0.225861,0.387077,0.739766,0.226692,0.66285,0.86419,0.137272,0.399166
mean_knn_50,0.022616,0.005394,0.078687,0.543209,0.208388,0.410782,0.482406,0.224954,0.364246,0.546512,0.239793,0.663562,0.968491,0.244974,0.460429
novelty_ratio,0.672581,0.292937,0.056939,0.058274,0.124842,0.108969,0.132028,0.0513,0.895246,0.164591,0.874075,0.404053,0.030527,0.04498,0.566806
novelty_z,0.150063,0.045694,0.015233,0.040457,0.198799,0.065127,0.076302,0.010776,0.303468,0.167879,0.301694,0.170282,0.026776,0.003828,0.202656
