,relevance_to_emergent_phenomena_human_y2,novelty_and_significance_human_y2,rigor_of_approach_human_y2,scope_and_timeline_human_y2,synthesis_focus_human_y2,data_identification_human_y2,open_science_commitment_human_y2,review_score_mean_human_y2
mean_pairwise_dist,0.655298,0.655298,0.655298,0.607366,0.726872,0.726872,0.545367,0.967966
centroid_dist_raw,0.655298,0.655298,0.655298,0.607366,0.726872,0.726872,0.545367,0.967966
centroid_dist_loo,0.655298,0.655298,0.655298,0.607366,0.726872,0.726872,0.545367,0.967966
global_centroid_dist,0.596921,0.596921,0.596921,0.726258,0.851193,0.851193,0.738802,0.904068
nn_dist_global,0.587385,0.587385,0.587385,0.746694,0.57032,0.57032,0.957589,0.819717
mean_5nn_dist_global,0.616164,0.616164,0.616164,0.656058,0.396631,0.396631,0.779617,0.747265
medoid_dist,0.766747,0.766747,0.766747,0.505352,0.978641,0.978641,0.779617,0.778125
element_novel_0,0.061035,0.061035,0.061035,0.371976,0.608212,0.608212,0.84176,0.185448
element_novel_1,0.71546,0.71546,0.71546,0.850851,0.872288,0.872288,0.820939,0.893459
element_novel_5,0.861091,0.861091,0.861091,0.989295,0.686571,0.686571,0.820939,0.830185
element_novel_10,0.978542,0.978542,0.978542,0.925155,0.608212,0.608212,0.789904,0.747265
mean_knn_5,0.071792,0.071792,0.071792,0.54157,0.627495,0.627495,0.946998,0.229873
mean_knn_10,0.119236,0.119236,0.119236,0.685875,0.706637,0.706637,0.748953,0.342955
mean_knn_20,0.119236,0.119236,0.119236,0.685875,0.706637,0.706637,0.748953,0.342955
mean_knn_50,0.245613,0.245613,0.245613,0.989295,0.686571,0.686571,0.591757,0.542528
novelty_ratio,0.871697,0.871697,0.871697,0.607366,0.445726,0.445726,0.105143,0.488687
novelty_z,0.808401,0.808401,0.808401,0.656058,0.497492,0.497492,0.052576,0.40462
